word,lemma,pos,freq
the,the,DT,432270
of,of,IN,223529
and,and,CC,190362
a,a,DT,147132
in,in,IN,133881
to,to,TO,108448
is,be,VBZ,74624
to,to,IN,69407
for,for,IN,63196
it,it,PRP,59400
was,be,VBD,56602
that,that,IN,51546
be,be,VB,46659
with,with,IN,46397
as,as,IN,43039
on,on,IN,41951
are,be,VBP,38823
by,by,IN,36202
at,at,IN,35234
i,i,PRP,33997
he,he,PRP,32197
this,this,DT,31729
from,from,IN,31194
not,not,RB,30620
or,or,CC,29548
but,but,CC,28113
's,'s,POS,27622
you,you,PRP,27395
they,they,PRP,26819
which,which,WDT,26550
had,have,VBD,24519
his,he,PRP$,24122
an,an,DT,23947
were,be,VBD,22033
their,they,PRP$,20418
has,have,VBZ,18026
have,have,VBP,18021
can,can,MD,17775
we,we,PRP,17388
there,there,EX,17345
been,be,VBN,17294
all,all,DT,16879
will,will,MD,16411
if,if,IN,15905
she,she,PRP,14858
that,that,DT,14708
would,would,MD,14559
one,one,CD,13853
who,who,WP,13632
some,some,DT,13353
so,so,RB,12693
up,up,RB,12130
out,out,RB,12071
when,when,IN,11999
its,it,PRP$,11985
what,what,WDT,11659
have,have,VB,11624
more,more,RB,11364
them,they,PRP,11080
into,into,IN,11027
may,may,MD,10932
than,than,IN,10647
time,time,NN,10489
other,other,JJ,10422
these,these,DT,10386
could,could,MD,10082
her,she,PRP$,9680
no,no,DT,9533
also,also,RB,9405
n't,not,RB,9359
your,you,PRP$,9256
such,such,DT,9165
only,only,RB,9104
two,two,CD,8980
my,i,PRP$,8977
then,then,RB,8913
many,many,DT,8689
first,first,JJ,8663
about,about,IN,8483
people,people,NN,8465
new,new,JJ,8237
do,do,VBP,7917
now,now,RB,7583
him,he,PRP,7566
should,should,MD,7545
any,any,DT,7527
very,very,RB,7435
after,after,IN,7059
years,year,NNS,6827
said,say,VBD,6801
our,we,PRP$,6771
's,be,VBZ,6664
even,even,RB,6612
me,i,PRP,6562
between,between,IN,6512
way,way,NN,6490
how,how,WRB,6350
being,be,VBG,6326
those,those,DT,6091
did,do,VBD,6061
well,well,RB,5954
one,one,PRP,5807
because,because,IN,5785
like,like,IN,5771
just,just,RB,5372
each,each,DT,5175
must,must,MD,5147
through,through,IN,5087
own,own,DT,5040
good,good,JJ,4848
before,before,IN,4839
most,most,RB,4819
on,on,RB,4811
more,more,DT,4729
work,work,NN,4612
still,still,RB,4605
down,down,RB,4573
local,local,JJ,4565
too,too,RB,4546
life,life,NN,4498
over,over,IN,4497
another,another,DT,4474
year,year,NN,4458
three,three,CD,4448
however,however,RB,4440
her,she,PRP,4405
day,day,NN,4246
same,same,DT,4236
information,information,NN,4120
world,world,NN,4119
us,we,PRP,4093
made,make,VBN,4090
man,man,NN,3983
as,as,RB,3973
children,child,NNS,3930
back,back,RB,3885
make,make,VB,3874
where,where,WRB,3861
do,do,VB,3848
often,often,RB,3844
old,old,JJ,3830
small,small,JJ,3824
most,most,DT,3813
does,do,VBZ,3784
much,much,DT,3774
part,part,NN,3772
might,might,MD,3688
different,different,JJ,3623
course,course,NN,3576
few,few,DT,3563
used,use,VBN,3536
system,system,NN,3535
great,great,JJ,3501
about,about,RB,3484
where,where,IN,3470
under,under,IN,3460
number,number,NN,3458
never,never,RB,3451
without,without,IN,3440
school,school,NN,3433
last,last,JJ,3431
always,always,RB,3414
over,over,RB,3411
important,important,JJ,3376
although,although,IN,3374
while,while,IN,3367
example,example,NN,3316
again,again,RB,3264
within,within,IN,3220
see,see,VB,3215
water,water,NN,3212
take,take,VB,3212
per,per,NN,3208
here,here,RB,3203
during,during,IN,3201
development,development,NN,3113
came,come,VBD,3112
large,large,JJ,3108
place,place,NN,3094
in,in,RB,3076
there,there,RB,3075
',',POS,3071
since,since,IN,3050
when,when,WRB,3033
cent,cent,NN,3015
rather,rather,RB,3007
every,every,DT,3005
government,government,NN,3003
get,get,VB,2983
use,use,NN,2933
away,away,RB,2926
much,much,RB,2904
possible,possible,JJ,2876
go,go,VB,2873
social,social,JJ,2867
high,high,JJ,2860
house,house,NN,2855
against,against,IN,2853
until,until,IN,2808
problems,problem,NNS,2789
given,give,VBN,2782
research,research,NN,2779
see,see,VBP,2746
case,case,NN,2728
going,go,VBG,2704
both,both,RB,2687
end,end,NN,2664
off,off,RB,2649
1,1,CD,2646
area,area,NN,2640
far,far,RB,2625
education,education,NN,2614
home,home,NN,2608
men,man,NNS,2591
london,london,NNP,2580
why,why,WRB,2575
something,something,PRP,2551
went,go,VBD,2529
long,long,JJ,2521
group,group,NN,2508
seen,see,VBN,2493
quite,quite,RB,2481
national,national,JJ,2479
young,young,JJ,2476
available,available,JJ,2469
though,though,IN,2460
2,2,CD,2440
almost,almost,RB,2440
next,next,JJ,2439
taken,take,VBN,2428
less,less,RB,2419
made,make,VBD,2411
four,four,CD,2407
problem,problem,NN,2406
others,other,NNS,2406
fact,fact,NN,2400
british,british,JJ,2396
company,company,NN,2352
took,take,VBD,2343
service,service,NN,2334
having,have,VBG,2334
yet,yet,RB,2332
areas,area,NNS,2330
business,business,NN,2328
able,able,JJ,2326
perhaps,perhaps,RB,2314
general,general,JJ,2309
days,day,NNS,2302
find,find,VB,2298
things,thing,NNS,2292
body,body,NN,2276
particular,particular,JJ,2276
money,money,NN,2266
family,family,NN,2264
later,later,RB,2263
times,time,NNS,2245
whether,whether,IN,2243
age,age,NN,2241
together,together,RB,2235
several,several,DT,2233
side,side,NN,2208
point,point,NN,2161
second,second,JJ,2150
country,country,NN,2139
know,know,VB,2136
john,john,NNP,2135
hand,hand,NN,2135
staff,staff,NN,2132
training,training,NN,2122
early,early,JJ,2102
already,already,RB,2097
known,know,VBN,2094
state,state,NN,2091
britain,britain,NNP,2090
likely,likely,JJ,2074
form,form,NN,2068
least,least,RB,2058
book,book,NN,2058
both,both,DT,2054
public,public,JJ,2027
night,night,NN,2022
food,food,NN,1986
themselves,themselves,PRP,1982
person,person,NN,1977
head,head,NN,1976
once,once,RB,1961
give,give,VB,1955
full,full,JJ,1954
process,process,NN,1953
3,3,CD,1938
control,control,NN,1936
order,order,NN,1935
main,main,JJ,1933
best,good,JJS,1933
called,call,VBN,1932
health,health,NN,1924
child,child,NN,1903
towards,towards,IN,1901
services,service,NNS,1900
found,find,VBN,1899
major,major,JJ,1887
'll,will,MD,1884
car,car,NN,1879
making,make,VBG,1877
line,line,NN,1870
became,become,VBD,1868
