word,lemma,pos,freq
the,the,DT,460713
of,of,IN,245106
and,and,CC,210946
a,a,DT,157150
in,in,IN,149394
to,to,TO,114135
to,to,IN,76978
was,be,VBD,76889
it,it,PRP,68566
he,he,PRP,64764
is,be,VBZ,63329
for,for,IN,61652
i,i,PRP,54529
that,that,IN,51753
with,with,IN,50817
as,as,IN,47114
be,be,VB,45466
on,on,IN,45207
his,he,PRP$,43123
at,at,IN,39755
you,you,PRP,39618
by,by,IN,37274
she,she,PRP,35619
had,have,VBD,34122
's,'s,POS,33702
but,but,CC,32758
not,not,RB,32541
from,from,IN,31888
this,this,DT,31566
are,be,VBP,30222
or,or,CC,28484
which,which,WDT,27707
they,they,PRP,27651
an,an,DT,25065
were,be,VBD,23150
her,she,PRP$,21541
we,we,PRP,19909
n't,not,RB,19840
that,that,DT,19429
been,be,VBN,18602
their,they,PRP$,18402
all,all,DT,17491
if,if,IN,17366
would,would,MD,17223
there,there,EX,17194
said,say,VBD,16134
him,he,PRP,15953
have,have,VBP,15819
has,have,VBZ,15662
what,what,WDT,15621
will,will,MD,14842
can,can,MD,14750
out,out,RB,14575
's,be,VBZ,14179
up,up,RB,14131
have,have,VB,13912
so,so,RB,13789
who,who,WP,13646
one,one,CD,13566
into,into,IN,13246
them,they,PRP,12638
could,could,MD,12581
then,then,RB,12115
when,when,IN,12109
some,some,DT,11934
its,it,PRP$,11523
my,i,PRP$,11364
more,more,RB,11065
do,do,VBP,11055
me,i,PRP,10829
time,time,NN,10815
about,about,IN,10700
than,than,IN,10607
no,no,DT,10404
her,she,PRP,10253
did,do,VBD,10143
other,other,JJ,9872
two,two,CD,9411
your,you,PRP$,9379
only,only,RB,9054
first,first,JJ,9048
these,these,DT,8955
also,also,RB,8879
now,now,RB,8735
may,may,MD,8723
such,such,DT,8478
like,like,IN,8365
any,any,DT,8094
new,new,JJ,7830
should,should,MD,7634
very,very,RB,7593
after,after,IN,7511
how,how,WRB,7357
just,just,RB,7236
people,people,NN,7019
between,between,IN,6958
well,well,RB,6662
way,way,NN,6625
because,because,IN,6594
even,even,RB,6519
one,one,PRP,6305
through,through,IN,6296
many,many,DT,6270
our,we,PRP$,6163
back,back,RB,6114
down,down,RB,6073
those,those,DT,5952
years,year,NNS,5924
being,be,VBG,5858
on,on,RB,5789
must,must,MD,5758
own,own,DT,5462
over,over,IN,5346
work,work,NN,5305
before,before,IN,5287
too,too,RB,5217
man,man,NN,5174
here,here,RB,4888
good,good,JJ,4873
still,still,RB,4835
again,again,RB,4829
each,each,DT,4745
more,more,DT,4695
do,do,VB,4663
life,life,NN,4592
three,three,CD,4527
there,there,RB,4527
same,same,DT,4517
see,see,VB,4516
might,might,MD,4499
us,we,PRP,4495
where,where,WRB,4456
however,however,RB,4334
never,never,RB,4332
most,most,RB,4321
another,another,DT,4226
under,under,IN,4223
part,part,NN,4175
made,make,VBN,4139
away,away,RB,4109
where,where,IN,4073
course,course,NN,4037
make,make,VB,4025
world,world,NN,4016
does,do,VBZ,3970
house,house,NN,3958
local,local,JJ,3944
'll,will,MD,3908
year,year,NN,3890
as,as,RB,3873
'm,be,VBP,3864
government,government,NN,3834
came,come,VBD,3830
're,be,VBP,3829
london,london,NNP,3819
day,day,NN,3808
much,much,DT,3774
women,woman,NNS,3774
've,have,VBP,3762
while,while,IN,3761
in,in,RB,3755
different,different,JJ,3750
went,go,VBD,3745
something,something,PRP,3737
know,know,VB,3678
old,old,JJ,3674
why,why,WRB,3644
get,get,VB,3641
go,go,VB,3626
looked,look,VBD,3626
against,against,IN,3620
last,last,JJ,3614
over,over,RB,3575
within,within,IN,3558
rather,rather,RB,3557
until,until,IN,3527
going,go,VBG,3521
few,few,DT,3459
small,small,JJ,3438
great,great,JJ,3418
head,head,NN,3404
during,during,IN,3336
without,without,IN,3320
took,take,VBD,3302
',',POS,3263
always,always,RB,3263
number,number,NN,3251
hand,hand,NN,3245
take,take,VB,3226
place,place,NN,3191
family,family,NN,3190
system,system,NN,3184
thought,think,VBD,3159
although,although,IN,3139
made,make,VBD,3129
case,case,NN,3124
off,off,RB,3121
eyes,eye,NNS,3121
about,about,RB,3116
company,company,NN,3044
both,both,RB,3036
power,power,NN,3031
perhaps,perhaps,RB,3013
education,education,NN,3013
nothing,nothing,PRP,3009
children,child,NNS,3006
john,john,NNP,2981
important,important,JJ,2978
often,often,RB,2971
most,most,DT,2962
much,much,RB,2961
used,use,VBN,2957
men,man,NNS,2944
himself,himself,PRP,2937
when,when,WRB,2914
later,later,RB,2913
though,though,IN,2913
since,since,IN,2910
face,face,NN,2904
social,social,JJ,2884
seen,see,VBN,2882
end,end,NN,2881
know,know,VBP,2878
example,example,NN,2849
became,become,VBD,2824
1,1,CD,2823
water,water,NN,2800
things,thing,NNS,2781
group,group,NN,2768
room,room,NN,2753
large,large,JJ,2749
2,2,CD,2742
information,information,NN,2735
long,long,JJ,2695
door,door,NN,2668
almost,almost,RB,2660
knew,know,VBD,2657
whether,whether,IN,2655
school,school,NN,2655
'd,have,VBD,2645
second,second,JJ,2640
public,public,JJ,2635
high,high,JJ,2632
given,give,VBN,2620
saw,see,VBD,2602
towards,towards,IN,2585
every,every,DT,2574
really,really,RB,2572
next,next,JJ,2570
side,side,NN,2564
british,british,JJ,2563
business,business,NN,2547
father,father,NN,2537
say,say,VB,2536
development,development,NN,2517
possible,possible,JJ,2476
mother,mother,NN,2475
quite,quite,RB,2456
see,see,VBP,2449
yet,yet,RB,2427
far,far,RB,2417
order,order,NN,2414
together,together,RB,2409
state,state,NN,2404
once,once,RB,2397
asked,ask,VBD,2384
felt,feel,VBD,2379
service,service,NN,2377
'd,would,MD,2373
no,no,UH,2371
taken,take,VBN,2370
use,use,NN,2368
four,four,CD,2367
seemed,seem,VBD,2367
began,begin,VBD,2365
