word,lemma,pos,freq
the,the,DT,262835
of,of,IN,131872
and,and,CC,97539
a,a,DT,90005
in,in,IN,77892
to,to,TO,73715
to,to,IN,47357
is,be,VBZ,42898
it,it,PRP,41051
for,for,IN,37813
was,be,VBD,36597
i,i,PRP,35682
she,she,PRP,34961
be,be,VB,34379
that,that,IN,33157
he,he,PRP,30981
you,you,PRP,29475
as,as,IN,29401
with,with,IN,26793
on,on,IN,25858
by,by,IN,22821
at,at,IN,21697
her,she,PRP$,21361
not,not,RB,20859
or,or,CC,20006
his,he,PRP$,19720
are,be,VBP,19085
this,this,DT,18531
from,from,IN,18013
but,but,CC,17689
had,have,VBD,16959
's,'s,POS,16638
which,which,WDT,15972
an,an,DT,15878
n't,not,RB,15409
that,that,DT,13884
if,if,IN,13385
they,they,PRP,12496
will,will,MD,12309
has,have,VBZ,11655
been,be,VBN,11490
would,would,MD,11158
her,she,PRP,11149
all,all,DT,10155
him,he,PRP,10129
were,be,VBD,9740
have,have,VBP,9656
have,have,VB,9537
what,what,WDT,9462
we,we,PRP,9414
there,there,EX,9321
can,can,MD,9116
so,so,RB,8976
out,out,RB,8773
up,up,RB,8168
's,be,VBZ,8077
their,they,PRP$,8049
could,could,MD,7981
any,any,DT,7828
may,may,MD,7603
do,do,VBP,7537
into,into,IN,7247
said,say,VBD,7106
me,i,PRP,7084
then,then,RB,7051
some,some,DT,6881
one,one,CD,6868
when,when,IN,6711
time,time,NN,6682
did,do,VBD,6547
no,no,DT,6536
its,it,PRP$,6495
such,such,DT,6416
other,other,JJ,6328
who,who,WP,6281
should,should,MD,6149
my,i,PRP$,6082
than,than,IN,5987
about,about,IN,5975
only,only,RB,5743
them,they,PRP,5574
more,more,RB,5414
now,now,RB,5309
just,just,RB,5234
your,you,PRP$,5024
also,also,RB,4876
two,two,CD,4564
after,after,IN,4396
must,must,MD,4394
how,how,WRB,4360
these,these,DT,4335
very,very,RB,4229
way,way,NN,4168
first,first,JJ,4162
new,new,JJ,4093
well,well,RB,4084
back,back,RB,4068
under,under,IN,4026
like,like,IN,4010
even,even,RB,3930
between,between,IN,3771
'm,be,VBP,3741
on,on,RB,3739
being,be,VBG,3729
down,down,RB,3668
court,court,NN,3436
because,because,IN,3407
before,before,IN,3318
those,those,DT,3272
eyes,eye,NNS,3260
over,over,IN,3245
case,case,NN,3242
where,where,IN,3228
one,one,PRP,3205
here,here,RB,3162
see,see,VBP,3140
do,do,VB,3139
too,too,RB,3132
still,still,RB,3104
'll,will,MD,3058
against,against,IN,3033
however,however,RB,2992
made,make,VBN,2987
years,year,NNS,2967
through,through,IN,2915
does,do,VBZ,2884
're,be,VBP,2860
've,have,VBP,2853
good,good,JJ,2826
again,again,RB,2807
make,make,VB,2791
last,last,JJ,2782
party,party,NN,2742
see,see,VB,2729
information,information,NN,2720
might,might,MD,2706
more,more,DT,2676
'd,have,VBD,2668
away,away,RB,2665
own,own,DT,2646
same,same,DT,2640
going,go,VBG,2626
get,get,VB,2582
1,1,CD,2574
where,where,WRB,2561
many,many,DT,2554
man,man,NN,2552
part,part,NN,2528
business,business,NN,2497
government,government,NN,2488
why,why,WRB,2475
company,company,NN,2455
our,we,PRP$,2445
people,people,NN,2441
as,as,RB,2427
year,year,NN,2416
each,each,DT,2411
date,date,NN,2384
world,world,NN,2340
never,never,RB,2315
go,go,VB,2305
order,order,NN,2302
2,2,CD,2292
take,take,VB,2274
course,course,NN,2224
terms,term,NNS,2224
within,within,IN,2217
another,another,DT,2188
in,in,RB,2185
work,work,NN,2164
act,act,NN,2162
know,know,VB,2142
there,there,RB,2130
something,something,PRP,2130
without,without,IN,2128
though,though,IN,2113
most,most,RB,2112
head,head,NN,2112
much,much,DT,2109
over,over,RB,2100
contract,contract,NN,2043
since,since,IN,2030
hand,hand,NN,2022
life,life,NN,2008
three,three,CD,2006
face,face,NN,1988
water,water,NN,1965
money,money,NN,1959
while,while,IN,1944
subject,subject,NN,1944
went,go,VBD,1940
thought,think,VBD,1939
off,off,RB,1930
per,per,NN,1921
example,example,NN,1908
came,come,VBD,1875
interest,interest,NN,1868
whether,whether,IN,1858
law,law,NN,1850
think,think,VBP,1847
fact,fact,NN,1843
cent,cent,NN,1843
herself,herself,PRP,1839
rather,rather,RB,1833
us,we,PRP,1830
looked,look,VBD,1817
number,number,NN,1814
given,give,VBN,1809
day,day,NN,1794
although,although,IN,1793
know,know,VBP,1783
until,until,IN,1782
use,use,NN,1771
used,use,VBN,1760
'd,would,MD,1757
