word,lemma,pos,freq
the,the,DT,446844
of,of,IN,246442
and,and,CC,189351
a,a,DT,145262
in,in,IN,141718
to,to,TO,105507
is,be,VBZ,76145
to,to,IN,71598
for,for,IN,62062
it,it,PRP,57584
was,be,VBD,54391
that,that,IN,50265
be,be,VB,47103
with,with,IN,45807
as,as,IN,45782
by,by,IN,41155
on,on,IN,39798
are,be,VBP,35232
this,this,DT,32919
at,at,IN,32789
's,'s,POS,31722
he,he,PRP,31570
not,not,RB,31556
from,from,IN,31270
or,or,CC,30539
which,which,WDT,30305
but,but,CC,27227
i,i,PRP,26455
his,he,PRP$,25951
an,an,DT,25695
had,have,VBD,24207
they,they,PRP,23110
you,you,PRP,22468
were,be,VBD,21592
their,they,PRP$,20315
we,we,PRP,18337
has,have,VBZ,18093
been,be,VBN,17251
have,have,VBP,16525
there,there,EX,16109
all,all,DT,15990
can,can,MD,15665
will,will,MD,15014
that,that,DT,14860
if,if,IN,14705
would,would,MD,14062
she,she,PRP,13905
who,who,WP,13261
one,one,CD,12727
its,it,PRP$,12459
some,some,DT,12101
more,more,RB,11885
so,so,RB,11703
what,what,WDT,11681
than,than,IN,11323
have,have,VB,11322
these,these,DT,10708
out,out,RB,10459
other,other,JJ,10365
up,up,RB,10294
when,when,IN,10212
may,may,MD,10207
into,into,IN,9967
them,they,PRP,9835
such,such,DT,9627
also,also,RB,9533
time,time,NN,9494
her,she,PRP$,9445
no,no,DT,9409
two,two,CD,9400
only,only,RB,9305
could,could,MD,9263
n't,not,RB,9198
first,first,JJ,8593
then,then,RB,8360
about,about,IN,8253
any,any,DT,8208
new,new,JJ,7884
between,between,IN,7855
's,be,VBZ,7797
should,should,MD,7698
your,you,PRP$,7565
him,he,PRP,7562
do,do,VBP,7453
people,people,NN,7281
many,many,DT,7236
those,those,DT,6846
now,now,RB,6689
very,very,RB,6642
after,after,IN,6527
even,even,RB,6312
years,year,NNS,6281
one,one,PRP,6211
way,way,NN,6137
did,do,VBD,6042
our,we,PRP$,5943
my,i,PRP$,5892
work,work,NN,5847
how,how,WRB,5734
because,because,IN,5675
well,well,RB,5546
being,be,VBG,5484
said,say,VBD,5473
women,woman,NNS,5337
most,most,RB,5247
own,own,DT,5224
just,just,RB,5120
like,like,IN,5086
through,through,IN,5030
must,must,MD,4992
each,each,DT,4836
however,however,RB,4697
me,i,PRP,4545
before,before,IN,4507
same,same,DT,4465
good,good,JJ,4371
made,make,VBN,4334
more,more,DT,4318
over,over,IN,4295
government,government,NN,4253
too,too,RB,4241
three,three,CD,4192
world,world,NN,4191
might,might,MD,4153
social,social,JJ,4101
still,still,RB,4050
another,another,DT,4025
life,life,NN,4021
children,child,NNS,4005
on,on,RB,3999
does,do,VBZ,3934
year,year,NN,3929
within,within,IN,3894
while,while,IN,3887
part,part,NN,3880
number,number,NN,3873
her,she,PRP,3830
as,as,RB,3753
down,down,RB,3682
make,make,VB,3681
under,under,IN,3679
different,different,JJ,3671
example,example,NN,3661
against,against,IN,3633
day,day,NN,3611
since,since,IN,3601
rather,rather,RB,3562
do,do,VB,3557
much,much,DT,3550
law,law,NN,3543
although,although,IN,3503
often,often,RB,3478
during,during,IN,3471
',',POS,3468
important,important,JJ,3467
great,great,JJ,3404
here,here,RB,3395
us,we,PRP,3394
most,most,DT,3368
last,last,JJ,3358
both,both,RB,3357
system,system,NN,3356
men,man,NNS,3309
group,group,NN,3308
where,where,WRB,3292
man,man,NN,3292
where,where,IN,3285
state,state,NN,3264
case,case,NN,3241
art,art,NN,3213
local,local,JJ,3185
information,information,NN,3175
