word,lemma,pos,freq
.,.,.,4056
the,the,DT,3777
",",",",",",3488
and,and,CC,1705
a,a,DT,1432
of,of,IN,1327
he,he,PRP,1283
was,was,VBD,919
his,his,PRP$,842
in,in,IN,837
to,to,TO,772
i,i,PRP,652
it,it,PRP,637
had,had,VBD,581
to,to,IN,550
?,?,.,518
you,you,PRP,446
with,with,IN,420
him,him,PRP,415
on,on,IN,399
she,she,PRP,377
for,for,IN,358
at,at,IN,342
!,!,.,314
but,but,CC,310
they,they,PRP,305
as,as,IN,287
from,from,IN,270
said,said,VBD,267
her,her,PRP$,266
were,were,VBD,251
this,this,DT,239
that,that,IN,237
;,;,.,216
me,me,PRP,210
up,up,RP,204
not,not,SYM,203
her,her,PRP,202
out,out,RP,202
would,would,MD,194
my,my,PRP$,189
that,that,DT,188
be,be,VB,187
into,into,IN,180
when,when,WRB,173
man,man,NN,166
their,their,PRP$,162
all,all,DT,159
could,could,MD,154
them,them,PRP,154
an,an,DT,153
by,by,IN,152
one,one,CD,151
what,what,WDT,148
no,no,DT,143
if,if,IN,139
then,then,RB,133
have,have,VB,133
been,been,VBN,131
time,time,NN,129
now,now,RB,127
back,back,RB,122
or,or,CC,119
we,we,PRP,119
down,down,RP,118
like,like,IN,113
there,there,EX,112
that,that,WP,103
is,is,VBZ,102
which,which,WDT,102
get,get,VB,101
do,do,VB,99
just,just,RB,96
who,who,WP,95
about,about,IN,93
eyes,eyes,NNS,91
did,did,VBD,90
two,two,CD,88
over,over,IN,86
so,so,RB,83
men,men,NNS,83
only,only,RB,82
see,see,VB,81
there,there,RB,80
don't,don't,NN,79
came,came,VBD,79
even,even,RB,78
again,again,RB,76
himself,himself,PRP,75
go,go,VB,75
through,through,IN,75
before,before,IN,74
face,face,NN,72
out,out,IN,71
away,away,RB,71
:,:,:,71
too,too,RB,70
long,long,JJ,70
didn't,didn't,NN,70
its,its,PRP$,70
on,on,RP,70
your,your,PRP$,69
here,here,RB,69
head,head,NN,68
saw,saw,VBD,67
after,after,IN,67
door,door,NN,67
never,never,RB,66
took,took,VBD,65
against,against,IN,65
hand,hand,NN,65
still,still,RB,63
way,way,NN,62
other,other,DT,61
than,than,IN,60
off,off,RP,60
went,went,VBD,60
house,house,NN,60
water,water,NN,60
made,made,VBD,59
where,where,WRB,58
any,any,DT,58
know,know,VB,58
might,might,MD,58
looked,looked,VBD,58
some,some,DT,57
big,big,JJ,55
in,in,RP,55
got,got,VBD,54
how,how,WRB,54
something,something,PRP,54
come,come,VB,54
knew,knew,VBD,54
so,so,IN,53
girl,girl,NN,53
are,are,VBP,53
thought,thought,VBD,52
side,side,NN,52
as,as,RB,51
i'm,i'm,NN,50
make,make,VB,50
going,going,VBG,50
feet,feet,NNS,49
toward,toward,IN,49
can,can,MD,48
will,will,MD,48
hands,hands,NNS,48
turned,turned,VBD,47
behind,behind,IN,47
us,us,PRP,47
old,old,JJ,46
think,think,VB,45
our,our,PRP$,44
want,want,VB,43
more,more,DT,43
without,without,IN,43
voice,voice,NN,42
boy,boy,NN,42
across,across,IN,41
own,own,JJ,41
take,take,VB,40
few,few,DT,40
nothing,nothing,PRP,39
place,place,NN,39
three,three,CD,39
first,first,JJ,39
began,began,VBD,39
day,day,NN,39
while,while,IN,39
right,right,RB,38
you're,you're,NN,38
good,good,JJ,38
