word,lemma,pos,freq
the,the,DT,10515
",",",",",",9164
.,.,.,6395
of,of,IN,6381
and,and,CC,4418
a,a,DT,3430
in,in,IN,3375
to,to,TO,2337
to,to,IN,1821
is,is,VBZ,1813
he,he,PRP,1539
was,was,VBD,1470
his,his,PRP$,1441
it,it,PRP,1371
for,for,IN,1292
that,that,IN,1240
with,with,IN,1095
as,as,IN,1089
;,;,.,888
i,i,PRP,843
be,be,VB,843
not,not,SYM,831
by,by,IN,828
this,this,DT,789
on,on,IN,770
had,had,VBD,768
but,but,CC,741
at,at,IN,707
from,from,IN,684
which,which,WDT,681
are,are,VBP,649
have,have,VB,630
they,they,PRP,609
an,an,DT,599
or,or,CC,597
were,were,VBD,525
their,their,PRP$,518
we,we,PRP,512
?,?,.,468
who,who,WP,461
all,all,DT,452
one,one,CD,436
has,has,VBZ,403
would,would,MD,397
been,been,VBN,375
him,him,PRP,373
that,that,DT,369
that,that,WP,345
when,when,WRB,342
than,than,IN,322
what,what,WDT,313
there,there,EX,310
its,its,PRP$,310
our,our,PRP$,303
if,if,IN,301
them,them,PRP,297
so,so,RB,291
new,new,JJ,278
:,:,:,275
these,these,DT,271
no,no,DT,269
other,other,DT,267
some,some,DT,259
only,only,RB,251
),),),251
can,can,MD,249
(,(,(,249
into,into,IN,245
the,the,NN,241
my,my,PRP$,238
she,she,PRP,231
time,time,NN,228
man,man,NN,222
will,will,MD,222
even,even,RB,221
about,about,IN,217
you,you,PRP,217
could,could,MD,216
may,may,MD,213
any,any,DT,208
me,me,PRP,205
her,her,PRP$,203
more,more,RB,194
two,two,CD,191
do,do,VB,186
life,life,NN,185
also,also,RB,184
did,did,VBD,179
now,now,RB,173
out,out,RP,173
as,as,RB,172
must,must,MD,169
men,men,NNS,169
us,us,PRP,167
world,world,NN,165
like,like,IN,164
up,up,RP,162
own,own,JJ,161
years,years,NNS,158
many,many,DT,157
after,after,IN,156
then,then,RB,156
way,way,NN,153
people,people,NNS,151
between,between,IN,148
well,well,RB,144
such,such,JJ,143
more,more,DT,142
first,first,JJ,141
being,being,VBG,136
because,because,IN,135
himself,himself,PRP,135
great,great,JJ,135
never,never,RB,134
through,through,IN,132
most,most,RB,129
those,those,DT,128
said,said,VBD,128
without,without,IN,126
before,before,IN,124
both,both,DT,120
one,one,PRP,114
too,too,RB,114
still,still,RB,113
might,might,MD,113
where,where,WRB,113
over,over,IN,111
fact,fact,NN,110
another,another,DT,109
make,make,VB,109
very,very,RB,107
should,should,MD,105
old,old,JJ,105
mr.,mr.,NNP,105
american,american,JJ,104
human,human,JJ,104
work,work,NN,102
upon,upon,IN,100
against,against,IN,100
know,know,VB,99
history,history,NN,98
social,social,JJ,98
day,day,NN,97
came,came,VBD,96
during,during,IN,95
see,see,VB,94
does,does,VBZ,93
while,while,IN,93
form,form,NN,93
!,!,.,92
few,few,DT,91
',','',91
here,here,RB,89
same,same,DT,89
good,good,JJ,89
order,order,NN,89
each,each,DT,87
much,much,DT,87
experience,experience,NN,87
her,her,PRP,86
however,however,RB,86
say,say,VB,86
political,political,JJ,86
nothing,nothing,PRP,85
every,every,DT,85
how,how,WRB,84
go,go,VB,84
part,part,NN,84
under,under,IN,84
war,war,NN,84
sense,sense,NN,84
young,young,JJ,83
little,little,JJ,80
always,always,RB,80
down,down,RP,80
often,often,RB,79
take,take,VB,79
though,though,IN,79
made,made,VBN,78
since,since,IN,78
just,just,RB,78
society,society,NN,78
literature,literature,NN,77
most,most,DT,77
almost,almost,RB,77
art,art,NN,77
find,find,VB,73
course,course,NN,73
much,much,RB,73
southern,southern,JJ,73
place,place,NN,72
themselves,themselves,PRP,72
perhaps,perhaps,RB,72
mind,mind,NN,71
back,back,RB,71
within,within,IN,70
ever,ever,RB,70
things,things,NNS,69
wrote,wrote,VBD,69
once,once,RB,69
out,out,IN,69
far,far,RB,68
itself,itself,PRP,67
made,made,VBD,67
private,private,JJ,66
among,among,IN,66
south,south,NNP,66
kind,kind,NN,65
thus,thus,RB,65
ideas,ideas,NNS,65
there,there,RB,64
century,century,NN,64
group,group,NN,64
three,three,CD,63
let,let,VB,63
states,states,NNPS,63
although,although,IN,63
long,long,JJ,63
moral,moral,JJ,62
important,important,JJ,62
state,state,NN,62
story,story,NN,61
having,having,VBG,61
others,others,NNS,61
general,general,JJ,61
took,took,VBD,61
personal,personal,JJ,60
power,power,NN,60
whose,whose,WP$,60
free,free,JJ,60
community,community,NN,60
went,went,VBD,60
love,love,NN,59
on,on,RP,59
nature,nature,NN,59
country,country,NN,59
am,am,VBP,58
get,get,VB,58
book,book,NN,58
law,law,NN,58
days,days,NNS,58
gave,gave,VBD,58
york,york,NNP,58
death,death,NN,57
give,give,VB,56
until,until,IN,56
high,high,JJ,56
later,later,RBR,56
come,come,VB,56
true,true,JJ,55
think,think,VB,55
united,united,NN,55
several,several,DT,55
england,england,NNP,55
action,action,NN,55
point,point,NN,55
knew,knew,VBD,55
literary,literary,JJ,54
something,something,PRP,54
began,began,VBD,54
last,last,DT,54
home,home,NN,54
public,public,JJ,54
became,became,VBD,54
war,war,NNP,54
family,family,NN,54
mrs.,mrs.,NNP,54
again,again,RB,53
end,end,NN,53
example,example,NN,53
students,students,NNS,53
cannot,cannot,NN,52
year,year,NN,52
side,side,NN,52
your,your,PRP$,52
no,no,RB,52
truth,truth,NN,51
english,english,JJ,51
only,only,DT,51
friend,friend,NN,51
evidence,evidence,NN,51
change,change,NN,51
seem,seem,VB,51
whether,whether,IN,51
least,least,DT,51
poetry,poetry,NN,51
case,case,NN,50
written,written,VBN,50
toward,toward,IN,50
reason,reason,NN,50
common,common,JJ,50
idea,idea,NN,50
age,age,NN,50
president,president,NNP,50
whom,whom,WP,50
small,small,JJ,50
look,look,VB,49
modern,modern,JJ,49
name,name,NN,49
become,become,VB,49
matter,matter,NN,49
seems,seems,VBZ,48
why,why,WRB,48
period,period,NN,48
taken,taken,VBN,48
nations,nations,NNS,48
known,known,VBN,48
given,given,VBN,47
interest,interest,NN,47
second,second,JJ,47
long,long,RB,47
little,little,DT,47
certain,certain,JJ,47
word,word,NN,47
hearst,hearst,NNP,47
possible,possible,JJ,46
asked,asked,VBD,46
done,done,VBN,46
friends,friends,NNS,46
jazz,jazz,NN,46
times,times,NNS,45
such,such,NN,45
thomas,thomas,NNP,45
economic,economic,JJ,45
national,national,JJ,45
military,military,JJ,45
best,best,JJS,44
rather,rather,RB,44
found,found,VBD,44
thing,thing,NN,44
