word,lemma,pos,freq
the,the,DT,3847
",",",",",",2741
.,.,.,2472
of,of,IN,1993
and,and,CC,1333
a,a,DT,1141
in,in,IN,1076
to,to,TO,952
is,is,VBZ,749
to,to,IN,629
for,for,IN,541
it,it,PRP,499
be,be,VB,421
that,that,IN,384
he,he,PRP,364
with,with,IN,329
on,on,IN,328
as,as,IN,327
this,this,DT,326
was,was,VBD,310
not,not,SYM,304
by,by,IN,303
are,are,VBP,297
?,?,.,282
have,have,VB,275
but,but,CC,274
his,his,PRP$,269
has,has,VBZ,261
will,will,MD,225
we,we,PRP,224
from,from,IN,219
at,at,IN,217
i,i,PRP,201
or,or,CC,198
;,;,.,196
an,an,DT,192
which,which,WDT,191
would,would,MD,185
they,they,PRP,184
who,who,WP,177
been,been,VBN,151
one,one,CD,150
all,all,DT,140
if,if,IN,134
new,new,JJ,133
its,its,PRP$,131
their,their,PRP$,131
our,our,PRP$,127
when,when,WRB,122
can,can,MD,122
had,had,VBD,120
the,the,NN,114
what,what,WDT,110
were,were,VBD,109
that,that,DT,109
do,do,VB,109
than,than,IN,109
:,:,:,108
mr.,mr.,NNP,107
him,him,PRP,106
some,some,DT,105
no,no,DT,102
that,that,WP,97
there,there,EX,97
(,(,(,95
),),),95
so,so,RB,94
other,other,DT,92
you,you,PRP,90
should,should,MD,90
now,now,RB,89
these,these,DT,82
any,any,DT,82
people,people,NNS,78
into,into,IN,78
united,united,NN,76
may,may,MD,74
time,time,NN,74
american,american,JJ,73
up,up,RP,72
more,more,RB,72
many,many,DT,72
two,two,CD,68
world,world,NN,66
more,more,DT,66
them,them,PRP,66
too,too,RB,65
even,even,RB,64
years,years,NNS,63
as,as,RB,63
us,us,PRP,62
then,then,RB,61
she,she,PRP,61
first,first,JJ,58
good,good,JJ,58
those,those,DT,58
last,last,DT,57
states,states,NNPS,57
only,only,RB,56
could,could,MD,56
out,out,RP,55
man,man,NN,55
war,war,NN,54
make,make,VB,53
must,must,MD,53
year,year,NN,52
my,my,PRP$,51
president,president,NNP,51
such,such,JJ,50
just,just,RB,49
government,government,NN,49
berlin,berlin,NNP,49
own,own,JJ,48
also,also,RB,47
about,about,IN,47
state,state,NN,47
most,most,RB,46
east,east,JJ,46
being,being,VBG,45
where,where,WRB,45
how,how,WRB,44
way,way,NN,43
over,over,IN,43
know,know,VB,43
public,public,JJ,43
does,does,VBZ,43
old,old,JJ,43
against,against,IN,42
still,still,RB,41
very,very,RB,41
soviet,soviet,NNP,41
take,take,VB,40
few,few,DT,40
city,city,NN,40
nuclear,nuclear,JJ,40
see,see,VB,39
kennedy,kennedy,NNP,39
said,said,VBD,38
another,another,DT,38
after,after,IN,38
men,men,NNS,38
far,far,RB,38
since,since,IN,37
get,get,VB,37
program,program,NN,37
might,might,MD,37
political,political,JJ,37
khrushchev,khrushchev,NNP,37
great,great,JJ,37
:,:,NN,37
national,national,JJ,36
between,between,IN,36
did,did,VBD,36
fact,fact,NN,36
because,because,IN,36
your,your,PRP$,36
editor,editor,NN,36
life,life,NN,35
each,each,DT,34
never,never,RB,34
under,under,IN,34
toward,toward,IN,34
without,without,IN,34
part,part,NN,33
course,course,NN,33
school,school,NN,33
made,made,VBN,33
me,me,PRP,33
congress,congress,NNP,33
day,day,NN,32
country,country,NN,32
general,general,JJ,32
out,out,IN,32
children,children,NNS,32
cannot,cannot,NN,32
west,west,JJ,32
down,down,RP,31
peace,peace,NN,31
well,well,RB,31
during,during,IN,31
!,!,.,30
both,both,DT,30
like,like,IN,30
whether,whether,IN,30
upon,upon,IN,30
party,party,NN,30
washington,washington,NNP,30
before,before,IN,29
every,every,DT,29
least,least,DT,29
power,power,NN,29
week,week,NN,29
communist,communist,NNP,29
much,much,DT,29
per,per,IN,29
back,back,RB,28
small,small,JJ,28
until,until,IN,28
economic,economic,JJ,28
come,come,VB,28
go,go,VB,28
same,same,DT,27
question,question,NN,27
here,here,RB,27
most,most,DT,27
free,free,JJ,27
think,think,VB,27
her,her,PRP$,26
days,days,NNS,26
john,john,NNP,26
almost,almost,RB,26
seems,seems,VBZ,26
himself,himself,PRP,25
again,again,RB,25
going,going,VBG,25
action,action,NN,25
right,right,NN,25
members,members,NNS,25
much,much,RB,25
",",",",NN,25
high,high,JJ,25
yet,yet,RB,25
reason,reason,NN,24
schools,schools,NNS,24
leaders,leaders,NNS,24
public,public,NN,24
done,done,VBN,24
next,next,DT,24
recent,recent,JJ,24
don't,don't,NN,24
and,and,NN,24
secretary,secretary,NNP,24
while,while,IN,24
budget,budget,NN,24
york,york,NNP,24
problems,problems,NNS,24
help,help,VB,24
only,only,DT,24
china,china,NNP,24
there,there,RB,23
young,young,JJ,23
law,law,NN,23
business,business,NN,23
work,work,NN,23
says,says,VBZ,23
say,say,VB,23
one,one,PRP,23
germany,germany,NNP,23
itself,itself,PRP,22
several,several,DT,22
themselves,themselves,PRP,22
however,however,WRB,22
tax,tax,NN,22
policy,policy,NN,22
service,service,NN,22
long,long,JJ,22
county,county,NN,22
present,present,JJ,22
u.s.,u.s.,NNP,22
million,million,CD,22
tests,tests,NNS,22
podger,podger,NNP,21
came,came,VBD,21
things,things,NNS,21
through,through,IN,21
why,why,WRB,21
perhaps,perhaps,RB,21
let,let,VB,21
death,death,NN,21
industrial,industrial,JJ,21
matter,matter,NN,21
military,military,JJ,21
choice,choice,NN,21
foreign,foreign,JJ,21
editorial,editorial,NN,21
off,off,RP,20
use,use,NN,20
once,once,RB,20
crisis,crisis,NN,20
words,words,NNS,20
give,give,VB,20
russia,russia,NNP,20
st.,st.,NNP,20
louis,louis,NNP,20
house,house,NNP,20
point,point,NN,20
state,state,NNP,20
hand,hand,NN,20
