word,lemma,pos,freq
the,the,DT,3779
",",",",",",3654
.,.,.,3638
and,and,CC,1767
of,of,IN,1423
a,a,DT,1337
he,he,PRP,1308
was,was,VBD,1091
to,to,TO,936
in,in,IN,928
his,his,PRP$,793
had,had,VBD,706
it,it,PRP,607
to,to,IN,571
?,?,.,564
i,i,PRP,511
with,with,IN,483
she,she,PRP,425
for,for,IN,412
at,at,IN,397
on,on,IN,390
him,him,PRP,381
;,;,.,318
not,not,SYM,314
they,they,PRP,313
would,would,MD,291
but,but,CC,290
!,!,.,284
you,you,PRP,282
as,as,IN,280
her,her,PRP$,272
that,that,IN,265
be,be,VB,256
were,were,VBD,240
from,from,IN,235
that,that,DT,212
when,when,WRB,192
out,out,RP,190
what,what,WDT,186
all,all,DT,184
said,said,VBD,178
this,this,DT,176
or,or,CC,173
them,them,PRP,172
up,up,RP,172
have,have,VB,169
could,could,MD,168
their,their,PRP$,166
by,by,IN,162
an,an,DT,160
been,been,VBN,157
one,one,CD,152
is,is,VBZ,151
into,into,IN,148
her,her,PRP,141
there,there,EX,140
me,me,PRP,137
about,about,IN,135
like,like,IN,133
my,my,PRP$,131
now,now,RB,130
if,if,IN,128
which,which,WDT,124
no,no,DT,124
did,did,VBD,123
then,then,RB,118
we,we,PRP,118
who,who,WP,112
man,man,NN,111
time,time,NN,102
so,so,RB,102
do,do,VB,95
came,came,VBD,91
that,that,WP,90
some,some,DT,90
where,where,WRB,89
:,:,:,84
back,back,RB,84
get,get,VB,84
old,old,JJ,82
went,went,VBD,79
there,there,RB,79
down,down,RP,78
know,know,VB,77
two,two,CD,76
how,how,WRB,75
go,go,VB,74
men,men,NNS,73
never,never,RB,72
here,here,RB,70
again,again,RB,70
himself,himself,PRP,69
looked,looked,VBD,67
over,over,IN,67
don't,don't,NN,65
only,only,RB,64
after,after,IN,64
room,room,NN,63
way,way,NN,62
before,before,IN,62
eyes,eyes,NNS,61
too,too,RB,61
thought,thought,VBD,61
through,through,IN,60
even,even,RB,60
on,on,RP,60
see,see,VB,59
knew,knew,VBD,59
saw,saw,VBD,58
just,just,RB,58
must,must,MD,55
face,face,NN,55
felt,felt,VBD,55
away,away,RB,55
its,its,PRP$,55
good,good,JJ,55
head,head,NN,54
still,still,RB,54
any,any,DT,54
house,house,NN,54
didn't,didn't,NN,54
off,off,RP,53
own,own,JJ,53
day,day,NN,53
night,night,NN,53
are,are,VBP,52
big,big,JJ,52
make,make,VB,51
take,take,VB,51
seemed,seemed,VBD,51
same,same,DT,51
down,down,IN,51
hand,hand,NN,50
will,will,MD,50
another,another,DT,49
always,always,RB,49
new,new,JJ,49
other,other,DT,48
home,home,NN,48
once,once,RB,47
than,than,IN,47
these,these,DT,47
door,door,NN,47
going,going,VBG,46
little,little,JJ,46
long,long,JJ,45
something,something,PRP,45
life,life,NN,45
years,years,NNS,44
took,took,VBD,44
while,while,IN,44
think,think,VB,43
our,our,PRP$,43
in,in,RP,43
as,as,RB,42
your,your,PRP$,42
asked,asked,VBD,42
might,might,MD,42
why,why,WRB,42
come,come,VB,41
mrs.,mrs.,NNP,41
white,white,JJ,41
people,people,NNS,41
god,god,NNP,41
water,water,NN,40
first,first,JJ,40
around,around,IN,40
made,made,VBD,40
place,place,NN,40
kate,kate,NNP,40
turned,turned,VBD,39
can,can,MD,39
every,every,DT,39
mr.,mr.,NNP,39
church,church,NN,39
say,say,VB,38
because,because,IN,38
since,since,IN,37
should,should,MD,37
each,each,DT,37
us,us,PRP,37
got,got,VBD,37
more,more,DT,37
stood,stood,VBD,37
john,john,NNP,37
though,though,IN,36
moment,moment,NN,36
no,no,RB,36
about,about,RB,36
very,very,RB,36
winston,winston,NNP,36
voice,voice,NN,35
those,those,DT,35
days,days,NNS,35
tell,tell,VB,35
out,out,IN,35
began,began,VBD,35
woman,woman,NN,34
sat,sat,VBD,34
told,told,VBD,34
boy,boy,NN,33
road,road,NN,33
over,over,RP,33
well,well,RB,33
nothing,nothing,PRP,33
want,want,VB,33
behind,behind,IN,33
doctor,doctor,NN,33
body,body,NN,32
let,let,VB,32
things,things,NNS,32
hans,hans,NNP,32
so,so,IN,32
morning,morning,NN,32
one,one,PRP,32
scotty,scotty,NNP,32
small,small,JJ,31
great,great,JJ,31
few,few,DT,31
more,more,RB,31
around,around,RB,31
being,being,VBG,30
across,across,IN,30
together,together,RB,30
without,without,IN,30
found,found,VBD,30
black,black,JJ,30
thing,thing,NN,30
