word,lemma,pos,freq
the,the,DT,4484
",",",",",",3378
of,of,IN,3056
.,.,.,2284
and,and,CC,1891
in,in,IN,1458
to,to,TO,928
to,to,IN,923
a,a,DT,919
for,for,IN,858
is,is,VBZ,648
be,be,VB,596
;,;,.,444
this,this,DT,439
by,by,IN,436
as,as,IN,416
are,are,VBP,416
on,on,IN,411
or,or,CC,395
with,with,IN,376
that,that,IN,363
it,it,PRP,318
which,which,WDT,264
at,at,IN,253
from,from,IN,249
),),),240
will,will,MD,237
(,(,(,236
an,an,DT,224
have,have,VB,223
was,was,VBD,223
.,.,NN,209
not,not,SYM,207
other,other,DT,196
year,year,NN,183
their,their,PRP$,178
such,such,JJ,175
he,he,PRP,168
all,all,DT,166
states,states,NNPS,157
these,these,DT,156
our,our,PRP$,156
united,united,NN,155
has,has,VBZ,153
may,may,MD,152
new,new,JJ,150
his,his,PRP$,149
any,any,DT,148
its,its,PRP$,148
we,we,PRP,143
the,the,NN,137
been,been,VBN,130
were,were,VBD,126
they,they,PRP,118
would,would,MD,118
than,than,IN,117
one,one,CD,115
can,can,MD,115
development,development,NN,113
if,if,IN,112
should,should,MD,111
but,but,CC,111
state,state,NN,106
(,(,NN,106
years,years,NNS,105
),),NN,105
1,1,CD,104
time,time,NN,103
made,made,VBN,103
:,:,:,101
under,under,IN,101
fiscal,fiscal,JJ,100
must,must,MD,99
shall,shall,MD,99
business,business,NN,98
there,there,EX,96
i,i,PRP,95
also,also,RB,89
state,state,NNP,89
2,2,CD,86
many,many,DT,85
you,you,PRP,85
tax,tax,NN,83
program,program,NN,80
during,during,IN,80
each,each,DT,77
who,who,WP,77
government,government,NNP,76
department,department,NNP,73
property,property,NN,72
rhode,rhode,NNP,71
two,two,CD,71
that,that,WP,71
act,act,NNP,68
use,use,NN,68
no,no,DT,67
service,service,NN,67
that,that,DT,67
small,small,JJ,67
1960,1960,CD,66
island,island,NNP,65
when,when,WRB,65
into,into,IN,64
more,more,DT,64
national,national,JJ,64
them,them,PRP,63
some,some,DT,63
both,both,DT,62
as,as,RB,62
only,only,RB,62
so,so,RB,62
those,those,DT,61
through,through,IN,59
local,local,JJ,58
and,and,NN,57
mr.,mr.,NNP,57
more,more,RB,56
period,period,NN,56
per,per,IN,56
secretary,secretary,NNP,55
out,out,RP,55
