word,lemma,pos,freq
the,the,DT,4722
",",",",",",3832
.,.,.,3417
of,of,IN,2412
and,and,CC,2151
a,a,DT,1835
in,in,IN,1508
to,to,TO,988
is,is,VBZ,968
for,for,IN,854
to,to,IN,814
with,with,IN,624
it,it,PRP,588
are,are,VBP,532
be,be,VB,523
;,;,.,508
on,on,IN,507
or,or,CC,461
this,this,DT,441
you,you,PRP,433
as,as,IN,392
have,have,VB,376
at,at,IN,353
by,by,IN,341
?,?,.,308
from,from,IN,296
that,that,IN,295
(,(,(,284
),),),279
your,your,PRP$,275
can,can,MD,273
one,one,CD,265
was,was,VBD,265
will,will,MD,259
his,his,PRP$,257
which,which,WDT,253
an,an,DT,243
has,has,VBZ,235
not,not,SYM,223
they,they,PRP,216
but,but,CC,210
all,all,DT,206
he,he,PRP,196
if,if,IN,181
when,when,WRB,164
its,its,PRP$,160
than,than,IN,158
we,we,PRP,158
their,their,PRP$,157
i,i,PRP,154
new,new,JJ,149
that,that,WP,142
these,these,DT,140
other,other,DT,139
may,may,MD,130
time,time,NN,128
them,them,PRP,126
do,do,VB,124
many,many,DT,123
two,two,CD,118
:,:,:,118
been,been,VBN,115
there,there,EX,114
also,also,RB,110
into,into,IN,108
only,only,RB,108
were,were,VBD,106
some,some,DT,106
as,as,RB,104
who,who,WP,104
good,good,JJ,100
more,more,DT,97
up,up,RP,96
no,no,DT,93
make,make,VB,90
any,any,DT,90
used,used,VBN,89
then,then,RB,88
what,what,WDT,88
each,each,DT,88
that,that,DT,86
our,our,PRP$,86
first,first,JJ,85
!,!,.,84
water,water,NN,83
must,must,MD,83
would,would,MD,83
years,years,NNS,80
such,such,JJ,79
:,:,NN,79
more,more,RB,77
way,way,NN,76
about,about,RB,75
where,where,WRB,75
now,now,RB,75
just,just,RB,73
should,should,MD,73
after,after,IN,73
through,through,IN,72
had,had,VBD,71
even,even,RB,69
out,out,RP,69
those,those,DT,69
per,per,IN,69
well,well,RB,68
so,so,RB,68
same,same,DT,68
clay,clay,NN,67
area,area,NN,64
work,work,NN,62
most,most,RB,62
very,very,RB,62
made,made,VBN,61
before,before,IN,60
because,because,IN,60
most,most,DT,59
could,could,MD,59
too,too,RB,58
side,side,NN,58
few,few,DT,57
long,long,JJ,56
small,small,JJ,56
design,design,NN,56
number,number,NN,55
another,another,DT,54
use,use,NN,53
so,so,IN,53
like,like,IN,53
every,every,DT,53
year,year,NN,53
af,af,NN,53
head,head,NN,53
over,over,IN,52
large,large,JJ,52
hanover,hanover,NNP,52
three,three,CD,51
day,day,NN,50
people,people,NNS,49
him,him,PRP,49
how,how,NN,48
available,available,JJ,48
use,use,VB,47
great,great,JJ,47
much,much,RB,47
still,still,RB,46
site,site,NN,46
house,house,NN,46
feed,feed,VB,46
pool,pool,NN,46
see,see,VB,45
don't,don't,NN,44
high,high,JJ,44
get,get,VB,44
areas,areas,NNS,44
my,my,PRP$,44
possible,possible,JJ,44
under,under,IN,44
since,since,IN,44
bridge,bridge,NN,43
between,between,IN,43
program,program,NN,43
feed,feed,NN,43
both,both,DT,42
take,take,VB,42
four,four,CD,42
piece,piece,NN,42
pieces,pieces,NNS,42
find,find,VB,41
here,here,RB,41
several,several,DT,41
development,development,NN,41
it's,it's,NN,40
best,best,JJS,40
important,important,JJ,40
cost,cost,NN,40
down,down,RP,39
national,national,JJ,39
until,until,IN,39
american,american,JJ,39
sure,sure,JJ,38
first,first,RB,38
off,off,RP,38
car,car,NN,38
however,however,RB,38
days,days,NNS,38
while,while,IN,37
2,2,CD,37
being,being,VBG,37
old,old,JJ,37
mold,mold,NN,37
life,life,NN,36
1,1,CD,36
.,.,NN,36
3,3,CD,36
place,place,NN,36
today,today,NN,36
the,the,NN,36
position,position,NN,36
does,does,VBZ,35
different,different,JJ,35
boat,boat,NN,35
done,done,VBN,35
job,job,NN,35
keep,keep,VB,34
equipment,equipment,NN,34
during,during,IN,34
