word,lemma,pos,freq
",",",",",",1331
the,the,DT,1011
.,.,.,877
and,and,CC,528
a,a,DT,523
of,of,IN,518
in,in,IN,343
to,to,TO,299
was,was,VBD,276
i,i,PRP,239
it,it,PRP,210
he,he,PRP,195
to,to,IN,166
for,for,IN,158
?,?,.,152
that,that,IN,148
you,you,PRP,148
his,his,PRP$,145
had,had,VBD,144
with,with,IN,132
is,is,VBZ,121
as,as,IN,121
on,on,IN,112
at,at,IN,107
they,they,PRP,98
but,but,CC,98
;,;,.,98
not,not,SYM,84
were,were,VBD,84
!,!,.,82
said,said,VBD,81
she,she,PRP,81
my,my,PRP$,80
an,an,DT,79
be,be,VB,79
this,this,DT,76
by,by,IN,71
or,or,CC,68
which,which,WDT,62
when,when,WRB,62
from,from,IN,61
that,that,DT,60
me,me,PRP,56
would,would,MD,56
have,have,VB,56
one,one,CD,54
all,all,DT,54
their,their,PRP$,53
her,her,PRP$,53
we,we,PRP,50
who,who,WP,48
him,him,PRP,48
what,what,WDT,46
them,them,PRP,46
up,up,RP,45
so,so,RB,44
are,are,VBP,44
time,time,NN,43
that,that,WP,42
if,if,IN,42
:,:,:,40
been,been,VBN,39
your,your,PRP$,38
mr.,mr.,NNP,36
then,then,RB,35
do,do,VB,35
into,into,IN,35
even,even,RB,34
could,could,MD,33
there,there,EX,33
our,our,PRP$,32
out,out,RP,32
(,(,(,31
),),),31
about,about,IN,31
such,such,JJ,30
did,did,VBD,30
like,like,IN,29
other,other,DT,29
after,after,IN,28
now,now,RB,28
no,no,DT,28
way,way,NN,28
',','',27
things,things,NNS,27
two,two,CD,26
has,has,VBZ,26
only,only,RB,25
than,than,IN,25
get,get,VB,25
just,just,RB,24
arlene,arlene,NNP,24
one,one,PRP,23
us,us,PRP,23
how,how,WRB,21
down,down,RP,21
man,man,NN,21
years,years,NNS,21
some,some,DT,20
little,little,DT,20
new,new,JJ,20
too,too,RB,20
never,never,RB,20
children,children,NNS,20
very,very,RB,20
any,any,DT,19
letch,letch,NNP,19
day,day,NN,19
once,once,RB,19
people,people,NNS,19
say,say,VB,18
long,long,JJ,18
more,more,RB,18
room,room,NN,18
these,these,DT,18
on,on,RP,18
didn't,didn't,NN,18
over,over,IN,18
barco,barco,NNP,18
always,always,RB,17
through,through,IN,17
can,can,MD,17
home,home,NN,17
many,many,DT,17
another,another,DT,17
old,old,JJ,17
in,in,RP,17
moreland,moreland,NNP,17
the,the,NN,16
made,made,VBD,16
know,know,VB,16
where,where,WRB,16
last,last,DT,16
its,its,PRP$,16
something,something,PRP,16
asked,asked,VBD,15
comedy,comedy,NN,15
again,again,RB,15
seemed,seemed,VBD,15
more,more,DT,15
because,because,IN,15
went,went,VBD,15
her,her,PRP,15
couldn't,couldn't,NN,15
funny,funny,JJ,15
done,done,VBN,14
every,every,DT,14
first,first,JJ,14
think,think,VB,14
heart,heart,NN,14
house,house,NN,14
welch,welch,NNP,14
make,make,VB,13
also,also,RB,13
going,going,VBG,13
since,since,IN,13
why,why,WRB,13
thing,thing,NN,13
see,see,VB,13
being,being,VBG,13
those,those,DT,13
mother,mother,NN,13
back,back,RB,13
will,will,MD,13
while,while,IN,12
case,case,NN,12
most,most,RB,12
good,good,JJ,12
much,much,RB,12
as,as,RB,12
so,so,IN,12
life,life,NN,12
out,out,IN,12
looked,looked,VBD,12
head,head,NN,12
came,came,VBD,12
told,told,VBD,12
seems,seems,VBZ,12
against,against,IN,11
own,own,JJ,11
sometimes,sometimes,RB,11
each,each,DT,11
mother,mother,NNP,11
few,few,DT,11
called,called,VBN,11
girl,girl,NN,11
night,night,NN,11
off,off,RP,11
world,world,NN,11
crombie,crombie,NNP,11
tell,tell,VB,11
i'm,i'm,NN,11
general,general,NNP,11
woman,woman,NN,10
great,great,JJ,10
without,without,IN,10
having,having,VBG,10
wife,wife,NN,10
film,film,NN,10
enough,enough,NN,10
took,took,VBD,10
find,find,VB,10
go,go,VB,10
newspaper,newspaper,NN,10
eyes,eyes,NNS,10
perhaps,perhaps,RB,10
whole,whole,JJ,10
moment,moment,NN,10
couple,couple,NN,10
ever,ever,RB,10
kitchen,kitchen,NN,10
don't,don't,NN,10
ago,ago,RB,10
viola,viola,NNP,10
part,part,NN,9
myself,myself,PRP,9
during,during,IN,9
it's,it's,NN,9
you're,you're,NN,9
around,around,RB,9
place,place,NN,9
put,put,VB,9
both,both,DT,9
before,before,IN,9
small,small,JJ,9
four,four,CD,9
over,over,RP,9
must,must,MD,9
sort,sort,NN,9
kind,kind,NN,9
knew,knew,VBD,9
five,five,CD,9
tools,tools,NNS,9
there,there,RB,9
sat,sat,VBD,9
blatz,blatz,NNP,9
under,under,IN,9
horse,horse,NN,9
human,human,NN,9
upon,upon,IN,8
all,all,RB,8
well,well,RB,8
hear,hear,VB,8
miss,miss,NNP,8
may,may,MD,8
husband,husband,NN,8
dear,dear,JJ,8
thought,thought,VBD,8
keep,keep,VB,8
school,school,NN,8
year,year,NN,8
almost,almost,RB,8
certain,certain,JJ,8
less,less,RB,8
look,look,VB,8
wasn't,wasn't,NN,8
might,might,MD,8
least,least,DT,8
workbench,workbench,NN,8
stone,stone,NN,8
hand,hand,NN,8
matter,matter,NN,8
only,only,DT,8
himself,himself,PRP,8
no,no,RB,8
oh,oh,UH,8
told,told,VBN,8
whose,whose,WP$,8
am,am,VBP,8
stage,stage,NN,8
feet,feet,NNS,8
radish,radish,NN,8
barco's,barco's,NNP,8
humor,humor,NN,8
made,made,VBN,7
work,work,NN,7
far,far,RB,7
wrote,wrote,VBD,7
times,times,NNS,7
much,much,DT,7
away,away,RB,7
story,story,NN,7
else,else,RB,7
felt,felt,VBD,7
party,party,NN,7
mouth,mouth,NN,7
picture,picture,NN,7
turned,turned,VBD,7
same,same,DT,7
anyone,anyone,PRP,7
person,person,NN,7
important,important,JJ,7
can't,can't,NN,7
became,became,VBD,7
lot,lot,NN,7
live,live,VB,7
