word,lemma,pos,freq
.,.,.,16418
",",",",",",15968
the,the,DT,15077
and,and,CC,7471
a,a,DT,6104
of,of,IN,5712
he,he,PRP,5121
was,was,VBD,4313
to,to,TO,3909
in,in,IN,3759
i,i,PRP,3034
his,his,PRP$,3033
it,it,PRP,2981
?,?,.,2746
had,had,VBD,2737
to,to,IN,2502
she,she,PRP,2020
you,you,PRP,1946
with,with,IN,1916
for,for,IN,1847
on,on,IN,1670
at,at,IN,1663
him,him,PRP,1572
but,but,CC,1422
that,that,IN,1261
as,as,IN,1225
;,;,.,1212
not,not,SYM,1188
her,her,PRP$,1188
they,they,PRP,1185
!,!,.,1146
be,be,VB,1128
said,said,VBD,1076
would,would,MD,1057
were,were,VBD,1005
from,from,IN,1002
that,that,DT,946
this,this,DT,911
have,have,VB,905
up,up,RP,838
her,her,PRP,834
all,all,DT,793
out,out,RP,785
when,when,WRB,771
could,could,MD,744
what,what,WDT,737
me,me,PRP,734
my,my,PRP$,724
an,an,DT,716
is,is,VBZ,701
been,been,VBN,698
or,or,CC,695
if,if,IN,682
them,them,PRP,681
into,into,IN,665
by,by,IN,636
no,no,DT,631
there,there,EX,629
one,one,CD,628
their,their,PRP$,591
like,like,IN,577
then,then,RB,571
now,now,RB,537
we,we,PRP,535
about,about,IN,516
man,man,NN,510
which,which,WDT,488
time,time,NN,482
do,do,VB,478
so,so,RB,473
did,did,VBD,463
who,who,WP,457
back,back,RB,450
get,get,VB,416
just,just,RB,413
down,down,RP,391
that,that,WP,384
your,your,PRP$,353
know,know,VB,350
two,two,CD,341
some,some,DT,341
don't,don't,NN,336
too,too,RB,335
there,there,RB,335
go,go,VB,329
didn't,didn't,NN,328
even,even,RB,326
see,see,VB,325
only,only,RB,325
went,went,VBD,323
came,came,VBD,316
way,way,NN,309
here,here,RB,307
where,where,WRB,307
are,are,VBP,305
never,never,RB,303
old,old,JJ,300
eyes,eyes,NNS,296
after,after,IN,293
again,again,RB,291
:,:,:,288
how,how,WRB,288
any,any,DT,286
on,on,RP,285
before,before,IN,284
over,over,IN,282
other,other,DT,282
himself,himself,PRP,274
through,through,IN,272
than,than,IN,272
knew,knew,VBD,267
still,still,RB,265
looked,looked,VBD,261
long,long,JJ,258
thought,thought,VBD,255
away,away,RB,254
in,in,RP,252
going,going,VBG,249
something,something,PRP,249
its,its,PRP$,248
off,off,RP,246
as,as,RB,244
can,can,MD,243
door,door,NN,242
head,head,NN,237
men,men,NNS,235
take,take,VB,231
i'm,i'm,NN,231
make,make,VB,230
might,might,MD,228
room,room,NN,226
out,out,IN,226
face,face,NN,225
think,think,VB,223
saw,saw,VBD,222
took,took,VBD,222
good,good,JJ,222
day,day,NN,221
because,because,IN,217
got,got,VBD,213
own,own,JJ,209
hand,hand,NN,207
one,one,PRP,207
made,made,VBD,206
felt,felt,VBD,205
why,why,WRB,205
house,house,NN,205
say,say,VB,199
come,come,VB,197
so,so,IN,197
mr.,mr.,NNP,194
people,people,NNS,189
big,big,JJ,188
night,night,NN,188
us,us,PRP,188
very,very,RB,187
will,will,MD,187
little,little,DT,186
seemed,seemed,VBD,186
turned,turned,VBD,185
new,new,JJ,185
nothing,nothing,PRP,184
more,more,DT,181
over,over,RP,180
asked,asked,VBD,179
against,against,IN,178
once,once,RB,178
another,another,DT,178
want,want,VB,176
must,must,MD,176
it's,it's,NN,175
while,while,IN,174
those,those,DT,173
years,years,NNS,173
tell,tell,VB,172
place,place,NN,172
always,always,RB,172
our,our,PRP$,170
first,first,JJ,167
home,home,NN,167
these,these,DT,165
thing,thing,NN,163
life,life,NN,163
water,water,NN,163
without,without,IN,159
anything,anything,PRP,158
same,same,DT,158
i'll,i'll,NN,156
around,around,RB,155
couldn't,couldn't,NN,154
around,around,IN,154
few,few,DT,153
stood,stood,VBD,153
told,told,VBD,152
voice,voice,NN,151
mrs.,mrs.,NNP,151
last,last,DT,150
no,no,RB,150
moment,moment,NN,146
toward,toward,IN,145
well,well,RB,144
car,car,NN,144
woman,woman,NN,143
all,all,RB,141
look,look,VB,140
small,small,JJ,140
being,being,VBG,139
side,side,NN,138
until,until,IN,138
hands,hands,NNS,137
three,three,CD,137
right,right,RB,137
down,down,IN,136
things,things,NNS,136
boy,boy,NN,136
more,more,RB,136
much,much,RB,135
that's,that's,NN,135
each,each,DT,135
almost,almost,RB,134
much,much,DT,132
behind,behind,IN,131
about,about,RB,131
ever,ever,RB,130
both,both,DT,129
