word,lemma,pos,freq
the,the,DT,53936
",",",",",",42185
.,.,.,32394
of,of,IN,30689
and,and,CC,21071
in,in,IN,17105
a,a,DT,16839
to,to,TO,11008
is,is,VBZ,9364
to,to,IN,8648
for,for,IN,7631
it,it,PRP,5748
was,was,VBD,5493
with,with,IN,5366
be,be,VB,5232
that,that,IN,5203
as,as,IN,4915
by,by,IN,4604
on,on,IN,4506
he,he,PRP,4420
;,;,.,4350
this,this,DT,4227
are,are,VBP,4067
his,his,PRP$,3913
at,at,IN,3705
or,or,CC,3495
not,not,SYM,3412
from,from,IN,3368
which,which,WDT,3068
have,have,VB,3020
an,an,DT,2990
but,but,CC,2796
they,they,PRP,2432
has,has,VBZ,2310
were,were,VBD,2276
had,had,VBD,2158
),),),2145
(,(,(,2136
one,one,CD,2099
i,i,PRP,2095
we,we,PRP,2093
their,their,PRP$,2075
all,all,DT,1953
will,will,MD,1943
?,?,.,1882
who,who,WP,1791
been,been,VBN,1772
would,would,MD,1653
its,its,PRP$,1606
when,when,WRB,1549
there,there,EX,1533
can,can,MD,1515
than,than,IN,1514
if,if,IN,1505
new,new,JJ,1448
these,these,DT,1407
other,other,DT,1407
that,that,WP,1405
you,you,PRP,1321
that,that,DT,1314
:,:,:,1270
may,may,MD,1249
some,some,DT,1248
no,no,DT,1174
what,what,WDT,1128
into,into,IN,1123
time,time,NN,1094
them,them,PRP,1093
two,two,CD,1071
our,our,PRP$,1063
only,only,RB,1053
any,any,DT,1042
him,him,PRP,1042
so,so,RB,1031
af,af,NN,993
also,also,RB,977
the,the,NN,908
such,such,JJ,893
many,many,DT,892
more,more,RB,879
do,do,VB,872
up,up,RP,865
as,as,RB,860
could,could,MD,854
out,out,RP,844
she,she,PRP,837
must,must,MD,823
first,first,JJ,811
more,more,DT,797
even,even,RB,790
years,years,NNS,776
then,then,RB,774
now,now,RB,774
after,after,IN,764
should,should,MD,757
each,each,DT,741
her,her,PRP$,737
about,about,IN,724
those,those,DT,676
said,said,VBD,671
man,man,NN,654
people,people,NNS,641
mr.,mr.,NNP,639
through,through,IN,638
between,between,IN,632
where,where,WRB,619
both,both,DT,601
world,world,NN,598
year,year,NN,594
my,my,PRP$,583
did,did,VBD,580
well,well,RB,577
most,most,RB,576
way,way,NN,574
before,before,IN,570
under,under,IN,566
made,made,VBN,564
make,make,VB,561
over,over,IN,559
your,your,PRP$,559
great,great,JJ,546
being,being,VBG,542
own,own,JJ,541
.,.,NN,531
during,during,IN,529
same,same,DT,526
men,men,NNS,520
life,life,NN,520
1,1,CD,520
very,very,RB,513
state,state,NN,510
good,good,JJ,510
american,american,JJ,504
another,another,DT,503
too,too,RB,496
since,since,IN,496
because,because,IN,491
still,still,RB,487
work,work,NN,485
us,us,PRP,480
three,three,CD,472
like,like,IN,468
united,united,NN,457
used,used,VBN,456
last,last,DT,455
against,against,IN,447
few,few,DT,447
see,see,VB,446
!,!,.,444
2,2,CD,442
me,me,PRP,439
just,just,RB,438
here,here,RB,432
might,might,MD,430
number,number,NN,429
states,states,NNPS,429
while,while,IN,425
about,about,RB,423
does,does,VBZ,422
without,without,IN,420
most,most,DT,415
day,day,NN,410
fact,fact,NN,399
small,small,JJ,397
never,never,RB,394
upon,upon,IN,390
however,however,RB,390
high,high,JJ,390
system,system,NN,382
mrs.,mrs.,NNP,381
part,part,NN,380
take,take,VB,375
per,per,IN,370
general,general,JJ,367
program,program,NN,367
every,every,DT,363
home,home,NN,363
old,old,JJ,361
social,social,JJ,360
school,school,NN,359
national,national,JJ,359
much,much,DT,358
one,one,PRP,350
how,how,WRB,349
course,course,NN,349
use,use,NN,343
group,group,NN,339
often,often,RB,330
important,important,JJ,329
possible,possible,JJ,328
get,get,VB,328
himself,himself,PRP,326
know,know,VB,326
until,until,IN,323
several,several,DT,320
given,given,VBN,316
far,far,RB,310
business,business,NN,309
place,place,NN,309
among,among,IN,308
order,order,NN,307
within,within,IN,306
development,development,NN,306
much,much,RB,305
point,point,NN,305
large,large,JJ,305
down,down,RP,304
came,came,VBD,302
members,members,NNS,302
power,power,NN,301
area,area,NN,298
thus,thus,RB,297
almost,almost,RB,297
and,and,NN,296
case,case,NN,292
four,four,CD,290
interest,interest,NN,290
though,though,IN,287
always,always,RB,286
problem,problem,NN,286
go,go,VB,285
public,public,JJ,284
