word,lemma,pos,freq
the,the,DT,12402
",",",",",",8207
of,of,IN,7448
.,.,.,6573
and,and,CC,4221
in,in,IN,4076
a,a,DT,3390
is,is,VBZ,2406
to,to,TO,2111
to,to,IN,1809
for,for,IN,1564
be,be,VB,1359
that,that,IN,1227
by,by,IN,1209
with,with,IN,1155
it,it,PRP,1142
as,as,IN,1125
was,was,VBD,1107
;,;,.,1000
this,this,DT,992
are,are,VBP,987
af,af,NN,906
on,on,IN,900
or,or,CC,897
which,which,WDT,831
from,from,IN,792
not,not,SYM,781
(,(,(,759
),),),756
an,an,DT,735
at,at,IN,735
were,were,VBD,630
have,have,VB,539
we,we,PRP,526
but,but,CC,473
his,his,PRP$,440
one,one,CD,429
has,has,VBZ,428
these,these,DT,421
been,been,VBN,409
they,they,PRP,407
there,there,EX,390
he,he,PRP,385
their,their,PRP$,367
can,can,MD,366
all,all,DT,352
than,than,IN,332
will,will,MD,330
if,if,IN,330
may,may,MD,325
would,would,MD,321
had,had,VBD,319
when,when,WRB,311
its,its,PRP$,299
some,some,DT,298
other,other,DT,289
only,only,RB,266
two,two,CD,250
more,more,RB,245
each,each,DT,244
no,no,DT,242
1,1,CD,239
that,that,WP,237
that,that,DT,233
also,also,RB,227
:,:,:,227
such,such,JJ,226
?,?,.,224
into,into,IN,223
any,any,DT,212
who,who,WP,212
time,time,NN,209
must,must,MD,202
.,.,NN,200
2,2,CD,197
between,between,IN,192
used,used,VBN,187
should,should,MD,176
system,system,NN,175
number,number,NN,173
what,what,WDT,173
then,then,RB,167
as,as,RB,165
first,first,JJ,165
could,could,MD,159
i,i,PRP,158
out,out,RP,158
many,many,DT,157
so,so,RB,156
same,same,DT,152
even,even,RB,149
them,them,PRP,149
both,both,DT,148
new,new,JJ,147
state,state,NN,146
since,since,IN,145
through,through,IN,144
those,those,DT,143
our,our,PRP$,141
however,however,RB,140
very,very,RB,140
the,the,NN,135
do,do,VB,134
up,up,RP,127
social,social,JJ,127
might,might,MD,126
after,after,IN,126
information,information,NN,126
where,where,WRB,124
made,made,VBN,123
now,now,RB,122
during,during,IN,121
thus,thus,RB,118
most,most,RB,117
well,well,RB,117
being,being,VBG,117
group,group,NN,117
under,under,IN,116
more,more,DT,116
3,3,CD,116
rate,rate,NN,114
three,three,CD,114
possible,possible,JJ,114
general,general,JJ,113
upon,upon,IN,113
surface,surface,NN,112
over,over,IN,110
did,did,VBD,110
about,about,RB,108
small,small,JJ,107
about,about,IN,106
school,school,NN,106
different,different,JJ,105
her,her,PRP$,104
point,point,NN,104
given,given,VBN,103
order,order,NN,101
example,example,NN,101
area,area,NN,101
before,before,IN,100
use,use,NN,99
work,work,NN,99
while,while,IN,98
values,values,NNS,98
does,does,VBZ,98
form,form,NN,96
high,high,JJ,95
federal,federal,JJ,95
another,another,DT,94
great,great,JJ,94
him,him,PRP,94
type,type,NN,92
make,make,VB,90
rather,rather,RB,90
way,way,NN,89
line,line,NN,89
against,against,IN,89
years,years,NNS,88
per,per,IN,88
large,large,JJ,88
process,process,NN,88
case,case,NN,88
law,law,NN,87
temperature,temperature,NN,87
own,own,JJ,86
within,within,IN,86
found,found,VBN,85
because,because,IN,85
although,although,IN,85
areas,areas,NNS,85
fact,fact,NN,84
such,such,NN,84
people,people,NNS,84
few,few,DT,84
one,one,PRP,83
reaction,reaction,NN,83
important,important,JJ,82
problem,problem,NN,82
second,second,JJ,82
still,still,RB,82
certain,certain,DT,82
study,study,NN,81
costs,costs,NNS,80
here,here,RB,80
children,children,NNS,80
function,function,NN,79
much,much,RB,79
us,us,PRP,79
interest,interest,NN,79
most,most,DT,79
conditions,conditions,NNS,79
lines,lines,NNS,77
results,results,NNS,77
anode,anode,NN,77
stress,stress,NN,77
first,first,RB,76
value,value,NN,76
therefore,therefore,RB,76
part,part,NN,76
see,see,VB,76
major,major,JJ,75
systems,systems,NNS,75
policy,policy,NN,74
itself,itself,PRP,73
evidence,evidence,NN,73
several,several,DT,73
available,available,JJ,73
analysis,analysis,NN,72
local,local,JJ,72
much,much,DT,71
like,like,IN,71
until,until,IN,71
material,material,NN,71
4,4,CD,71
often,often,RB,70
so,so,IN,70
man,man,NN,70
end,end,NN,70
only,only,DT,70
data,data,NNS,70
life,life,NN,69
seems,seems,VBZ,69
space,space,NN,69
course,course,NN,69
level,level,NN,69
cells,cells,NNS,69
index,index,NN,68
though,though,IN,68
without,without,IN,67
pressure,pressure,NN,67
period,period,NN,67
just,just,RB,66
activity,activity,NN,66
stage,stage,NN,66
section,section,NN,66
