word,lemma,pos,freq
the,the,DT,6915
",",",",",",5512
.,.,.,4357
of,of,IN,3696
and,and,CC,2814
a,a,DT,2418
in,in,IN,2147
to,to,TO,1550
to,to,IN,1031
is,is,VBZ,1014
was,was,VBD,961
for,for,IN,940
it,it,PRP,748
with,with,IN,714
he,he,PRP,682
that,that,IN,666
as,as,IN,633
on,on,IN,591
by,by,IN,588
be,be,VB,569
his,his,PRP$,525
or,or,CC,506
from,from,IN,489
at,at,IN,487
are,are,VBP,482
;,;,.,482
this,this,DT,481
had,had,VBD,431
not,not,SYM,420
they,they,PRP,400
have,have,VB,396
an,an,DT,396
but,but,CC,375
were,were,VBD,349
one,one,CD,317
their,their,PRP$,310
she,she,PRP,309
which,which,WDT,277
i,i,PRP,262
who,who,WP,261
?,?,.,256
when,when,WRB,249
you,you,PRP,240
been,been,VBN,235
has,has,VBZ,226
all,all,DT,223
her,her,PRP$,209
if,if,IN,208
its,its,PRP$,197
than,than,IN,189
would,would,MD,188
there,there,EX,187
some,some,DT,181
time,time,NN,178
that,that,WP,177
them,them,PRP,177
we,we,PRP,177
),),),169
can,can,MD,168
him,him,PRP,167
may,may,MD,165
(,(,(,164
will,will,MD,163
into,into,IN,163
new,new,JJ,162
no,no,DT,161
what,what,WDT,161
that,that,DT,157
these,these,DT,157
so,so,RB,155
up,up,RP,146
other,other,DT,145
:,:,:,143
could,could,MD,142
many,many,DT,136
people,people,NNS,133
two,two,CD,132
only,only,RB,124
as,as,RB,124
then,then,RB,123
even,even,RB,122
any,any,DT,120
!,!,.,120
after,after,IN,120
do,do,VB,115
out,out,RP,114
first,first,JJ,112
where,where,WRB,111
about,about,IN,110
years,years,NNS,110
more,more,DT,108
more,more,RB,106
her,her,PRP,106
now,now,RB,102
school,school,NN,101
another,another,DT,99
also,also,RB,99
our,our,PRP$,96
must,must,MD,95
such,such,JJ,92
did,did,VBD,91
few,few,DT,91
man,man,NN,89
good,good,JJ,89
still,still,RB,88
men,men,NNS,87
through,through,IN,86
most,most,RB,84
way,way,NN,83
great,great,JJ,82
before,before,IN,81
world,world,NN,80
too,too,RB,80
both,both,DT,79
those,those,DT,79
should,should,MD,78
own,own,JJ,77
each,each,DT,76
used,used,VBN,76
life,life,NN,75
most,most,DT,75
over,over,IN,75
american,american,JJ,75
make,make,VB,71
during,during,IN,71
see,see,VB,69
often,often,RB,69
well,well,RB,69
high,high,JJ,69
between,between,IN,68
said,said,VBD,68
fact,fact,NN,68
work,work,NN,68
made,made,VBN,65
course,course,NN,64
economic,economic,JJ,64
three,three,CD,64
day,day,NN,63
just,just,RB,63
always,always,RB,63
never,never,RB,63
like,like,IN,62
place,place,NN,61
get,get,VB,61
the,the,NN,60
however,however,RB,60
