word,lemma,pos,freq
.,.,.,3326
the,the,DT,2816
",",",",",",2805
and,and,CC,1279
a,a,DT,1195
he,he,PRP,1076
of,of,IN,913
was,was,VBD,828
to,to,TO,798
?,?,.,664
it,it,PRP,653
in,in,IN,623
i,i,PRP,583
his,his,PRP$,563
had,had,VBD,503
to,to,IN,496
you,you,PRP,416
for,for,IN,378
on,on,IN,373
she,she,PRP,350
with,with,IN,335
at,at,IN,331
him,him,PRP,330
but,but,CC,260
that,that,IN,251
as,as,IN,241
be,be,VB,234
;,;,.,228
have,have,VB,222
not,not,SYM,219
that,that,DT,198
up,up,RP,193
would,would,MD,189
said,said,VBD,189
from,from,IN,181
if,if,IN,174
out,out,RP,172
this,this,DT,172
they,they,PRP,165
no,no,DT,162
there,there,EX,161
her,her,PRP$,160
were,were,VBD,157
when,when,WRB,153
been,been,VBN,152
her,her,PRP,151
what,what,WDT,146
could,could,MD,145
into,into,IN,143
one,one,CD,142
or,or,CC,139
all,all,DT,139
an,an,DT,132
then,then,RB,131
them,them,PRP,120
back,back,RB,120
is,is,VBZ,120
like,like,IN,117
my,my,PRP$,117
me,me,PRP,116
now,now,RB,113
by,by,IN,109
man,man,NN,107
!,!,.,104
about,about,IN,103
do,do,VB,102
get,get,VB,98
just,just,RB,95
we,we,PRP,94
who,who,WP,94
so,so,RB,92
two,two,CD,89
know,know,VB,86
time,time,NN,83
don't,don't,NN,83
go,go,VB,83
some,some,DT,81
door,door,NN,80
see,see,VB,79
here,here,RB,79
went,went,VBD,77
didn't,didn't,NN,77
too,too,RB,76
in,in,RP,72
still,still,RB,71
where,where,WRB,71
there,there,RB,71
your,your,PRP$,70
down,down,RP,69
car,car,NN,69
on,on,RP,68
any,any,DT,68
going,going,VBG,66
knew,knew,VBD,65
room,room,NN,65
that,that,WP,64
it's,it's,NN,64
off,off,RP,63
mr.,mr.,NNP,63
than,than,IN,62
again,again,RB,62
way,way,NN,61
which,which,WDT,61
even,even,RB,61
as,as,RB,61
over,over,IN,60
before,before,IN,60
old,old,JJ,60
something,something,PRP,58
might,might,MD,57
think,think,VB,55
got,got,VBD,55
did,did,VBD,55
after,after,IN,54
take,take,VB,53
i'm,i'm,NN,53
himself,himself,PRP,52
want,want,VB,52
are,are,VBP,52
