word,lemma,pos,freq
the,the,DT,6333
",",",",",",5133
.,.,.,4012
of,of,IN,2861
and,and,CC,2153
a,a,DT,2112
in,in,IN,1974
to,to,TO,1237
for,for,IN,967
to,to,IN,899
is,is,VBZ,730
was,was,VBD,716
on,on,IN,661
he,he,PRP,642
at,at,IN,636
with,with,IN,567
that,that,IN,546
be,be,VB,525
by,by,IN,503
it,it,PRP,478
as,as,IN,438
his,his,PRP$,427
will,will,MD,387
said,said,VBD,384
from,from,IN,353
are,are,VBP,328
this,this,DT,319
;,;,.,314
an,an,DT,311
has,has,VBZ,301
but,but,CC,276
who,who,WP,268
they,they,PRP,267
have,have,VB,265
had,had,VBD,262
not,not,SYM,256
were,were,VBD,252
mrs.,mrs.,NNP,252
which,which,WDT,245
would,would,MD,244
new,new,JJ,241
their,their,PRP$,231
been,been,VBN,212
one,one,CD,203
its,its,PRP$,178
i,i,PRP,178
or,or,CC,174
two,two,CD,174
mr.,mr.,NNP,170
when,when,WRB,169
last,last,DT,169
all,all,DT,168
other,other,DT,163
there,there,EX,161
),),),151
after,after,IN,151
that,that,DT,150
up,up,RP,149
(,(,(,148
than,than,IN,138
year,year,NN,138
:,:,:,137
out,out,RP,133
more,more,DT,132
also,also,RB,129
first,first,JJ,128
that,that,WP,128
home,home,NN,128
into,into,IN,115
some,some,DT,111
no,no,DT,109
we,we,PRP,106
if,if,IN,103
years,years,NNS,102
three,three,CD,101
her,her,PRP$,99
time,time,NN,98
them,them,PRP,96
what,what,WDT,95
any,any,DT,94
can,can,MD,94
him,him,PRP,93
over,over,IN,92
state,state,NN,92
?,?,.,90
under,under,IN,89
president,president,NNP,88
now,now,RB,87
week,week,NN,87
could,could,MD,86
before,before,IN,85
about,about,IN,85
four,four,CD,82
as,as,RB,78
against,against,IN,78
she,she,PRP,77
each,each,DT,74
members,members,NNS,74
both,both,DT,73
man,man,NN,72
then,then,RB,72
national,national,JJ,72
here,here,RB,71
these,these,DT,70
many,many,DT,70
house,house,NNP,69
get,get,VB,68
may,may,MD,66
those,those,DT,66
you,you,PRP,66
kennedy,kennedy,NNP,66
since,since,IN,65
program,program,NN,65
school,school,NN,65
american,american,JJ,65
john,john,NNP,64
did,did,VBD,64
night,night,NN,64
do,do,VB,63
made,made,VBN,63
day,day,NN,62
should,should,MD,61
per,per,IN,61
during,during,IN,60
about,about,RB,60
high,high,JJ,60
where,where,WRB,59
state,state,NNP,59
our,our,PRP$,59
united,united,NN,58
back,back,RB,58
meeting,meeting,NN,58
so,so,RB,57
being,being,VBG,57
only,only,DT,56
even,even,RB,56
u.s.,u.s.,NNP,56
yesterday,yesterday,NN,56
",",",",NN,55
today,today,NN,55
people,people,NNS,54
government,government,NN,54
president,president,NN,54
such,such,JJ,54
monday,monday,NN,54
without,without,IN,53
through,through,IN,53
only,only,RB,53
the,the,NN,53
administration,administration,NN,52
york,york,NNP,52
federal,federal,JJ,52
city,city,NN,52
game,game,NN,51
cent,cent,NN,51
sunday,sunday,NN,51
sales,sales,NNS,51
tax,tax,NN,51
white,white,JJ,50
take,take,VB,50
must,must,MD,50
car,car,NN,50
board,board,NN,49
off,off,RP,48
just,just,RB,48
dallas,dallas,NNP,48
between,between,IN,48
while,while,IN,47
good,good,JJ,47
took,took,VBD,47
system,system,NN,47
however,however,WRB,47
men,men,NNS,47
1,1,CD,47
another,another,DT,46
in,in,RP,46
',','',46
mantle,mantle,NNP,46
jr.,jr.,NNP,46
work,work,NN,46
miss,miss,NNP,46
million,million,CD,45
children,children,NNS,45
told,told,VBD,45
five,five,CD,45
bill,bill,NN,45
make,make,VB,44
made,made,VBD,44
business,business,NN,44
jury,jury,NN,44
season,season,NN,43
my,my,PRP$,43
tuesday,tuesday,NN,43
public,public,JJ,43
plan,plan,NN,43
got,got,VBD,42
more,more,RB,42
months,months,NNS,42
1961,1961,CD,42
big,big,JJ,42
most,most,RB,42
because,because,IN,42
university,university,NNP,42
way,way,NN,42
special,special,JJ,42
company,company,NN,42
j.,j.,NNP,42
palmer,palmer,NNP,42
family,family,NN,41
well,well,RB,41
came,came,VBD,41
friday,friday,NN,41
city,city,NNP,41
dr.,dr.,NNP,41
p.m.,p.m.,RB,41
young,young,JJ,41
go,go,VB,40
texas,texas,NNP,40
down,down,RP,40
see,see,VB,40
election,election,NN,40
committee,committee,NN,40
area,area,NN,39
problem,problem,NN,39
own,own,JJ,39
among,among,IN,39
several,several,DT,39
st.,st.,NNP,39
never,never,RB,38
still,still,RB,38
1960,1960,CD,38
states,states,NNPS,38
schools,schools,NNS,38
next,next,DT,38
expected,expected,VBN,38
group,group,NN,38
given,given,VBN,38
days,days,NNS,38
a.,a.,NNP,38
democratic,democratic,JJ,38
law,law,NN,38
too,too,RB,37
world,world,NN,37
10,10,CD,37
local,local,JJ,37
foreign,foreign,JJ,37
went,went,VBD,37
session,session,NN,37
james,james,NNP,37
same,same,DT,37
service,service,NN,37
w.,w.,NNP,37
s.,s.,NNP,37
laos,laos,NNP,37
might,might,MD,36
case,case,NN,36
much,much,DT,36
later,later,RBR,36
!,!,.,36
third,third,JJ,36
washington,washington,NNP,36
ago,ago,RB,36
county,county,NNP,36
william,william,NNP,36
maris,maris,NNP,36
record,record,NN,35
most,most,DT,35
second,second,JJ,35
wife,wife,NN,35
how,how,WRB,35
chairman,chairman,NN,35
international,international,JJ,35
member,member,NN,35
committee,committee,NNP,35
party,party,NN,35
began,began,VBD,34
old,old,JJ,34
ball,ball,NN,34
give,give,VB,34
general,general,JJ,34
2,2,CD,33
until,until,IN,33
great,great,JJ,33
saturday,saturday,NN,33
team,team,NN,33
and,and,NN,33
annual,annual,JJ,33
number,number,NN,32
month,month,NN,32
education,education,NN,32
eight,eight,CD,32
very,very,RB,32
