word,lemma,pos,freq
the,the,DT,2428
",",",",",",1908
of,of,IN,1505
.,.,.,1359
and,and,CC,952
in,in,IN,769
a,a,DT,683
is,is,VBZ,523
to,to,TO,505
to,to,IN,399
it,it,PRP,337
that,that,IN,315
for,for,IN,315
;,;,.,308
as,as,IN,262
this,this,DT,257
be,be,VB,243
not,not,SYM,234
with,with,IN,222
was,was,VBD,214
he,he,PRP,206
we,we,PRP,202
which,which,WDT,202
by,by,IN,192
have,have,VB,192
are,are,VBP,186
his,his,PRP$,175
but,but,CC,170
or,or,CC,168
on,on,IN,157
i,i,PRP,155
?,?,.,146
from,from,IN,143
they,they,PRP,133
an,an,DT,124
god,god,NNP,123
you,you,PRP,122
at,at,IN,121
all,all,DT,116
their,their,PRP$,115
has,has,VBZ,111
),),),103
who,who,WP,102
(,(,(,100
new,new,JJ,99
:,:,:,98
that,that,WP,95
him,him,PRP,94
were,were,VBD,92
there,there,EX,92
world,world,NN,90
if,if,IN,88
its,its,PRP$,87
one,one,CD,86
can,can,MD,84
what,what,WDT,83
our,our,PRP$,83
into,into,IN,82
that,that,DT,82
so,so,RB,80
may,may,MD,79
had,had,VBD,76
been,been,VBN,76
only,only,RB,76
these,these,DT,75
my,my,PRP$,75
them,them,PRP,74
no,no,DT,73
than,than,IN,69
would,would,MD,69
when,when,WRB,68
some,some,DT,68
man,man,NN,66
will,will,MD,64
other,other,DT,60
any,any,DT,59
then,then,RB,59
could,could,MD,59
us,us,PRP,59
also,also,RB,57
christ,christ,NNP,57
life,life,NN,55
must,must,MD,54
do,do,VB,53
the,the,NN,52
church,church,NN,52
many,many,DT,51
!,!,.,50
christian,christian,JJ,49
members,members,NNS,49
as,as,RB,49
power,power,NN,48
spirit,spirit,NN,47
such,such,JJ,47
those,those,DT,46
should,should,MD,45
even,even,RB,45
about,about,IN,45
now,now,RB,45
through,through,IN,45
human,human,JJ,43
men,men,NNS,42
church,church,NNP,42
death,death,NN,42
out,out,RP,41
faith,faith,NN,41
your,your,PRP$,41
still,still,RB,38
england,england,NNP,37
people,people,NNS,37
say,say,VB,37
years,years,NNS,37
more,more,RB,36
because,because,IN,36
see,see,VB,36
time,time,NN,35
does,does,VBZ,35
each,each,DT,35
did,did,VBD,34
up,up,RP,34
jesus,jesus,NNP,33
catholic,catholic,JJ,33
membership,membership,NN,33
born,born,VBN,33
number,number,NN,32
between,between,IN,31
way,way,NN,31
me,me,PRP,31
against,against,IN,30
action,action,NN,30
know,know,VB,30
