word,lemma,pos,freq
",",",",",",2310
the,the,DT,2290
.,.,.,1525
of,of,IN,1337
and,and,CC,1138
a,a,DT,911
in,in,IN,722
is,is,VBZ,513
to,to,TO,400
to,to,IN,323
for,for,IN,300
with,with,IN,284
it,it,PRP,267
he,he,PRP,238
as,as,IN,233
his,his,PRP$,230
was,was,VBD,227
;,;,.,210
by,by,IN,204
at,at,IN,196
has,has,VBZ,192
are,are,VBP,190
this,this,DT,183
on,on,IN,181
that,that,IN,167
an,an,DT,166
but,but,CC,166
not,not,SYM,156
be,be,VB,153
from,from,IN,143
all,all,DT,130
who,who,WP,129
have,have,VB,124
which,which,WDT,124
that,that,WP,113
mr.,mr.,NNP,105
(,(,(,101
),),),101
or,or,CC,99
they,they,PRP,98
one,one,CD,98
its,its,PRP$,96
new,new,JJ,89
were,were,VBD,87
there,there,EX,86
than,than,IN,80
the,the,NN,80
her,her,PRP$,72
music,music,NN,69
been,been,VBN,69
their,their,PRP$,68
so,so,RB,68
had,had,VBD,65
?,?,.,64
:,:,:,63
that,that,DT,61
when,when,WRB,59
no,no,DT,58
about,about,IN,58
only,only,RB,57
some,some,DT,57
other,other,DT,56
will,will,MD,56
what,what,WDT,55
first,first,JJ,54
she,she,PRP,52
man,man,NN,51
more,more,RB,51
more,more,DT,49
i,i,PRP,49
would,would,MD,48
if,if,IN,48
up,up,RP,47
out,out,RP,46
into,into,IN,45
well,well,RB,45
we,we,PRP,45
them,them,PRP,45
may,may,MD,45
can,can,MD,44
program,program,NN,43
as,as,RB,43
great,great,JJ,42
too,too,RB,42
many,many,DT,41
time,time,NN,41
american,american,JJ,40
two,two,CD,40
could,could,MD,40
good,good,JJ,40
him,him,PRP,40
last,last,DT,37
do,do,VB,37
just,just,RB,36
these,these,DT,35
after,after,IN,35
also,also,RB,35
you,you,PRP,35
musical,musical,JJ,34
even,even,RB,34
life,life,NN,34
night,night,NN,34
way,way,NN,34
years,years,NNS,33
own,own,JJ,33
old,old,JJ,32
audience,audience,NN,32
does,does,VBZ,32
most,most,RB,32
like,like,IN,31
then,then,RB,31
work,work,NN,31
make,make,VB,30
himself,himself,PRP,30
fine,fine,JJ,30
york,york,NNP,30
any,any,DT,29
miss,miss,NNP,29
being,being,VBG,29
jazz,jazz,NN,29
here,here,RB,28
both,both,DT,27
one,one,PRP,27
such,such,JJ,27
now,now,RB,27
negro,negro,NNP,27
might,might,MD,26
those,those,DT,26
book,book,NN,26
through,through,IN,26
how,how,WRB,26
world,world,NN,26
each,each,DT,26
performance,performance,NN,26
very,very,RB,25
people,people,NNS,25
most,most,DT,25
where,where,WRB,25
before,before,IN,25
big,big,JJ,24
course,course,NN,24
season,season,NN,24
much,much,DT,24
.,.,NN,24
did,did,VBD,23
stage,stage,NN,23
and,and,NN,23
dr.,dr.,NNP,23
style,style,NN,23
sept.,sept.,NNP,23
often,often,RB,22
every,every,DT,22
sense,sense,NN,22
still,still,RB,22
never,never,RB,22
us,us,PRP,21
almost,almost,RB,21
quite,quite,RB,21
part,part,NN,20
seems,seems,VBZ,20
says,says,VBZ,20
between,between,IN,20
while,while,IN,20
made,made,VBD,20
best,best,JJS,19
under,under,IN,19
back,back,RB,19
given,given,VBN,19
perhaps,perhaps,RB,19
really,really,RB,19
songs,songs,NNS,19
three,three,CD,18
evening,evening,NN,18
must,must,MD,18
since,since,IN,18
london,london,NNP,18
place,place,NN,18
long,long,JJ,18
although,although,IN,18
her,her,PRP,18
should,should,MD,18
get,get,VB,18
keys,keys,NNP,18
half,half,DT,17
something,something,PRP,17
a,a,NN,17
least,least,DT,17
number,number,NN,17
john,john,NNP,17
few,few,DT,17
year,year,NN,17
again,again,RB,17
same,same,DT,17
because,because,IN,17
though,though,IN,17
whose,whose,WP$,17
gave,gave,VBD,17
war,war,NN,17
dance,dance,NN,17
french,french,JJ,16
matter,matter,NN,16
far,far,RB,16
word,word,NN,16
human,human,JJ,16
among,among,IN,16
called,called,VBN,16
always,always,RB,16
orchestra,orchestra,NN,16
young,young,JJ,16
about,about,RB,16
another,another,DT,16
strong,strong,JJ,16
color,color,NN,16
song,song,NN,16
radio,radio,NN,16
works,works,NNS,15
role,role,NN,15
seem,seem,VB,15
company,company,NN,15
