word,lemma,pos,freq
",",",",",",3899
.,.,.,3736
the,the,DT,2974
and,and,CC,1899
a,a,DT,1383
of,of,IN,1202
he,he,PRP,1068
was,was,VBD,999
i,i,PRP,951
to,to,TO,912
in,in,IN,871
she,she,PRP,728
it,it,PRP,716
?,?,.,690
had,had,VBD,668
to,to,IN,605
his,his,PRP$,588
you,you,PRP,558
with,with,IN,473
for,for,IN,441
at,at,IN,431
but,but,CC,377
her,her,PRP$,376
him,him,PRP,340
said,said,VBD,319
!,!,.,316
on,on,IN,314
her,her,PRP,304
be,be,VB,292
that,that,IN,283
not,not,SYM,273
have,have,VB,264
;,;,.,264
that,that,DT,251
would,would,MD,247
as,as,IN,242
they,they,PRP,237
were,were,VBD,214
from,from,IN,209
all,all,DT,201
could,could,MD,195
me,me,PRP,194
up,up,RP,191
this,this,DT,187
been,been,VBN,179
my,my,PRP$,177
what,what,WDT,170
if,if,IN,170
or,or,CC,165
like,like,IN,164
out,out,RP,164
when,when,WRB,163
an,an,DT,159
is,is,VBZ,157
there,there,EX,146
them,them,PRP,142
about,about,IN,139
into,into,IN,137
then,then,RB,137
so,so,RB,130
did,did,VBD,127
just,just,RB,127
no,no,DT,125
do,do,VB,121
their,their,PRP$,119
your,your,PRP$,116
now,now,RB,112
we,we,PRP,109
which,which,WDT,106
by,by,IN,106
didn't,didn't,NN,104
one,one,CD,97
get,get,VB,95
who,who,WP,95
too,too,RB,94
back,back,RB,94
down,down,RP,94
only,only,RB,94
time,time,NN,93
old,old,JJ,90
there,there,RB,89
man,man,NN,88
know,know,VB,88
never,never,RB,87
don't,don't,NN,86
one,one,PRP,85
because,because,IN,85
way,way,NN,83
went,went,VBD,82
go,go,VB,82
thought,thought,VBD,81
even,even,RB,81
can,can,MD,79
see,see,VB,78
are,are,VBP,78
i'm,i'm,NN,77
eyes,eyes,NNS,76
how,how,WRB,75
came,came,VBD,75
some,some,DT,73
other,other,DT,71
here,here,RB,71
that,that,WP,70
its,its,PRP$,70
knew,knew,VBD,69
something,something,PRP,68
any,any,DT,68
before,before,IN,68
looked,looked,VBD,68
after,after,IN,67
take,take,VB,66
than,than,IN,65
day,day,NN,64
away,away,RB,64
so,so,IN,62
why,why,WRB,62
little,little,DT,61
on,on,RP,61
good,good,JJ,61
going,going,VBG,61
own,own,JJ,61
say,say,VB,60
still,still,RB,60
as,as,RB,60
long,long,JJ,60
felt,felt,VBD,59
where,where,WRB,58
in,in,RP,58
those,those,DT,58
think,think,VB,57
nothing,nothing,PRP,56
:,:,:,56
again,again,RB,56
out,out,IN,55
through,through,IN,55
night,night,NN,55
got,got,VBD,54
i'll,i'll,NN,53
always,always,RB,53
himself,himself,PRP,53
two,two,CD,52
thing,thing,NN,52
wasn't,wasn't,NN,52
might,might,MD,51
life,life,NN,51
young,young,JJ,51
come,come,VB,51
make,make,VB,51
being,being,VBG,50
off,off,RP,50
people,people,NNS,50
look,look,VB,48
seemed,seemed,VBD,48
took,took,VBD,48
saw,saw,VBD,47
very,very,RB,47
over,over,RP,46
must,must,MD,46
new,new,JJ,46
couldn't,couldn't,NN,46
head,head,NN,46
home,home,NN,46
room,room,NN,45
while,while,IN,44
anything,anything,PRP,44
mother,mother,NN,44
phil,phil,NNP,44
place,place,NN,43
will,will,MD,43
door,door,NN,43
asked,asked,VBD,43
against,against,IN,42
over,over,IN,42
wanted,wanted,VBD,42
made,made,VBD,42
us,us,PRP,42
face,face,NN,42
it's,it's,NN,41
all,all,RB,40
tell,tell,VB,40
morning,morning,NN,40
first,first,JJ,40
much,much,RB,40
herself,herself,PRP,40
big,big,JJ,39
really,really,RB,39
that's,that's,NN,39
mrs.,mrs.,NNP,39
john,john,NNP,39
once,once,RB,38
boy,boy,NN,38
no,no,RB,38
around,around,IN,38
few,few,DT,37
ever,ever,RB,37
turned,turned,VBD,37
want,want,VB,36
course,course,NN,36
well,well,UH,36
looking,looking,VBG,36
last,last,DT,36
house,house,NN,36
got,got,VBN,36
let,let,VB,35
yes,yes,RB,35
years,years,NNS,35
more,more,RB,35
stood,stood,VBD,35
wouldn't,wouldn't,NN,34
feel,feel,VB,34
woman,woman,NN,34
until,until,IN,34
well,well,RB,34
more,more,DT,34
hand,hand,NN,34
son,son,NN,34
water,water,NN,34
voice,voice,NN,33
should,should,MD,33
mr.,mr.,NNP,33
find,find,VB,33
i'd,i'd,NN,33
down,down,IN,33
same,same,DT,32
right,right,RB,32
next,next,DT,32
gave,gave,VBD,32
without,without,IN,32
sat,sat,VBD,32
little,little,JJ,32
days,days,NNS,32
black,black,JJ,32
you're,you're,NN,32
kind,kind,NN,32
everything,everything,PRP,31
great,great,JJ,31
things,things,NNS,31
these,these,DT,31
hands,hands,NNS,31
small,small,JJ,31
told,told,VBD,31
can't,can't,NN,30
hair,hair,NN,30
hadn't,hadn't,NN,30
much,much,DT,30
yet,yet,RB,30
both,both,DT,30
white,white,JJ,30
around,around,RB,30
lucy,lucy,NNP,30
church,church,NN,29
every,every,DT,29
else,else,RB,29
give,give,VB,29
enough,enough,NN,29
men,men,NNS,29
another,another,DT,29
done,done,VBN,29
come,come,VBN,29
many,many,DT,28
keep,keep,VB,28
our,our,PRP$,28
sure,sure,JJ,28
suddenly,suddenly,RB,28
mike,mike,NNP,28
miss,miss,NNP,28
maybe,maybe,RB,27
job,job,NN,27
had,had,VBN,27
moment,moment,NN,27
though,though,IN,27
myself,myself,PRP,27
back,back,NN,27
oh,oh,UH,27
i've,i've,NN,27
together,together,RB,27
cady,cady,NNP,27
world,world,NN,26
about,about,RB,26
has,has,VBZ,26
walked,walked,VBD,26
each,each,DT,26
girl,girl,NN,26
gone,gone,VBN,26
clothes,clothes,NNS,26
father,father,NN,26
like,like,VB,25
baby,baby,NN,25
pale,pale,JJ,25
she'd,she'd,NN,25
beautiful,beautiful,JJ,25
johnnie,johnnie,NNP,25
linda,linda,NNP,25
having,having,VBG,24
field,field,NN,24
perhaps,perhaps,RB,24
money,money,NN,24
found,found,VBD,24
myra,myra,NNP,24
cold,cold,JJ,24
theresa,theresa,NNP,24
began,began,VBD,23
bed,bed,NN,23
before,before,RB,23
alone,alone,RB,23
trying,trying,VBG,23
love,love,NN,23
leave,leave,VB,23
toward,toward,IN,23
idea,idea,NN,23
slowly,slowly,RB,23
isn't,isn't,NN,23
sun,sun,NN,23
put,put,VB,23
family,family,NN,23
poor,poor,JJ,23
anne,anne,NNP,23
wally,wally,NNP,23
between,between,IN,22
god,god,NNP,22
whole,whole,JJ,22
better,better,RBR,22
spencer,spencer,NNP,22
three,three,CD,22
end,end,NN,22
smiled,smiled,VBD,22
left,left,VBD,22
he'd,he'd,NN,22
women,women,NNS,22
wrong,wrong,JJ,22
eddie,eddie,NNP,22
deegan,deegan,NNP,22
maggie,maggie,NNP,22
martin,martin,NNP,22
cousin,cousin,NNP,22
bobbie,bobbie,NNP,22
up,up,IN,21
(,(,(,21
watching,watching,VBG,21
),),),21
along,along,RB,21
stay,stay,VB,21
since,since,IN,21
wife,wife,NN,21
part,part,NN,21
weeks,weeks,NNS,21
thinking,thinking,VBG,21
already,already,RB,21
business,business,NN,21
stop,stop,VB,21
he's,he's,NN,21
children,children,NNS,21
feet,feet,NNS,21
snake,snake,NN,21
george,george,NNP,21
talk,talk,VB,20
car,car,NN,20
heard,heard,VBD,20
wish,wish,VB,20
nobody,nobody,PRP,20
made,made,VBN,20
seen,seen,VBN,20
alexander,alexander,NNP,20
am,am,VBP,20
owen,owen,NNP,20
help,help,VB,20
nice,nice,JJ,20
taking,taking,VBG,20
sitting,sitting,VBG,20
more,more,RBR,20
susan,susan,NNP,20
henrietta,henrietta,NNP,20
freddy,freddy,NNP,20
light,light,NN,19
air,air,NN,19
sorry,sorry,JJ,19
probably,probably,RB,19
across,across,IN,19
table,table,NN,19
doing,doing,VBG,19
work,work,NN,19
later,later,RBR,19
called,called,VBD,19
stopped,stopped,VBD,19
letter,letter,NN,19
dark,dark,JJ,19
coffee,coffee,NN,19
she's,she's,NN,19
body,body,NN,19
cathy,cathy,NNP,19
almost,almost,RB,19
dolores,dolores,NNP,19
right,right,JJ,18
won't,won't,NN,18
only,only,DT,18
given,given,VBN,18
kept,kept,VBD,18
week,week,NN,18
started,started,VBD,18
hear,hear,VB,18
high,high,JJ,18
blue,blue,JJ,18
sam,sam,NNP,18
half,half,DT,18
ball,ball,NN,18
mind,mind,NN,18
saying,saying,VBG,18
william,william,NNP,18
tractor,tractor,NN,18
shorts,shorts,NNS,18
making,making,VBG,17
used,used,VBD,17
side,side,NN,17
heart,heart,NN,17
left,left,VBN,17
true,true,JJ,17
talking,talking,VBG,17
beside,beside,IN,17
couple,couple,NN,17
getting,getting,VBG,17
word,word,NN,17
under,under,IN,17
lot,lot,NN,17
standing,standing,VBG,17
call,call,VB,17
bright,bright,JJ,17
breakfast,breakfast,NN,17
real,real,JJ,17
pink,pink,JJ,17
child,child,NN,17
fine,fine,JJ,17
richard,richard,NNP,17
nadine,nadine,NNP,17
