word,lemma,pos,freq
the,the,DT,69013
",",",",",",58153
.,.,.,48812
of,of,IN,36401
and,and,CC,28542
a,a,DT,22943
in,in,IN,20864
to,to,TO,14917
to,to,IN,11150
is,is,VBZ,10065
was,was,VBD,9806
he,he,PRP,9541
for,for,IN,9478
it,it,PRP,8729
with,with,IN,7282
his,his,PRP$,6946
that,that,IN,6464
be,be,VB,6360
on,on,IN,6176
as,as,IN,6140
;,;,.,5562
at,at,IN,5368
by,by,IN,5240
this,this,DT,5138
i,i,PRP,5129
had,had,VBD,4895
?,?,.,4628
not,not,SYM,4600
are,are,VBP,4372
from,from,IN,4370
but,but,CC,4218
or,or,CC,4190
have,have,VB,3925
an,an,DT,3706
they,they,PRP,3617
which,which,WDT,3556
were,were,VBD,3281
you,you,PRP,3267
she,she,PRP,2857
all,all,DT,2746
one,one,CD,2727
would,would,MD,2710
their,their,PRP$,2666
we,we,PRP,2628
him,him,PRP,2614
been,been,VBN,2470
has,has,VBZ,2430
when,when,WRB,2320
),),),2272
(,(,(,2263
that,that,DT,2260
who,who,WP,2248
if,if,IN,2187
there,there,EX,2162
will,will,MD,2130
her,her,PRP$,1925
what,what,WDT,1865
its,its,PRP$,1854
no,no,DT,1805
that,that,WP,1789
into,into,IN,1788
than,than,IN,1786
them,them,PRP,1774
can,can,MD,1758
said,said,VBD,1747
up,up,RP,1703
other,other,DT,1689
new,new,JJ,1633
out,out,RP,1629
could,could,MD,1598
!,!,.,1590
some,some,DT,1589
time,time,NN,1576
these,these,DT,1572
:,:,:,1558
so,so,RB,1504
two,two,CD,1412
only,only,RB,1378
do,do,VB,1350
then,then,RB,1345
any,any,DT,1328
now,now,RB,1311
my,my,PRP$,1307
may,may,MD,1299
about,about,IN,1240
our,our,PRP$,1233
me,me,PRP,1173
man,man,NN,1164
even,even,RB,1116
her,her,PRP,1107
as,as,RB,1104
also,also,RB,1068
after,after,IN,1057
like,like,IN,1045
did,did,VBD,1043
many,many,DT,1017
more,more,RB,1015
must,must,MD,999
af,af,NN,994
more,more,DT,978
first,first,JJ,978
such,such,JJ,978
the,the,NN,958
years,years,NNS,949
where,where,WRB,926
your,your,PRP$,912
through,through,IN,910
should,should,MD,883
way,way,NN,883
each,each,DT,876
before,before,IN,854
just,just,RB,851
those,those,DT,849
over,over,IN,841
mr.,mr.,NNP,833
too,too,RB,831
people,people,NNS,830
make,make,VB,791
see,see,VB,771
men,men,NNS,755
still,still,RB,752
own,own,JJ,750
get,get,VB,744
here,here,RB,739
back,back,RB,732
good,good,JJ,732
both,both,DT,730
between,between,IN,729
well,well,RB,721
because,because,IN,708
very,very,RB,700
never,never,RB,697
down,down,RP,695
world,world,NN,688
under,under,IN,688
same,same,DT,684
life,life,NN,683
another,another,DT,681
being,being,VBG,681
know,know,VB,676
us,us,PRP,668
old,old,JJ,661
might,might,MD,658
made,made,VBN,655
great,great,JJ,649
year,year,NN,649
most,most,RB,647
how,how,WRB,637
day,day,NN,631
against,against,IN,625
came,came,VBD,618
go,go,VB,614
three,three,CD,609
take,take,VB,606
last,last,DT,605
himself,himself,PRP,600
few,few,DT,600
while,while,IN,599
since,since,IN,599
during,during,IN,585
work,work,NN,583
without,without,IN,579
again,again,RB,575
there,there,RB,564
one,one,PRP,557
on,on,RP,556
about,about,RB,554
long,long,JJ,540
state,state,NN,537
small,small,JJ,537
american,american,JJ,535
.,.,NN,534
mrs.,mrs.,NNP,532
home,home,NN,530
1,1,CD,521
went,went,VBD,507
every,every,DT,490
much,much,DT,490
don't,don't,NN,489
say,say,VB,482
place,place,NN,481
so,so,IN,479
off,off,RP,479
most,most,DT,477
used,used,VBN,474
part,part,NN,473
does,does,VBZ,467
number,number,NN,467
made,made,VBD,466
course,course,NN,464
united,united,NN,463
in,in,RP,462
until,until,IN,461
always,always,RB,458
out,out,IN,454
away,away,RB,453
high,high,JJ,453
upon,upon,IN,451
something,something,PRP,449
fact,fact,NN,447
2,2,CD,445
much,much,RB,440
water,water,NN,438
states,states,NNPS,438
think,think,VB,433
come,come,VB,432
almost,almost,RB,431
took,took,VBD,426
school,school,NN,416
hand,hand,NN,414
once,once,RB,414
nothing,nothing,PRP,408
though,though,IN,406
head,head,NN,404
however,however,RB,402
didn't,didn't,NN,401
night,night,NN,400
find,find,VB,397
little,little,DT,396
going,going,VBG,395
why,why,WRB,394
eyes,eyes,NNS,394
knew,knew,VBD,394
house,house,NN,394
system,system,NN,393
over,over,RP,390
give,give,VB,387
toward,toward,IN,386
far,far,RB,384
social,social,JJ,379
group,group,NN,378
days,days,NNS,378
several,several,DT,377
given,given,VBN,376
general,general,JJ,375
possible,possible,JJ,374
young,young,JJ,373
program,program,NN,372
per,per,IN,370
among,among,IN,369
often,often,RB,369
national,national,JJ,369
important,important,JJ,369
business,business,NN,367
room,room,NN,365
side,side,NN,365
only,only,DT,364
things,things,NNS,363
end,end,NN,362
use,use,NN,361
four,four,CD,360
big,big,JJ,359
large,large,JJ,354
case,case,NN,353
within,within,IN,351
john,john,NNP,351
point,point,NN,350
children,children,NNS,350
order,order,NN,346
ever,ever,RB,344
later,later,RBR,342
thought,thought,VBD,340
saw,saw,VBD,338
got,got,VBD,338
let,let,VB,336
white,white,JJ,334
thing,thing,NN,331
first,first,RB,330
power,power,NN,327
looked,looked,VBD,327
interest,interest,NN,326
around,around,IN,326
least,least,DT,325
others,others,NNS,323
although,although,IN,321
members,members,NNS,320
second,second,JJ,320
face,face,NN,319
area,area,NN,319
want,want,VB,318
',','',317
no,no,RB,317
