word,lemma,pos,freq
the,the,DT,60958
of,of,IN,27178
to,to,TO,24034
and,and,CC,22806
in,in,IN,20533
on,on,IN,8855
for,for,IN,8815
is,be,VBZ,7779
said,say,VBD,6657
with,with,IN,5947
at,at,IN,5395
it,it,PRP,5092
as,a,IN,4875
was,be,VBD,4857
from,from,IN,4528
that,that,IN,4477
by,by,IN,4432
are,be,VBP,4322
he,he,PRP,4315
be,be,VB,4279
has,have,VBZ,3950
will,will,MD,3642
bangladesh,bangladesh,NNP,3502
this,this,DT,3400
not,not,RB,3346
their,their,PRP$,3163
have,have,VBP,3119
they,they,PRP,3041
we,we,PRP,2851
an,an,DT,2826
his,his,PRP$,2680
but,but,CC,2579
also,also,RB,2449
were,be,VBD,2446
been,be,VBN,2176
people,people,NNS,2118
after,after,IN,2074
who,who,WP,1948
its,it,PRP$,1929
or,or,CC,1864
had,have,VBD,1827
government,government,NN,1800
can,can,MD,1735
which,which,WDT,1733
that,that,WDT,1728
one,one,CD,1527
you,you,PRP,1517
country,country,NN,1485
dhaka,dhaka,NNP,1450
two,two,CD,1398
about,about,IN,1396
would,would,MD,1388
when,when,WRB,1386
all,all,DT,1374
over,over,IN,1320
she,she,PRP,1315
there,there,EX,1303
if,if,IN,1276
other,other,JJ,1264
while,while,IN,1246
them,them,PRP,1235
time,time,NN,1198
our,our,PRP$,1193
some,some,DT,1165
year,year,NN,1162
against,against,IN,1091
last,last,JJ,1076
more,more,JJR,1063
up,up,RP,1051
her,her,PRP$,1038
that,that,DT,987
during,during,IN,979
now,now,RB,975
into,into,IN,970
first,first,JJ,946
than,than,IN,945
no,no,DT,943
new,new,JJ,934
years,year,NNS,923
any,any,DT,910
under,under,IN,906
out,out,RP,873
have,have,VB,865
these,these,DT,861
minister,minister,NNP,845
many,many,JJ,841
through,through,IN,831
india,india,NNP,818
like,like,IN,800
what,what,WP,781
so,so,RB,777
including,include,VBG,763
only,only,RB,761
could,could,MD,758
us,u,NNP,756
before,before,IN,754
day,day,NN,737
being,be,VBG,731
should,should,MD,716
three,three,CD,714
world,world,NN,708
such,such,JJ,703
do,do,VBP,695
according,accord,VBG,681
take,take,VB,660
even,even,RB,659
between,between,IN,654
my,my,PRP$,652
percent,percent,NN,651
countries,country,NNS,649
did,do,VBD,649
then,then,RB,644
since,since,IN,636
those,those,DT,632
him,him,PRP,629
told,tell,VBD,622
where,where,WRB,620
very,very,RB,614
students,student,NNS,614
your,your,PRP$,603
more,more,RBR,602
however,however,RB,599
case,case,NN,594
election,election,NN,589
around,around,IN,577
bnp,bnp,NNP,573
get,get,VB,562
local,local,JJ,559
world,world,NNP,559
minister,minister,NN,551
as,as,RB,548
well,well,RB,548
added,add,VBD,545
officials,official,NNS,545
unb,unb,NNP,538
party,party,NN,533
just,just,RB,533
how,how,WRB,533
sheikh,sheikh,NNP,530
team,team,NN,520
make,make,VB,516
women,woman,NNS,515
another,another,DT,504
because,because,IN,499
may,may,MD,498
hasina,hasina,NNP,497
still,still,RB,496
state,state,NN,496
rahman,rahman,NNP,495
different,different,JJ,494
city,city,NN,493
taken,take,VBN,490
league,league,NNP,490
number,number,NN,490
part,part,NN,489
way,way,NN,489
days,day,NNS,481
took,take,VBD,476
among,among,IN,476
health,health,NN,473
home,home,NN,470
trump,trump,NNP,468
power,power,NN,467
both,both,DT,466
prime,prime,NNP,465
university,university,NNP,464
leaders,leader,NNS,462
us,u,PRP,459
china,china,NNP,458
due,due,JJ,458
four,four,CD,456
islam,islam,NNP,455
development,development,NN,453
water,water,NN,452
good,good,JJ,450
members,member,NNS,447
per,per,IN,444
five,five,CD,442
police,police,NN,441
president,president,NNP,440
next,next,JJ,439
million,million,CD,438
public,public,JJ,437
political,political,JJ,435
court,court,NN,434
international,international,JJ,432
came,come,VBD,429
united,united,NNP,426
tk,tk,NNP,423
meeting,meeting,NN,419
area,area,NN,419
national,national,JJ,414
same,same,JJ,414
photo,photo,NN,413
place,place,NN,410
workers,worker,NNS,402
president,president,NN,400
sunday,sunday,NNP,399
me,me,PRP,399
every,every,DT,398
myanmar,myanmar,NNP,398
media,medium,NNS,396
new,new,NNP,393
saturday,saturday,NNP,393
most,most,RBS,391
back,back,RB,391
out,out,IN,390
going,go,VBG,390
high,high,JJ,389
law,law,NN,389
yesterday,yesterday,NN,389
children,child,NNS,382
go,go,VB,381
global,global,JJ,380
thursday,thursday,NNP,377
each,each,DT,376
here,here,RB,374
all,all,PDT,373
must,must,MD,372
others,others,NNS,370
pakistan,pakistan,NNP,369
friday,friday,NNP,366
own,own,JJ,366
do,do,VB,364
authorities,authority,NNS,364
family,family,NN,364
most,most,JJS,364
without,without,IN,363
office,office,NN,362
pm,pm,NNP,361
security,security,NN,359
work,work,NN,356
national,national,NNP,355
made,make,VBD,354
few,few,JJ,353
made,make,VBN,353
several,several,JJ,351
dr,dr,NNP,349
life,life,NN,349
across,across,IN,349
already,already,RB,348
growth,growth,NN,348
cup,cup,NNP,348
police,police,NNP,347
second,second,JJ,347
foreign,foreign,JJ,345
tuesday,tuesday,NNP,344
cases,case,NNS,344
may,may,NNP,344
former,former,JJ,343
money,money,NN,343
group,group,NN,342
months,month,NNS,342
capital,capital,NN,341
market,market,NN,339
report,report,NN,337
working,work,VBG,335
social,social,JJ,332
system,system,NN,332
bank,bank,NNP,331
