word,lemma,pos,freq
the,the,DT,41185
to,to,TO,19231
and,and,CC,18768
of,of,IN,18672
in,in,IN,15188
for,for,IN,6979
is,be,VBZ,6288
on,on,IN,5691
with,with,IN,4831
as,a,IN,4093
it,it,PRP,4033
that,that,IN,3740
by,by,IN,3659
at,at,IN,3530
was,be,VBD,3374
from,from,IN,3369
said,say,VBD,3173
be,be,VB,3112
has,have,VBZ,3026
hong,hong,NNP,2820
are,be,VBP,2777
kong,kong,NNP,2776
will,will,MD,2713
an,an,DT,2704
not,not,RB,2395
he,he,PRP,2352
this,this,DT,2319
china,china,NNP,2076
or,or,CC,2060
its,it,PRP$,1987
their,their,PRP$,1982
have,have,VBP,1803
also,also,RB,1769
but,but,CC,1755
we,we,PRP,1655
his,his,PRP$,1646
that,that,WDT,1619
which,which,WDT,1571
they,they,PRP,1528
after,after,IN,1417
been,be,VBN,1409
were,be,VBD,1316
can,can,MD,1290
who,who,WP,1287
year,year,NN,1234
had,have,VBD,1195
one,one,CD,1106
about,about,IN,1035
people,people,NNS,1007
would,would,MD,1000
you,you,PRP,987
she,she,PRP,982
government,government,NN,975
new,new,JJ,970
our,our,PRP$,969
more,more,JJR,958
other,other,JJ,956
when,when,WRB,934
than,than,IN,926
two,two,CD,916
over,over,IN,909
into,into,IN,896
if,if,IN,872
us,u,NNP,867
years,year,NNS,849
up,up,RP,843
time,time,NN,831
percent,percent,NN,828
last,last,JJ,827
there,there,EX,824
all,all,DT,809
some,some,DT,809
such,such,JJ,774
chinese,chinese,JJ,774
while,while,IN,738
first,first,JJ,708
her,her,PRP$,704
what,what,WP,703
should,should,MD,701
business,business,NN,692
have,have,VB,688
only,only,RB,680
including,include,VBG,661
hk,hk,NNP,660
legal,legal,JJ,660
company,company,NN,651
may,may,MD,647
under,under,IN,639
that,that,DT,633
out,out,RP,629
market,market,NN,612
could,could,MD,608
them,them,PRP,600
during,during,IN,590
million,million,CD,571
more,more,RBR,570
between,between,IN,557
law,law,NN,553
no,no,DT,547
now,now,RB,540
where,where,WRB,538
companies,company,NNS,537
world,world,NN,535
three,three,CD,534
city,city,NN,534
as,as,RB,532
how,how,WRB,522
many,many,JJ,522
any,any,DT,517
before,before,IN,511
since,since,IN,508
these,these,DT,506
well,well,RB,500
being,be,VBG,497
billion,billion,CD,496
against,against,IN,494
beijing,beijing,NNP,485
public,public,JJ,484
says,say,VBZ,479
through,through,IN,474
according,accord,VBG,473
so,so,RB,459
just,just,RB,456
hkfp,hkfp,NNP,456
law,law,NNP,449
photo,photo,NN,443
amp,amp,NN,441
those,those,DT,438
your,your,PRP$,437
global,global,JJ,435
asia,asia,NNP,427
security,security,NN,420
did,do,VBD,411
media,medium,NNS,410
country,country,NN,408
even,even,RB,403
around,around,IN,390
most,most,RBS,390
friend,friend,NNP,390
however,however,RB,388
services,service,NNS,387
still,still,RB,386
investment,investment,NN,383
local,local,JJ,378
do,do,VBP,374
like,like,IN,373
development,development,NN,367
because,because,IN,363
system,system,NN,362
police,police,NN,362
financial,financial,JJ,359
information,information,NN,357
news,news,NN,349
case,case,NN,349
new,new,NNP,348
make,make,VB,348
take,take,VB,347
industry,industry,NN,346
day,day,NN,345
data,data,NNS,343
rights,right,NNS,342
very,very,RB,340
email,email,NNP,340
national,national,JJ,336
way,way,NN,334
free,free,NNP,333
part,part,NN,331
another,another,DT,330
both,both,DT,330
must,must,MD,328
political,political,JJ,328
then,then,RB,327
work,work,NN,326
foreign,foreign,JJ,326
team,team,NN,321
today,today,NN,321
us,u,PRP,321
india,india,NNP,320
month,month,NN,319
across,across,IN,319
my,my,PRP$,315
next,next,JJ,311
number,number,NN,311
most,most,JJS,307
court,court,NN,305
chan,chan,NNP,305
students,student,NNS,303
international,international,JJ,301
investors,investor,NNS,301
tax,tax,NN,301
same,same,JJ,300
week,week,NN,295
management,management,NN,294
service,service,NN,294
growth,growth,NN,293
without,without,IN,293
trade,trade,NN,292
second,second,JJ,291
him,him,PRP,291
policy,policy,NN,288
due,due,JJ,286
four,four,CD,285
group,group,NN,284
whether,whether,IN,283
countries,country,NNS,283
firm,firm,NN,281
social,social,JJ,279
press,press,NNP,277
economic,economic,JJ,274
lam,lam,NNP,271
home,home,NN,270
made,make,VBN,269
five,five,CD,268
months,month,NNS,268
told,tell,VBD,267
important,important,JJ,267
family,family,NN,265
days,day,NNS,265
independent,independent,JJ,265
among,among,IN,264
capital,capital,NN,264
does,do,VBZ,264
private,private,JJ,264
get,get,VB,262
