word,lemma,pos,freq
the,the,DT,44344
to,to,TO,19965
of,of,IN,19944
and,and,CC,18585
in,in,IN,13897
is,be,VBZ,7496
for,for,IN,6499
that,that,IN,6460
on,on,IN,5595
was,be,VBD,4834
with,with,IN,4605
it,it,PRP,4544
are,be,VBP,4241
he,he,PRP,4042
be,be,VB,4028
at,at,IN,3984
we,we,PRP,3850
as,a,IN,3743
not,not,RB,3528
said,say,VBD,3376
by,by,IN,3022
will,will,MD,2904
from,from,IN,2888
this,this,DT,2833
have,have,VBP,2600
has,have,VBZ,2525
jamaica,jamaica,NNP,2448
his,his,PRP$,2370
who,who,WP,2261
they,they,PRP,2013
or,or,CC,2008
that,that,WDT,2006
an,an,DT,1974
but,but,CC,1961
their,their,PRP$,1958
she,she,PRP,1928
you,you,PRP,1862
which,which,WDT,1824
been,be,VBN,1679
also,also,RB,1618
were,be,VBD,1613
can,can,MD,1320
one,one,CD,1293
her,her,PRP$,1288
when,when,WRB,1266
had,have,VBD,1260
that,that,DT,1234
would,would,MD,1223
our,our,PRP$,1202
comments,comment,NNS,1193
some,some,DT,1191
all,all,DT,1151
there,there,EX,1149
its,it,PRP$,1050
what,what,WP,1016
have,have,VB,995
your,your,PRP$,975
other,other,JJ,967
about,about,IN,966
if,if,IN,945
people,people,NNS,934
time,time,NN,933
after,after,IN,920
them,them,PRP,852
two,two,CD,839
year,year,NN,835
now,now,RB,822
years,year,NNS,822
my,my,PRP$,810
being,be,VBG,797
out,out,RP,761
because,because,IN,760
over,over,IN,757
so,so,RB,746
st,st,NNP,740
while,while,IN,724
per,per,IN,722
no,no,DT,719
up,up,RP,717
last,last,JJ,714
do,do,VB,713
more,more,JJR,713
under,under,IN,691
do,do,VBP,689
however,however,RB,682
into,into,IN,675
than,than,IN,660
where,where,WRB,655
should,should,MD,655
since,since,IN,643
him,him,PRP,634
during,during,IN,618
just,just,RB,614
many,many,JJ,610
cent,cent,NN,600
these,these,DT,594
new,new,JJ,592
may,may,MD,585
day,day,NN,584
me,me,PRP,580
first,first,JJ,579
minister,minister,NNP,550
any,any,DT,544
could,could,MD,536
very,very,RB,525
well,well,RB,524
those,those,DT,522
through,through,IN,521
how,how,WRB,519
only,only,RB,516
children,child,NNS,515
as,as,RB,506
persons,person,NNS,500
did,do,VBD,491
told,tell,VBD,488
then,then,RB,485
get,get,VB,476
caribbean,caribbean,NNP,476
us,u,NNP,475
country,country,NN,475
even,even,RB,472
three,three,CD,469
united,united,NNP,461
always,always,RB,458
kingston,kingston,NNP,454
publish,publish,VB,454
like,like,IN,451
such,such,JJ,444
please,please,VB,442
work,work,NN,440
good,good,JJ,439
all,all,PDT,438
team,team,NN,437
way,way,NN,434
more,more,RBR,430
us,u,PRP,429
make,make,VB,428
before,before,IN,424
government,government,NNP,418
part,part,NN,417
must,must,MD,415
against,against,IN,409
business,business,NN,401
man,man,NN,401
police,police,NN,398
school,school,NN,398
national,national,NNP,396
take,take,VB,394
house,house,NNP,394
world,world,NN,391
million,million,CD,381
free,free,JJ,377
am,be,VBP,374
students,student,NNS,374
still,still,RB,366
added,add,VBD,366
health,health,NN,361
going,go,VBG,360
says,say,VBZ,358
public,public,JJ,356
so,so,IN,355
top,top,JJ,355
possible,possible,JJ,353
home,home,NN,352
life,life,NN,352
community,community,NN,351
place,place,NN,349
another,another,DT,346
gleaner,gleaner,NNP,345
among,among,IN,337
development,development,NN,333
members,member,NNS,330
makes,make,VBZ,330
dr,dr,NNP,329
men,men,NNS,328
local,local,JJ,322
west,west,NNP,320
family,family,NN,319
hard,hard,JJ,319
company,company,NN,318
number,number,NN,318
having,have,VBG,317
see,see,VB,317
world,world,NNP,314
system,system,NN,313
try,try,VB,311
made,make,VBN,310
including,include,VBG,308
according,accord,VBG,308
sunday,sunday,NNP,306
five,five,CD,305
out,out,IN,299
government,government,NN,299
ministry,ministry,NNP,298
week,week,NN,297
both,both,DT,296
women,woman,NNS,294
between,between,IN,294
received,receive,VBN,294
four,four,CD,293
done,do,VBN,293
here,here,RB,292
andrew,andrew,NNP,292
back,back,RB,291
second,second,JJ,291
national,national,JJ,289
does,do,VBZ,282
most,most,RBS,282
jamaican,jamaican,NNP,280
things,thing,NNS,279
states,state,NNPS,278
newspaper,newspaper,NN,277
each,each,DT,275
international,international,JJ,274
published,publish,VBN,273
countries,country,NNS,272
discussion,discussion,NN,270
website,website,NN,269
programme,programme,NN,268
civil,civil,JJ,268
go,go,VB,267
bay,bay,NNP,267
read,read,VB,266
high,high,JJ,265
same,same,JJ,265
there,there,RB,264
minister,minister,NN,264
best,best,JJS,263
material,material,NN,263
new,new,NNP,259
write,write,VB,259
stories,story,NNS,258
several,several,JJ,258
support,support,NN,255
service,service,NN,255
every,every,DT,254
without,without,IN,253
social,social,JJ,253
education,education,NN,250
submitted,submit,VBN,250
own,own,JJ,249
want,want,VBP,247
topic,topic,NN,247
block,block,NN,247
report,report,NN,246
process,process,NN,245
came,come,VBD,245
person,person,NN,244
ask,ask,VBP,244
sector,sector,NN,243
group,group,NN,241
noted,note,VBD,240
her,her,PRP,237
addresses,address,NNS,237
next,next,JJ,234
able,able,JJ,232
rules,rule,NNP,232
capitals,capital,NNS,232
university,university,NNP,231
post,post,NNP,230
welcome,welcome,JJ,230
given,give,VBN,229
too,too,RB,229
republished,republish,VBN,228
representative,representative,JJ,228
stick,stick,NN,228
across,across,IN,227
hateful,hateful,JJ,227
doing,do,VBG,227
libellous,libellous,JJ,226
please,please,JJ,226
young,young,JJ,224
comment,comment,NNP,224
high,high,NNP,223
reader,reader,NN,223
money,money,NN,222
made,make,VBD,222
yesterday,yesterday,NN,221
moderated,moderate,VBN,220
music,music,NN,219
days,day,NNS,219
comment,comment,JJ,219
jamaicans,jamaican,NNPS,218
great,great,JJ,217
others,others,NNS,216
need,need,VBP,216
important,important,JJ,216
email,email,JJ,216
james,james,NNP,216
come,come,VB,215
never,never,RB,213
recent,recent,JJ,213
services,service,NNS,212
information,information,NN,211
lot,lot,NN,211
news,news,NNP,211
former,former,JJ,210
jamaican,jamaican,JJ,209
within,within,IN,208
law,law,NN,208
took,take,VBD,207
off,off,RP,207
level,level,NN,206
went,go,VBD,206
understand,understand,JJ,205
times,time,NNS,204
seen,see,VBN,204
why,why,WRB,203
order,order,NN,202
woman,woman,NN,200
court,court,NN,199
event,event,NN,198
tuesday,tuesday,NNP,198
advertisement,advertisement,NNP,197
taken,take,VBN,196
market,market,NN,196
far,far,RB,195
really,really,RB,195
much,much,JJ,194
months,month,NNS,194
say,say,VB,193
island,island,NN,193
today,today,NN,193
ensure,ensure,VB,193
help,help,VB,192
training,training,NN,192
road,road,NN,192
body,body,NN,191
area,area,NN,191
know,know,VB,190
montego,montego,NNP,190
know,know,VBP,189
issues,issue,NNS,189
case,case,NN,189
friday,friday,NNP,189
something,something,NN,188
major,major,JJ,188
end,end,NN,188
most,most,JJS,187
policy,policy,NN,187
think,think,VBP,187
economic,economic,JJ,186
around,around,IN,184
political,political,JJ,184
left,leave,VBN,183
again,again,RB,183
final,final,JJ,183
season,season,NN,183
used,use,VBN,182
media,medium,NNS,182
security,security,NN,181
may,may,NNP,181
