word,lemma,pos,freq
the,the,DT,106537
of,of,IN,47005
to,to,TO,44324
and,and,CC,40799
in,in,IN,31666
is,be,VBZ,16114
for,for,IN,13944
on,on,IN,11711
with,with,IN,10176
that,that,IN,9881
by,by,IN,9809
this,this,DT,9592
was,be,VBD,9553
as,a,IN,8857
be,be,VB,8687
it,it,PRP,8628
sri,sri,NNP,8414
are,be,VBP,8057
not,not,RB,7747
at,at,IN,7255
lanka,lanka,NNP,6991
from,from,IN,6690
has,have,VBZ,6665
he,he,PRP,6180
will,will,MD,5661
we,we,PRP,5240
said,say,VBD,5094
an,an,DT,4878
have,have,VBP,4865
or,or,CC,4497
they,they,PRP,4486
their,their,PRP$,4350
which,which,WDT,3911
who,who,WP,3820
had,have,VBD,3815
his,his,PRP$,3804
also,also,RB,3781
been,be,VBN,3704
but,but,CC,3600
that,that,WDT,3536
were,be,VBD,3520
you,you,PRP,3187
its,it,PRP$,3088
country,country,NN,2998
can,can,MD,2989
all,all,DT,2857
people,people,NNS,2599
our,our,PRP$,2598
there,there,EX,2584
one,one,CD,2409
would,would,MD,2409
these,these,DT,2388
other,other,JJ,2366
government,government,NN,2366
when,when,WRB,2362
president,president,NNP,2298
if,if,IN,2152
any,any,DT,2138
time,time,NN,2028
what,what,WP,1932
after,after,IN,1928
minister,minister,NNP,1906
have,have,VB,1873
over,over,IN,1869
about,about,IN,1865
them,them,PRP,1852
that,that,DT,1842
no,no,DT,1813
new,new,JJ,1805
should,should,MD,1796
only,only,RB,1765
through,through,IN,1763
some,some,DT,1701
such,such,JJ,1623
those,those,DT,1615
into,into,IN,1606
two,two,CD,1576
do,do,VBP,1561
under,under,IN,1529
years,year,NNS,1515
colombo,colombo,NNP,1485
now,now,RB,1476
during,during,IN,1450
year,year,NN,1445
could,could,MD,1442
many,many,JJ,1437
even,even,RB,1436
while,while,IN,1436
being,be,VBG,1421
than,than,IN,1400
lankan,lankan,NNP,1393
your,your,PRP$,1382
up,up,RP,1372
world,world,NN,1368
however,however,RB,1344
political,political,JJ,1333
against,against,IN,1318
government,government,NNP,1290
out,out,RP,1289
india,india,NNP,1286
so,so,RB,1247
us,u,NNP,1243
more,more,JJR,1243
first,first,JJ,1234
well,well,RB,1189
economic,economic,JJ,1157
may,may,MD,1145
countries,country,NNS,1131
where,where,WRB,1126
him,him,PRP,1119
including,include,VBG,1115
last,last,JJ,1090
then,then,RB,1073
very,very,RB,1055
power,power,NN,1052
more,more,RBR,1041
how,how,WRB,1033
within,within,IN,996
my,my,PRP$,992
like,like,IN,983
bank,bank,NNP,971
between,between,IN,963
she,she,PRP,958
due,due,JJ,957
as,as,RB,951
did,do,VBD,949
comments,comment,NNS,943
us,u,PRP,936
take,take,VB,932
without,without,IN,931
before,before,IN,930
foreign,foreign,JJ,904
since,since,IN,904
rajapaksa,rajapaksa,NNP,898
million,million,CD,898
because,because,IN,881
do,do,VB,874
her,her,PRP$,869
must,must,MD,864
does,do,VBZ,864
made,make,VBN,860
public,public,JJ,852
today,today,NN,847
international,international,JJ,822
china,china,NNP,821
day,day,NN,810
national,national,NNP,809
development,development,NN,805
three,three,CD,800
good,good,JJ,796
taken,take,VBN,791
way,way,NN,789
tamil,tamil,NNP,788
another,another,DT,778
state,state,NN,776
out,out,IN,776
given,give,VBN,759
market,market,NN,752
billion,billion,CD,749
all,all,PDT,747
both,both,DT,745
rs,r,NNP,738
make,make,VB,736
just,just,RB,716
get,get,VB,716
place,place,NN,708
media,medium,NNS,706
ministry,ministry,NNP,700
according,accord,VBG,700
system,system,NN,692
most,most,RBS,690
local,local,JJ,690
next,next,JJ,690
high,high,JJ,689
part,part,NN,682
sector,sector,NN,679
indian,indian,JJ,678
national,national,JJ,668
industry,industry,NN,664
too,too,RB,664
pm,pm,NNP,664
general,general,NNP,659
views,view,NNS,654
end,end,NN,649
around,around,IN,647
economy,economy,NN,647
policy,policy,NN,646
own,own,JJ,644
april,april,NNP,642
why,why,WRB,640
among,among,IN,639
several,several,JJ,637
state,state,NNP,636
percent,percent,NN,636
war,war,NN,630
money,money,NN,629
still,still,RB,629
team,team,NN,629
same,same,JJ,628
company,company,NN,606
business,business,NN,606
election,election,NN,603
information,information,NN,602
former,former,JJ,601
central,central,NNP,598
party,party,NN,597
website,website,NN,596
united,united,NNP,595
most,most,JJS,591
life,life,NN,590
international,international,NNP,589
site,site,NN,580
number,number,NN,576
global,global,JJ,576
march,march,NNP,576
process,process,NN,570
world,world,NNP,566
parliament,parliament,NNP,564
back,back,RB,563
law,law,NN,560
students,student,NNS,560
prime,prime,NNP,557
reply,reply,NNP,555
work,work,NN,554
support,support,NN,552
crisis,crisis,NN,550
current,current,JJ,548
growth,growth,NN,548
order,order,NN,547
financial,financial,JJ,541
per,per,IN,536
days,day,NNS,535
necessarily,necessarily,RB,534
few,few,JJ,532
amp,amp,NN,532
report,report,NN,528
