word,lemma,pos,freq
the,the,DT,23727
to,to,TO,11596
of,of,IN,10390
and,and,CC,10166
in,in,IN,8888
for,for,IN,3881
is,be,VBZ,3682
on,on,IN,2773
that,that,IN,2680
with,with,IN,2603
by,by,IN,2228
as,a,IN,2211
said,say,VBD,2186
he,he,PRP,2170
at,at,IN,1978
are,be,VBP,1972
from,from,IN,1878
it,it,PRP,1819
was,be,VBD,1783
will,will,MD,1719
be,be,VB,1708
this,this,DT,1665
has,have,VBZ,1658
have,have,VBP,1395
tanzania,tanzania,NNP,1351
their,their,PRP$,1343
we,we,PRP,1292
they,they,PRP,1100
not,not,RB,1057
which,which,WDT,1039
that,that,WDT,1030
an,an,DT,1004
also,also,RB,966
his,his,PRP$,962
who,who,WP,936
but,but,CC,909
been,be,VBN,892
government,government,NN,871
its,it,PRP$,833
were,be,VBD,760
country,country,NN,712
people,people,NNS,684
our,our,PRP$,681
can,can,MD,635
year,year,NN,634
one,one,CD,623
other,other,JJ,615
or,or,CC,599
after,after,IN,570
you,you,PRP,568
them,them,PRP,564
all,all,DT,560
africa,africa,NNP,555
she,she,PRP,553
when,when,WRB,551
had,have,VBD,543
dar,dar,NNP,523
over,over,IN,506
time,time,NN,505
two,two,CD,495
there,there,EX,486
salaam,salaam,NNP,485
some,some,DT,470
would,would,MD,467
new,new,JJ,462
through,through,IN,457
more,more,JJR,436
per,per,IN,422
during,during,IN,418
about,about,IN,409
es,e,NN,395
while,while,IN,394
countries,country,NNS,387
mr,mr,NNP,387
development,development,NN,386
into,into,IN,380
have,have,VB,369
years,year,NNS,369
should,should,MD,367
business,business,NN,367
such,such,JJ,364
last,last,JJ,358
up,up,RP,358
than,than,IN,356
what,what,WP,351
president,president,NNP,347
dr,dr,NNP,347
services,service,NNS,344
including,include,VBG,343
now,now,RB,342
well,well,RB,341
that,that,DT,338
between,between,IN,338
if,if,IN,337
first,first,JJ,334
million,million,CD,327
being,be,VBG,326
where,where,WRB,325
local,local,JJ,324
against,against,IN,321
sector,sector,NN,317
many,many,JJ,309
according,accord,VBG,306
as,as,RB,303
cent,cent,NN,296
so,so,RB,294
only,only,RB,293
market,market,NN,288
these,these,DT,287
health,health,NN,284
because,because,IN,278
economic,economic,JJ,277
out,out,RP,276
before,before,IN,275
women,woman,NNS,274
world,world,NN,273
your,your,PRP$,271
three,three,CD,269
part,part,NN,267
percent,percent,NN,266
those,those,DT,265
any,any,DT,265
both,both,DT,261
among,among,IN,261
team,team,NN,260
project,project,NN,260
company,company,NN,258
financial,financial,JJ,257
him,him,PRP,256
no,no,DT,255
public,public,JJ,254
region,region,NN,254
more,more,RBR,254
since,since,IN,253
her,her,PRP$,251
says,say,VBZ,251
united,united,NNP,248
industry,industry,NN,241
my,my,PRP$,240
like,like,IN,240
african,african,JJ,231
could,could,MD,228
how,how,WRB,228
without,without,IN,227
under,under,IN,226
various,various,JJ,226
national,national,JJ,225
growth,growth,NN,224
national,national,NNP,223
yesterday,yesterday,NN,223
east,east,NNP,223
good,good,JJ,220
minister,minister,NNP,220
however,however,RB,220
number,number,NN,220
kenya,kenya,NNP,218
very,very,RB,218
farmers,farmer,NNS,216
make,make,VB,214
