word,lemma,pos,freq
the,the,DT,18155
to,to,TO,8293
of,of,IN,8227
and,and,CC,6931
in,in,IN,5441
for,for,IN,3254
on,on,IN,2699
was,be,VBD,2417
that,that,IN,2371
interview,interview,NN,1737
had,have,VBD,1676
with,with,IN,1656
at,at,IN,1602
not,not,RB,1523
he,he,PRP,1518
as,a,IN,1366
by,by,IN,1314
from,from,IN,1309
were,be,VBD,1292
report,report,NN,1196
bin,bin,NNP,1155
see,see,VBP,1112
ladin,ladin,NNP,1110
it,it,PRP,1088
his,his,PRP$,1044
fbi,fbi,NNP,1040
an,an,DT,978
or,or,CC,915
they,they,PRP,908
this,this,DT,907
united,united,NNP,882
be,be,VB,876
cia,cia,NNP,870
would,would,MD,768
is,be,VBZ,757
qaeda,qaeda,NNP,753
we,we,PRP,717
intelligence,intelligence,NN,705
been,be,VBN,697
their,their,PRP$,676
but,but,CC,674
have,have,VB,665
president,president,NNP,664
states,state,NNPS,652
intelligence,intelligence,NNP,648
ksm,ksm,NNP,647
also,also,RB,616
about,about,IN,574
other,other,JJ,566
after,after,IN,555
did,do,VBD,553
al,al,NN,552
see,see,VB,540
who,who,WP,537
information,information,NN,521
one,one,CD,521
its,it,PRP$,508
that,that,WDT,494
may,may,NNP,482
no,no,DT,480
fdny,fdny,NNP,466
clarke,clarke,NNP,435
afghanistan,afghanistan,NNP,430
some,some,DT,422
july,july,NNP,421
faa,faa,NNP,416
these,these,DT,412
mar,mar,NNP,410
june,june,NNP,403
center,center,NNP,398
apr,apr,NNP,393
them,them,PRP,387
could,could,MD,387
memo,memo,NN,383
time,time,NN,379
are,be,VBP,371
interrogation,interrogation,NN,371
that,that,DT,365
have,have,VBP,360
nsc,nsc,NNP,359
security,security,NN,358
government,government,NN,357
september,september,NNP,356
should,should,MD,355
which,which,WDT,345
two,two,CD,344
told,tell,VBD,343
when,when,WRB,341
him,him,PRP,338
has,have,VBZ,336
before,before,IN,330
there,there,EX,326
department,department,NNP,326
hazmi,hazmi,NNP,321
al,al,JJ,315
binalshibh,binalshibh,NNP,315
all,all,DT,312
new,new,NNP,312
investigation,investigation,NN,310
aircraft,aircraft,NN,310
saudi,saudi,NNP,309
against,against,IN,306
because,because,IN,306
meeting,meeting,NN,305
atta,atta,NNP,302
flight,flight,NN,301
any,any,DT,296
us,u,PRP,296
attacks,attack,NNS,292
reports,report,NNS,291
such,such,JJ,291
house,house,NNP,291
if,if,IN,284
new,new,JJ,283
into,into,IN,281
berger,berger,NNP,278
military,military,JJ,272
terrorism,terrorism,NN,271
mihdhar,mihdhar,NNP,265
attack,attack,NN,258
white,white,NNP,258
hijackers,hijacker,NNS,257
threat,threat,NN,257
operations,operation,NNS,256
agencies,agency,NNS,253
terrorist,terrorist,JJ,248
what,what,WP,246
operation,operation,NN,243
tower,tower,NNP,242
york,york,NNP,240
during,during,IN,237
first,first,JJ,235
officials,official,NNS,234
khallad,khallad,NNP,233
