word,lemma,pos,freq
and,and,CC,9081
the,the,DT,6873
to,to,TO,4930
was,be,VBD,4362
you,you,PRP,3989
it,it,PRP,3614
of,of,IN,3404
in,in,IN,2794
we,we,PRP,2224
my,my,PRP$,2157
he,he,PRP,2062
she,she,PRP,1932
that,that,IN,1859
they,they,PRP,1809
that,that,DT,1795
but,but,CC,1471
had,have,VBD,1457
know,know,VBP,1370
like,like,IN,1289
so,so,RB,1227
on,on,IN,1197
just,just,RB,1178
uh,uh,UH,1175
would,would,MD,1150
me,me,PRP,1138
were,be,VBD,1131
this,this,DT,1041
do,do,VBP,1036
what,what,WP,1018
with,with,IN,1010
or,or,CC,984
is,be,VBZ,974
about,about,IN,964
did,do,VBD,960
for,for,IN,959
when,when,WRB,897
um,um,JJ,873
at,at,IN,852
because,because,IN,764
one,one,CD,713
all,all,DT,671
said,say,VBD,667
really,really,RB,655
not,not,RB,649
there,there,EX,643
then,then,RB,612
up,up,RP,606
be,be,VB,600
her,her,PRP$,599
your,your,PRP$,599
time,time,NN,581
that,that,WDT,581
them,them,PRP,570
there,there,RB,568
well,well,RB,567
going,go,VBG,566
go,go,VB,564
from,from,IN,563
got,get,VBD,532
so,so,IN,524
have,have,VB,515
little,little,JJ,490
um,um,NNP,477
do,do,VB,472
as,a,IN,468
out,out,RP,466
him,him,PRP,465
have,have,VBP,460
could,could,MD,448
some,some,DT,431
very,very,RB,428
get,get,VB,426
if,if,IN,425
know,know,VB,423
people,people,NNS,411
his,his,PRP$,410
went,go,VBD,408
think,think,VBP,403
how,how,WRB,383
kind,kind,NN,382
stories,story,NNS,379
lot,lot,NN,377
back,back,RB,377
are,be,VBP,372
now,now,RB,365
yeah,yeah,UH,363
story,story,NN,361
no,no,DT,354
can,can,MD,353
where,where,WRB,332
who,who,WP,330
us,u,PRP,329
things,thing,NNS,326
oh,oh,UH,321
remember,remember,VB,312
other,other,JJ,310
always,always,RB,301
school,school,NN,300
house,house,NN,299
tell,tell,VB,290
an,an,DT,285
here,here,RB,281
family,family,NN,281
been,be,VBN,277
something,something,NN,273
years,year,NNS,272
never,never,RB,267
any,any,DT,266
all,all,PDT,264
out,out,IN,261
mean,mean,VBP,259
her,her,PRP,258
good,good,JJ,256
remember,remember,VBP,252
way,way,NN,248
our,our,PRP$,247
thing,thing,NN,246
still,still,RB,245
over,over,IN,239
into,into,IN,237
came,come,VBD,236
two,two,CD,236
um,um,NN,235
their,their,PRP$,234
mother,mother,NN,230
big,big,JJ,226
see,see,VB,226
by,by,IN,225
probably,probably,RB,222
guess,guess,VBP,222
day,day,NN,215
those,those,DT,213
which,which,WDT,213
anything,anything,NN,209
told,tell,VBD,209
dad,dad,NN,208
up,up,RB,204
ok,ok,UH,204
uh,uh,NN,201
old,old,JJ,200
even,even,RB,199
think,think,VB,199
down,down,RP,197
say,say,VB,197
read,read,VB,194
books,book,NNS,190
uh,uh,NNP,189
too,too,RB,189
stuff,stuff,NN,189
much,much,JJ,183
right,right,RB,181
being,be,VBG,179
after,after,IN,177
through,through,IN,177
life,life,NN,173
come,come,VB,173
down,down,RB,172
why,why,WRB,172
home,home,NN,172
actually,actually,RB,166
mom,mom,NN,165
these,these,DT,165
um,um,RB,165
everything,everything,NN,162
ever,ever,RB,158
year,year,NN,158
left,leave,VBD,157
take,take,VB,156
every,every,DT,155
children,child,NNS,155
three,three,CD,152
different,different,JJ,151
course,course,NN,151
name,name,NN,150
first,first,JJ,149
maybe,maybe,RB,145
thought,think,VBD,145
does,do,VBZ,142
than,than,IN,142
has,have,VBZ,142
took,take,VBD,141
around,around,IN,140
car,car,NN,139
kids,kid,NNS,138
let,let,VB,138
whole,whole,JJ,136
high,high,JJ,135
used,use,VBD,134
night,night,NN,134
book,book,NN,134
charlotte,charlotte,NNP,134
place,place,NN,133
make,make,VB,133
grandmother,grandmother,NN,132
also,also,RB,132
before,before,IN,132
wanted,want,VBD,131
um,um,UH,131
everybody,everybody,NN,129
lived,live,VBD,126
pretty,pretty,RB,126
doing,do,VBG,122
ca,ca,MD,122
started,start,VBD,122
real,real,JJ,120
parents,parent,NNS,120
another,another,DT,120
about,about,RB,120
yes,yes,UH,119
knew,know,VBD,119
favorite,favorite,JJ,119
many,many,JJ,116
more,more,JJR,113
off,off,RP,113
part,part,NN,112
until,until,IN,112
saying,say,VBG,112
great,great,JJ,111
four,four,CD,110
else,else,RB,109
sister,sister,NN,108
want,want,VB,108
same,same,JJ,108
made,make,VBD,108
want,want,VBP,107
friends,friend,NNS,107
reading,read,VBG,105
father,father,NN,105
together,together,RB,103
get,get,VBP,101
again,again,RB,101
trying,try,VBG,101
as,as,RB,101
go,go,VBP,101
both,both,DT,100
getting,get,VBG,100
right,right,NN,97
brother,brother,NN,97
like,like,VB,96
grandfather,grandfather,NN,95
anyway,anyway,RB,95
sure,sure,JJ,95
man,man,NN,94
only,only,RB,93
os,o,NNP,93
doubao,doubao,NNP,93
resource,resource,NN,93
fork,fork,NN,93
intentionally,intentionally,RB,93
blank,blank,JJ,93
talking,talk,VBG,92
five,five,CD,92
times,time,NNS,92
more,more,RBR,90
next,next,JJ,89
talk,talk,VB,89
coming,come,VBG,88
child,child,NN,88
did,did,NNP,88
play,play,VB,87
area,area,NN,86
died,die,VBD,86
read,read,VBP,86
point,point,NN,86
sort,sort,NN,86
uh,uh,JJ,84
away,away,RB,84
called,call,VBD,84
town,town,NN,83
person,person,NN,83
much,much,RB,83
guy,guy,NN,83
right,right,JJ,82
yeah,yeah,NN,82
each,each,DT,82
done,do,VBN,82
road,road,NN,82
older,old,JJR,81
moved,move,VBD,81
since,since,IN,81
born,bear,VBN,79
young,young,JJ,79
long,long,JJ,79
particular,particular,JJ,78
will,will,MD,77
happened,happen,VBD,77
room,room,NN,77
girl,girl,NN,77
six,six,CD,75
put,put,VB,75
whatever,whatever,WDT,75
own,own,JJ,72
liked,like,VBD,72
up,up,IN,71
side,side,NN,71
during,during,IN,71
telling,tell,VBG,71
looking,look,VBG,71
bit,bit,NN,70
grew,grow,VBD,69
door,door,NN,69
nothing,nothing,NN,69
