word,lemma,pos,freq
the,the,DT,3520
of,of,IN,1822
and,and,CC,1810
to,to,TO,1548
in,in,IN,1167
is,be,VBZ,708
for,for,IN,484
he,he,PRP,481
with,with,IN,405
on,on,IN,392
are,be,VBP,379
we,we,PRP,379
as,a,IN,364
you,you,PRP,358
it,it,PRP,357
his,his,PRP$,339
that,that,IN,326
was,be,VBD,323
by,by,IN,308
be,be,VB,305
from,from,IN,301
not,not,RB,276
at,at,IN,267
they,they,PRP,254
this,this,DT,252
but,but,CC,242
an,an,DT,211
or,or,CC,194
their,their,PRP$,193
our,our,PRP$,191
all,all,DT,190
her,her,PRP$,183
what,what,WP,160
who,who,WP,159
have,have,VBP,150
can,can,MD,149
has,have,VBZ,144
she,she,PRP,143
will,will,MD,140
my,my,PRP$,132
were,be,VBD,131
that,that,WDT,127
me,me,PRP,125
that,that,DT,124
no,no,DT,120
one,one,CD,118
which,which,WDT,117
now,now,RB,117
into,into,IN,107
about,about,IN,107
other,other,JJ,107
had,have,VBD,105
your,your,PRP$,103
here,here,RB,100
them,them,PRP,96
if,if,IN,95
said,say,VBD,95
so,so,RB,93
through,through,IN,90
like,like,IN,89
him,him,PRP,89
people,people,NNS,88
us,u,PRP,88
do,do,VBP,85
would,would,MD,85
when,when,WRB,85
have,have,VB,84
been,be,VBN,84
just,just,RB,83
up,up,RP,81
world,world,NN,77
over,over,IN,76
these,these,DT,76
man,man,NN,74
after,after,IN,73
then,then,RB,71
more,more,RBR,70
how,how,WRB,69
there,there,EX,67
where,where,WRB,67
only,only,RB,67
its,it,PRP$,66
some,some,DT,65
two,two,CD,64
could,could,MD,62
than,than,IN,61
even,even,RB,58
out,out,RP,57
any,any,DT,56
little,little,JJ,56
way,way,NN,56
too,too,RB,55
time,time,NN,53
am,be,VBP,53
men,men,NNS,51
new,new,JJ,51
cyril,cyril,NNP,51
years,year,NNS,50
own,own,JJ,50
out,out,IN,48
says,say,VBZ,48
good,good,JJ,48
because,because,IN,47
himself,himself,PRP,47
many,many,JJ,46
under,under,IN,46
around,around,IN,46
more,more,JJR,46
also,also,RB,46
being,be,VBG,45
never,never,RB,44
back,back,RB,44
each,each,DT,44
joseph,joseph,NNP,44
may,may,MD,42
old,old,JJ,42
did,do,VBD,41
between,between,IN,41
life,life,NN,41
must,must,MD,40
does,do,VBZ,40
ambrose,ambrose,NNP,40
before,before,IN,39
young,young,JJ,39
very,very,RB,39
might,might,MD,39
vyvyan,vyvyan,NNP,39
south,south,NNP,39
get,get,VB,38
let,let,VB,38
see,see,VB,38
without,without,IN,38
children,child,NNS,38
should,should,MD,38
last,last,JJ,37
body,body,NN,37
eyes,eye,NNS,37
down,down,RP,36
sexual,sexual,JJ,36
water,water,NN,36
take,take,VB,35
oh,oh,UH,35
human,human,JJ,35
brain,brain,NN,35
while,while,IN,35
well,well,RB,35
power,power,NN,35
achmed,achmed,NNP,35
ferd,ferd,NNP,34
order,order,NN,34
day,day,NN,34
sex,sex,NN,34
women,woman,NNS,33
always,always,RB,33
girl,girl,NN,33
another,another,DT,33
since,since,IN,33
all,all,PDT,33
say,say,VB,32
every,every,DT,32
land,land,NN,32
kenya,kenya,NNP,32
her,her,PRP,31
love,love,NN,31
those,those,DT,31
black,black,JJ,31
as,as,RB,31
away,away,RB,30
god,god,NNP,30
go,go,VB,30
together,together,RB,30
same,same,JJ,30
tim,tim,NNP,30
white,white,JJ,29
off,off,RP,29
still,still,RB,29
lemmy,lemmy,NNP,29
us,u,NNP,29
tree,tree,NN,29
name,name,NN,29
mind,mind,NN,28
there,there,RB,28
know,know,VB,28
things,thing,NNS,28
few,few,JJ,28
first,first,JJ,28
country,country,NN,28
do,do,VB,28
mobe,mobe,NNP,28
et,et,NN,28
something,something,NN,27
going,go,VBG,27
ca,ca,MD,27
much,much,JJ,27
most,most,RBS,27
siegfried,siegfried,NNP,27
new,new,NNP,27
such,such,JJ,27
baby,baby,NN,26
united,united,NNP,26
self,self,NN,26
think,think,VBP,26
humans,human,NNS,26
make,make,VB,26
part,part,NN,26
rheinfahrt,rheinfahrt,NNP,26
consciousness,consciousness,NN,25
political,political,JJ,25
know,know,VBP,25
called,call,VBN,25
timmy,timmy,NNP,25
gog,gog,NNP,25
again,again,RB,24
made,make,VBN,24
against,against,IN,24
free,free,JJ,24
reality,reality,NN,24
american,american,JJ,24
sirenia,sirenia,NNP,24
really,really,RB,23
mother,mother,NN,23
able,able,JJ,23
others,others,NNS,23
toward,toward,IN,23
came,come,VBD,23
home,home,NN,23
different,different,JJ,23
universe,universe,NN,23
matter,matter,NN,23
karen,karen,NNP,23
course,course,NN,23
food,food,NN,23
world,world,NNP,23
year,year,NN,23
leave,leave,VB,22
within,within,IN,22
bad,bad,JJ,22
got,get,VBD,22
de,de,FW,22
taken,take,VBN,22
thing,thing,NN,22
three,three,CD,22
real,real,JJ,22
among,among,IN,22
production,production,NN,22
social,social,JJ,22
woman,woman,NN,22
marcel,marcel,NNP,22
clara,clara,NNP,22
masai,masai,NNP,22
place,place,NN,21
already,already,RB,21
until,until,IN,21
nature,nature,NN,21
oedipa,oedipa,NNP,21
look,look,VB,21
tells,tell,VBZ,21
nothing,nothing,NN,21
want,want,VBP,21
both,both,DT,21
manatees,manatee,NNS,21
once,once,RB,20
love,love,VBP,20
took,take,VBD,20
girls,girl,NNS,20
although,although,IN,20
keep,keep,VB,20
give,give,VB,20
great,great,JJ,20
far,far,RB,20
across,across,IN,20
work,work,NN,20
most,most,JJS,20
next,next,JJ,19
down,down,RB,19
days,day,NNS,19
up,up,RB,19
fact,fact,NN,19
death,death,NN,19
why,why,WRB,19
made,make,VBD,19
labor,labor,NN,19
taking,take,VBG,19
africa,africa,NNP,19
million,million,CD,19
et,et,FW,19
night,night,NN,18
times,time,NNS,18
left,leave,VBD,18
however,however,RB,18
hand,hand,NN,18
daughter,daughter,NN,18
much,much,RB,18
during,during,IN,18
later,later,RB,18
thought,think,VBD,18
merle,merle,NNP,18
yes,yes,UH,18
america,america,NNP,18
kenyatta,kenyatta,NNP,18
desert,desert,NNP,17
room,room,NN,17
better,good,JJR,17
seen,see,VBN,17
itself,itself,PRP,17
big,big,JJ,17
love,love,VB,17
makes,make,VBZ,17
alone,alone,RB,17
global,global,JJ,17
friends,friend,NNS,17
right,right,JJ,17
long,long,JJ,17
whether,whether,IN,17
animals,animal,NNS,17
