word,lemma,pos,freq
the,the,DT,65689
of,of,IN,36701
and,and,CC,33819
to,to,TO,30056
in,in,IN,20031
for,for,IN,13964
is,be,VBZ,9196
be,be,VB,7150
on,on,IN,6997
or,or,CC,6961
that,that,IN,6386
as,a,IN,6312
are,be,VBP,6277
with,with,IN,6140
by,by,IN,6088
not,not,RB,4532
this,this,DT,4519
an,an,DT,4388
at,at,IN,4243
from,from,IN,4233
it,it,PRP,3701
that,that,WDT,3489
information,information,NN,3018
other,other,JJ,2849
their,their,PRP$,2836
will,will,MD,2600
we,we,PRP,2485
was,be,VBD,2461
has,have,VBZ,2389
these,these,DT,2254
its,it,PRP$,2200
they,they,PRP,2173
which,which,WDT,2143
have,have,VBP,2129
can,can,MD,2092
such,such,JJ,2064
would,would,MD,2060
should,should,MD,1990
legal,legal,JJ,1981
also,also,RB,1930
services,service,NNS,1928
may,may,MD,1928
if,if,IN,1921
program,program,NN,1844
were,be,VBD,1770
under,under,IN,1724
than,than,IN,1677
federal,federal,JJ,1645
all,all,DT,1613
that,that,DT,1579
data,data,NNS,1562
cost,cost,NN,1558
legal,legal,NNP,1552
rule,rule,NN,1531
our,our,PRP$,1494
management,management,NN,1477
state,state,NN,1447
gao,gao,NNP,1446
act,act,NNP,1434
programs,program,NNS,1425
year,year,NN,1419
each,each,DT,1404
one,one,CD,1384
performance,performance,NN,1381
system,system,NN,1349
about,about,IN,1347
work,work,NN,1342
test,test,NN,1326
but,but,CC,1317
agencies,agency,NNS,1314
any,any,DT,1312
percent,percent,NN,1312
some,some,DT,1269
been,be,VBN,1264
section,section,NN,1258
when,when,WRB,1255
used,use,VBN,1255
agency,agency,NN,1247
who,who,WP,1241
said,say,VBD,1232
time,time,NN,1222
new,new,JJ,1207
government,government,NN,1201
lsc,lsc,NNP,1143
requirements,requirement,NNS,1137
more,more,JJR,1123
through,through,IN,1112
have,have,VB,1107
financial,financial,JJ,1102
because,because,IN,1090
more,more,RBR,1088
analysis,analysis,NN,1086
organizations,organization,NNS,1084
costs,cost,NNS,1050
control,control,NN,1039
security,security,NN,1025
case,case,NN,982
could,could,MD,973
how,how,WRB,964
those,those,DT,947
use,use,NN,942
report,report,NN,928
unit,unit,NN,924
federal,federal,NNP,913
had,have,VBD,912
results,result,NNS,905
over,over,IN,899
there,there,EX,898
people,people,NNS,893
example,example,NN,888
years,year,NNS,883
must,must,MD,881
mail,mail,NN,875
however,however,RB,874
he,he,PRP,872
systems,system,NNS,868
provide,provide,VB,863
process,process,NN,858
number,number,NN,853
many,many,JJ,846
technology,technology,NN,846
march,march,NNP,845
see,see,VB,838
united,united,NNP,837
business,business,NN,836
what,what,WP,835
service,service,NNP,821
only,only,RB,813
standards,standard,NNS,811
available,available,JJ,809
service,service,NN,800
benefits,benefit,NNS,792
delivery,delivery,NN,786
including,include,VBG,786
organization,organization,NN,771
comment,comment,NN,771
law,law,NN,759
resources,resource,NNS,759
staff,staff,NN,752
no,no,DT,751
auditors,auditor,NNS,751
two,two,CD,746
audit,audit,NN,744
changes,change,NNS,741
public,public,JJ,734
commission,commission,NNP,731
states,state,NNPS,725
significant,significant,JJ,724
congress,congress,NNP,723
required,require,VBN,717
study,study,NN,711
review,review,NN,710
using,use,VBG,706
between,between,IN,701
cases,case,NNS,699
emissions,emission,NNS,698
after,after,IN,696
design,design,NN,694
general,general,NNP,691
final,final,JJ,690
them,them,PRP,686
into,into,IN,682
million,million,CD,678
comments,comment,NNS,678
shall,shall,MD,677
both,both,DT,676
problems,problem,NNS,670
during,during,IN,668
does,do,VBZ,663
quality,quality,NN,662
based,base,VBN,661
per,per,IN,655
issues,issue,NNS,653
office,office,NNP,640
effective,effective,JJ,635
part,part,NN,633
within,within,IN,626
value,value,NN,626
rate,rate,NN,624
you,you,PRP,621
same,same,JJ,617
do,do,VBP,611
postal,postal,NNP,611
activities,activity,NNS,607
water,water,NN,603
national,national,JJ,601
development,development,NN,600
current,current,JJ,598
access,access,NN,597
employees,employee,NNS,596
allowances,allowance,NNS,586
total,total,JJ,585
while,while,IN,582
where,where,WRB,581
before,before,IN,577
well,well,RB,576
security,security,NNP,575
services,service,NNP,573
plan,plan,NN,571
important,important,JJ,569
help,help,VB,569
ensure,ensure,VB,567
volume,volume,NN,565
made,make,VBN,563
addition,addition,NN,562
proposed,propose,VBN,558
risk,risk,NN,558
practices,practice,NNS,553
as,as,RB,552
executive,executive,NN,547
areas,area,NNS,546
tests,test,NNS,542
additional,additional,JJ,540
national,national,NNP,538
management,management,NNP,536
level,level,NN,530
clients,client,NNS,528
private,private,JJ,526
senior,senior,JJ,526
department,department,NNP,524
amount,amount,NN,523
annual,annual,JJ,522
product,product,NN,522
research,research,NN,520
health,health,NN,518
new,new,NNP,516
studies,study,NNS,513
reports,report,NNS,511
planning,planning,NN,511
being,be,VBG,510
workers,worker,NNS,510
whether,whether,IN,508
major,major,JJ,508
she,she,PRP,508
assistance,assistance,NN,506
basis,basis,NN,505
government,government,NNP,502
units,unit,NNS,500
page,page,VB,495
small,small,JJ,494
critical,critical,JJ,491
his,his,PRP$,491
efforts,effort,NNS,491
interest,interest,NN,490
saving,save,VBG,488
most,most,RBS,483
managers,manager,NNS,482
reporting,reporting,NN,481
objectives,objective,NNS,479
most,most,JJS,479
saving,saving,NN,479
needs,need,NNS,476
first,first,JJ,472
funding,funding,NN,471
needed,need,VBN,471
provides,provide,VBZ,469
operations,operation,NNS,469
members,member,NNS,468
make,make,VB,466
compliance,compliance,NN,461
toxicity,toxicity,NN,460
goals,goal,NNS,457
did,do,VBD,457
three,three,CD,457
aid,aid,NNP,457
several,several,JJ,456
states,state,NNS,453
model,model,NN,453
funds,fund,NNS,451
state,state,NNP,450
individual,individual,JJ,450
entity,entity,NN,447
support,support,NN,446
office,office,NN,446
comments,comment,NNP,446
entities,entity,NNS,445
need,need,NN,441
procedures,procedure,NNS,441
specific,specific,JJ,441
epa,epa,NNP,440
order,order,NN,439
so,so,RB,439
provided,provide,VBN,437
