word,lemma,pos,freq
the,the,DT,299570
of,of,IN,134529
to,to,TO,121566
and,and,CC,109278
in,in,IN,87065
is,be,VBZ,59982
that,that,IN,46652
it,it,PRP,43555
for,for,IN,43449
on,on,IN,33219
as,a,IN,30733
with,with,IN,30478
he,he,PRP,25634
by,by,IN,25514
this,this,DT,25511
but,but,CC,25277
was,be,VBD,25246
his,his,PRP$,23585
are,be,VBP,23481
be,be,VB,22937
not,not,RB,22709
an,an,DT,20800
from,from,IN,18858
you,you,PRP,18623
at,at,IN,18301
or,or,CC,17757
has,have,VBZ,17415
they,they,PRP,16088
who,who,WP,14634
about,about,IN,14414
one,one,CD,12891
that,that,WDT,12535
that,that,DT,12367
which,which,WDT,12048
have,have,VBP,12034
their,their,PRP$,11930
if,if,IN,11529
would,would,MD,11495
we,we,PRP,11234
will,will,MD,11202
what,what,WP,11176
its,it,PRP$,10676
when,when,WRB,9580
than,than,IN,9331
all,all,DT,9325
had,have,VBD,9206
can,can,MD,9067
have,have,VB,8819
been,be,VBN,8675
no,no,DT,8312
were,be,VBD,8280
clinton,clinton,NNP,8272
there,there,EX,8255
so,so,RB,8101
her,her,PRP$,7678
other,other,JJ,7592
like,like,IN,7455
she,she,PRP,7432
some,some,DT,7353
new,new,NNP,7332
do,do,VBP,7241
my,my,PRP$,7110
people,people,NNS,6873
more,more,RBR,6757
even,even,RB,6732
also,also,RB,6623
up,up,RP,6607
into,into,IN,6541
them,them,PRP,6344
more,more,JJR,6264
your,your,PRP$,6206
because,because,IN,6202
him,him,PRP,6084
out,out,RP,5991
only,only,RB,5928
does,do,VBZ,5909
said,say,VBD,5881
just,just,RB,5827
now,now,RB,5772
how,how,WRB,5657
could,could,MD,5612
story,story,NN,5556
new,new,JJ,5437
did,do,VBD,5407
two,two,CD,5356
says,say,VBZ,5302
time,time,NN,5251
after,after,IN,5232
left,leave,VBD,5154
these,these,DT,5039
any,any,DT,4917
should,should,MD,4727
york,york,NNP,4718
such,such,JJ,4616
intentionally,intentionally,RB,4604
os,o,NNP,4594
blank,blank,JJ,4592
years,year,NNS,4590
resource,resource,NN,4582
fork,fork,NN,4573
doubao,doubao,NNP,4563
many,many,JJ,4553
me,me,PRP,4480
