word,lemma,pos,freq
the,the,DT,4632
to,to,TO,2961
and,and,CC,2890
of,of,IN,2861
in,in,IN,1687
for,for,IN,1283
you,you,PRP,1279
your,your,PRP$,969
our,our,PRP$,964
we,we,PRP,854
is,be,VBZ,817
this,this,DT,790
are,be,VBP,646
with,with,IN,639
will,will,MD,621
as,a,IN,539
be,be,VB,488
that,that,IN,480
at,at,IN,470
on,on,IN,433
by,by,IN,413
it,it,PRP,406
from,from,IN,380
can,can,MD,380
an,an,DT,371
have,have,VBP,367
or,or,CC,344
support,support,NN,332
school,school,NN,329
year,year,NN,324
their,their,PRP$,300
gift,gift,NN,293
indiana,indiana,NNP,282
students,student,NNS,270
us,u,PRP,270
resource,resource,NN,254
has,have,VBZ,251
left,leave,VBD,251
who,who,WP,245
os,o,NNP,245
doubao,doubao,NNP,245
fork,fork,NN,245
intentionally,intentionally,RB,245
blank,blank,JJ,245
one,one,CD,240
all,all,DT,227
help,help,VB,219
that,that,WDT,216
community,community,NN,211
programs,program,NNS,206
not,not,RB,198
more,more,JJR,193
sincerely,sincerely,RB,193
people,people,NNS,193
was,be,VBD,191
if,if,IN,187
they,they,PRP,184
make,make,VB,183
children,child,NNS,181
school,school,NNP,177
name,name,NN,177
through,through,IN,174
many,many,JJ,171
these,these,DT,170
been,be,VBN,170
law,law,NN,166
education,education,NN,165
indianapolis,indianapolis,NNP,164
program,program,NN,163
but,but,CC,161
time,time,NN,159
that,that,DT,153
new,new,JJ,147
would,would,MD,146
other,other,JJ,146
contribution,contribution,NN,143
which,which,WDT,142
about,about,IN,141
like,like,IN,141
have,have,VB,131
today,today,NN,130
also,also,RB,130
its,it,PRP$,128
than,than,IN,127
my,my,PRP$,126
years,year,NNS,122
when,when,WRB,121
his,his,PRP$,120
important,important,JJ,118
now,now,RB,116
society,society,NNP,114
so,so,RB,113
more,more,RBR,112
faculty,faculty,NN,106
please,please,VB,105
city,city,NNP,105
dear,dear,NNP,105
them,them,PRP,105
he,he,PRP,103
special,special,JJ,103
just,just,RB,100
some,some,DT,98
me,me,PRP,98
provide,provide,VB,97
friends,friend,NNS,97
please,please,NNP,97
help,help,NN,97
work,work,NN,96
state,state,NN,95
address,address,NNP,95
continue,continue,VB,95
what,what,WP,95
zip,zip,NNP,94
student,student,NN,93
may,may,MD,93
life,life,NN,92
over,over,IN,92
university,university,NNP,91
only,only,RB,90
were,be,VBD,90
last,last,JJ,89
any,any,DT,89
there,there,EX,88
st,st,NNP,87
each,each,DT,87
membership,membership,NN,87
families,family,NNS,87
because,because,IN,86
members,member,NNS,86
family,family,NN,85
hope,hope,VBP,85
alumni,alumnus,NNS,84
financial,financial,JJ,82
fund,fund,NNP,82
well,well,RB,82
youth,youth,NN,82
iupui,iupui,NNP,81
research,research,NN,81
enclosed,enclose,VBN,79
services,service,NNS,79
consider,consider,VB,79
annual,annual,JJ,79
very,very,RB,78
do,do,VBP,78
need,need,VBP,78
card,card,NN,77
way,way,NN,77
every,every,DT,77
those,those,DT,77
thank,thank,NNP,77
dear,dear,JJ,77
united,united,NNP,77
contributions,contribution,NNS,76
center,center,NNP,76
do,do,VB,74
how,how,WRB,73
girl,girl,NNP,72
even,even,RB,71
am,be,VBP,70
annual,annual,NNP,70
envelope,envelope,NN,69
most,most,RBS,69
needs,need,NNS,69
her,her,PRP$,69
first,first,JJ,69
young,young,JJ,69
she,she,PRP,68
activities,activity,NNS,68
possible,possible,JJ,68
support,support,VB,67
here,here,RB,67
director,director,NNP,66
fund,fund,NN,66
gifts,gift,NNS,66
where,where,WRB,65
herron,herron,NNP,65
as,as,RB,64
take,take,VB,64
two,two,CD,64
future,future,NN,64
iu,iu,NNP,64
irt,irt,NNP,64
tax,tax,NN,63
goodwill,goodwill,NNP,63
member,member,NN,63
public,public,JJ,62
goal,goal,NN,62
making,make,VBG,62
circle,circle,NNP,62
care,care,NN,62
lives,life,NNS,61
campaign,campaign,NNP,61
investment,investment,NN,61
such,such,JJ,61
assistance,assistance,NN,60
into,into,IN,60
part,part,NN,60
educational,educational,JJ,60
funds,fund,NNS,60
information,information,NN,60
dental,dental,JJ,60
business,business,NN,59
during,during,IN,59
good,good,JJ,58
enclosed,enclosed,JJ,58
best,best,JJS,58
had,have,VBD,58
opportunity,opportunity,NN,58
made,make,VBN,58
able,able,JJ,57
scholarship,scholarship,NN,56
no,no,DT,56
know,know,VBP,56
staff,staff,NN,56
give,give,VB,56
private,private,JJ,56
way,way,NNP,56
like,like,VB,55
see,see,VB,55
join,join,VB,55
job,job,NN,54
keep,keep,VB,54
skills,skill,NNS,54
world,world,NN,54
being,be,VBG,54
few,few,JJ,53
development,development,NN,53
class,class,NN,53
mission,mission,NN,52
home,home,NN,52
president,president,NNP,52
dean,dean,NNP,52
out,out,RP,51
pledge,pledge,NN,51
still,still,RB,51
scholarships,scholarship,NNS,51
become,become,VB,50
schools,school,NNS,50
quality,quality,NN,50
art,art,NN,50
need,need,NN,49
find,find,VB,49
money,money,NN,49
could,could,MD,49
place,place,NN,48
helping,help,VBG,48
difference,difference,NN,48
child,child,NN,48
professional,professional,JJ,48
association,association,NNP,48
success,success,NN,47
receive,receive,VB,47
girls,girl,NNS,46
chancellor,chancellor,NNP,46
service,service,NN,46
season,season,NN,46
benefits,benefit,NNS,45
why,why,WRB,45
great,great,JJ,45
commitment,commitment,NN,45
opportunities,opportunity,NNS,45
without,without,IN,44
donation,donation,NN,44
providing,provide,VBG,44
three,three,CD,44
december,december,NNP,43
positive,positive,JJ,43
own,own,JJ,43
number,number,NN,43
individuals,individual,NNS,43
provides,provide,VBZ,43
adults,adult,NNS,43
dentistry,dentistry,NNP,42
generosity,generosity,NN,42
city,city,NN,42
including,include,VBG,42
others,others,NNS,42
efforts,effort,NNS,42
significant,significant,JJ,42
november,november,NNP,41
day,day,NN,41
country,country,NN,41
kids,kid,NNS,41
after,after,IN,41
organization,organization,NN,41
free,free,JJ,41
experience,experience,NN,41
call,call,VB,41
helps,help,VBZ,40
send,send,VB,40
up,up,RP,40
past,past,JJ,40
both,both,DT,40
know,know,VB,40
again,again,RB,40
alumni,alumnus,NNP,40
theatre,theatre,NN,40
him,him,PRP,39
get,get,VB,39
program,program,NNP,39
central,central,JJ,39
foundation,foundation,NNP,39
areas,area,NNS,39
ymca,ymca,NNP,39
health,health,NN,39
national,national,NNP,39
must,must,MD,39
since,since,IN,38
group,group,NN,38
ways,way,NNS,38
let,let,VB,38
together,together,RB,38
art,art,NNP,38
used,use,VBN,37
check,check,NN,37
directly,directly,RB,37
summer,summer,NN,37
questions,question,NNS,37
however,however,RB,37
generous,generous,JJ,37
resources,resource,NNS,37
high,high,JJ,37
participation,participation,NN,37
hope,hope,NN,37
before,before,IN,36
available,available,JJ,36
same,same,JJ,36
nation,nation,NN,36
another,another,DT,36
next,next,JJ,36
much,much,JJ,36
proud,proud,JJ,36
go,go,VB,36
club,club,NNP,36
level,level,NN,36
outstanding,outstanding,JJ,36
development,development,NNP,35
scholarship,scholarship,NNP,35
share,share,NN,35
central,central,NNP,35
giving,give,VBG,35
theatre,theatre,NNP,35
while,while,IN,34
already,already,RB,34
received,receive,VBD,34
board,board,NNP,34
name,name,NNP,34
heart,heart,NN,34
leaders,leader,NNS,34
sure,sure,JJ,34
million,million,CD,34
organizations,organization,NNS,34
campus,campus,NN,34
continues,continue,VBZ,34
made,make,VBD,34
american,american,JJ,34
funding,funding,NN,34
arts,art,NNS,34
ima,ima,NNP,34
civic,civic,NNP,34
most,most,JJS,33
form,form,NN,33
throughout,throughout,IN,33
thanks,thanks,NNS,33
person,person,NN,33
second,second,JJ,33
area,area,NN,33
century,century,NNP,33
ever,ever,RB,33
times,time,NNS,33
legal,legal,JJ,33
classes,class,NNS,32
believe,believe,VBP,32
women,woman,NNS,32
toward,toward,IN,32
volunteers,volunteer,NNS,32
local,local,JJ,32
costs,cost,NNS,32
may,may,NNP,32
strong,strong,JJ,32
needed,need,VBN,32
leadership,leadership,NN,32
events,event,NNS,32
history,history,NN,32
international,international,NNP,32
additional,additional,JJ,31
friend,friend,NN,31
dollars,dollar,NNS,31
did,do,VBD,31
much,much,RB,31
current,current,JJ,31
major,major,JJ,31
should,should,MD,31
having,have,VBG,31
cancer,cancer,NN,31
law,law,NNP,31
animals,animal,NNS,31
return,return,VB,30
society,society,NN,30
role,role,NN,30
working,work,VBG,30
june,june,NNP,30
too,too,RB,30
might,might,MD,30
scout,scout,NNP,30
graduates,graduate,NNS,30
july,july,NNP,30
dental,dental,NNP,30
interest,interest,NN,30
tuition,tuition,NN,30
museum,museum,NNP,30
meet,meet,VB,29
develop,develop,VB,29
all,all,PDT,29
feel,feel,VB,29
want,want,VBP,29
full,full,JJ,29
growth,growth,NN,29
among,among,IN,29
better,good,JJR,29
return,return,NN,29
training,training,NN,29
continue,continue,VBP,29
maennerchor,maennerchor,NNP,29
pay,pay,VB,28
chairman,chairman,NNP,28
makes,make,VBZ,28
things,thing,NNS,28
never,never,RB,28
department,department,NNP,28
donors,donor,NNS,28
graduate,graduate,NN,28
forward,forward,RB,28
holiday,holiday,NN,28
health,health,NNP,28
excellence,excellence,NN,28
october,october,NNP,28
natural,natural,JJ,28
artists,artist,NNS,28
zoo,zoo,NNP,28
letter,letter,NN,27
asking,ask,VBG,27
around,around,IN,27
event,event,NN,27
supporting,support,VBG,27
amount,amount,NN,27
thousands,thousand,NNS,27
partnership,partnership,NN,27
yours,yours,NNS,27
serve,serve,VB,27
audubon,audubon,NNP,27
inner,inner,NNP,27
neighborhood,neighborhood,NN,26
tell,tell,VB,26
council,council,NNP,26
raise,raise,VB,26
addition,addition,NN,26
thank,thank,VB,26
participate,participate,VB,26
john,john,NNP,26
happy,happy,JJ,26
august,august,NNP,26
look,look,VBP,26
greatly,greatly,RB,26
reach,reach,VB,26
successful,successful,JJ,26
awards,award,NNS,26
so,so,IN,26
continued,continued,JJ,26
personal,personal,JJ,26
executive,executive,NNP,26
make,make,VBP,26
benefit,benefit,VB,25
ago,ago,RB,25
campaign,campaign,NN,25
budget,budget,NN,25
recent,recent,JJ,25
state,state,NNP,25
national,national,JJ,25
brochure,brochure,NN,25
projects,project,NNS,25
writing,write,VBG,25
committee,committee,NNP,25
friends,friend,NNP,25
entire,entire,JJ,25
museum,museum,NN,25
spea,spea,NNP,25
under,under,IN,24
payable,payable,JJ,24
helped,help,VBD,24
five,five,CD,24
back,back,RB,24
long,long,JJ,24
army,army,NNP,24
does,do,VBZ,24
chance,chance,NN,24
march,march,NNP,24
means,mean,VBZ,24
april,april,NNP,24
william,william,NNP,24
september,september,NNP,24
course,course,NN,24
enjoy,enjoy,VB,24
endowment,endowment,NNP,24
disabled,disabled,JJ,24
award,award,NN,23
given,give,VBN,23
value,value,NN,23
hard,hard,JJ,23
impact,impact,NN,23
use,use,VB,23
along,along,IN,23
provided,provide,VBN,23
use,use,NN,23
convenience,convenience,NN,23
big,big,JJ,23
mother,mother,NN,23
right,right,RB,23
exciting,exciting,JJ,23
goals,goal,NNS,23
academic,academic,JJ,23
essential,essential,JJ,23
several,several,JJ,23
wanda,wanda,NNP,23
doing,do,VBG,22
received,receive,VBN,22
help,help,VBP,22
story,story,NN,22
save,save,VB,22
list,list,NN,22
increasing,increase,VBG,22
small,small,JJ,22
then,then,RB,22
county,county,NNP,22
learning,learn,VBG,22
environment,environment,NN,22
issues,issue,NNS,22
relationships,relationship,NNS,22
wonderful,wonderful,JJ,22
donations,donation,NNS,22
tradition,tradition,NN,22
exhibitions,exhibition,NNS,22
collection,collection,NN,22
miyares,miyares,NNP,22
project,project,NN,21
annually,annually,RB,21
ask,ask,VB,21
problems,problem,NNS,21
parents,parent,NNS,21
results,result,NNS,21
real,real,JJ,21
camp,camp,NNP,21
love,love,NN,21
helped,help,VBN,21
attend,attend,VB,21
university,university,NN,21
out,out,IN,21
far,far,RB,21
old,old,JJ,21
future,future,JJ,21
higher,high,JJR,21
per,per,IN,21
new,new,NNP,21
corporate,corporate,JJ,21
company,company,NN,21
lilly,lilly,NNP,21
critical,critical,JJ,21
materials,material,NNS,21
joining,join,VBG,21
library,library,NN,21
endowment,endowment,NN,21
teachers,teacher,NNS,21
changing,change,VBG,20
once,once,RB,20
across,across,IN,20
little,little,JJ,20
camp,camp,NN,20
begin,begin,VB,20
approximately,approximately,RB,20
vital,vital,JJ,20
come,come,VB,20
beautiful,beautiful,JJ,20
america,america,NNP,20
cultural,cultural,JJ,20
nearly,nearly,RB,20
career,career,NN,20
honor,honor,NN,20
social,social,NNP,20
indy,indy,NNP,20
deductible,deductible,JJ,20
building,building,NN,20
baby,baby,NN,20
social,social,JJ,20
appreciated,appreciate,VBN,20
chair,chair,NNP,20
always,always,RB,20
increase,increase,VB,20
maintain,maintain,VB,20
facilities,facility,NNS,20
jameson,jameson,NNP,20
mccoy,mccoy,NNP,20
in,in,NNP,19
grateful,grateful,JJ,19
welfare,welfare,NN,19
disabilities,disability,NNS,19
recently,recently,RB,19
lot,lot,NN,19
change,change,VB,19
perhaps,perhaps,RB,19
operating,operating,NN,19
homes,home,NNS,19
continuing,continue,VBG,19
advance,advance,NN,19
challenges,challenge,NNS,19
credit,credit,NN,19
renew,renew,VB,19
environmental,environmental,JJ,19
remember,remember,VB,19
dollar,dollar,NN,19
fall,fall,NN,19
practice,practice,NN,19
agencies,agency,NNS,19
necessary,necessary,JJ,19
between,between,IN,19
assist,assist,VB,19
healthy,healthy,JJ,19
study,study,NN,19
everyone,everyone,NN,19
visitors,visitor,NNS,19
medicine,medicine,NNP,19
provide,provide,VBP,19
percent,percent,NN,19
soon,soon,RB,19
gallery,gallery,NNP,19
run,run,NNP,19
send,send,NNP,19
aware,aware,JJ,18
memorial,memorial,NNP,18
jobs,job,NNS,18
difficult,difficult,JJ,18
yourself,yourself,PRP,18
four,four,CD,18
work,work,VB,18
salvation,salvation,NNP,18
dear,dear,IN,18
sense,sense,NN,18
week,week,NN,18
sending,send,VBG,18
different,different,JJ,18
growing,grow,VBG,18
scouting,scouting,NNP,18
community,community,NNP,18
residents,resident,NNS,18
until,until,IN,18
example,example,NN,18
developing,develop,VBG,18
field,field,NN,18
need,need,VB,18
past,past,NN,18
physical,physical,JJ,18
there,there,RB,18
consideration,consideration,NN,18
changes,change,NNS,18
age,age,NN,18
communities,community,NNS,18
partner,partner,NN,18
hoosier,hoosier,NNP,18
office,office,NN,18
individual,individual,JJ,18
states,state,NNPS,18
children,child,NNP,18
rate,rate,NN,18
cost,cost,NN,18
facility,facility,NN,18
cathedral,cathedral,NNP,18
importance,importance,NN,18
philanthropy,philanthropy,NN,18
actors,actor,NNS,18
library,library,NNP,18
reads,read,NNP,18
highest,high,JJS,17
response,response,NN,17
food,food,NN,17
scouts,scout,NNP,17
learn,learn,VB,17
contribute,contribute,VB,17
spring,spring,NN,17
whose,whose,WP$,17
management,management,NN,17
computer,computer,NN,17
medical,medical,JJ,17
appreciation,appreciation,NN,17
ensure,ensure,VB,17
up,up,RB,17
build,build,VB,17
