word,lemma,pos,freq
the,the,DT,23701
of,of,IN,13460
and,and,CC,9782
to,to,TO,8352
in,in,IN,8042
is,be,VBZ,4239
for,for,IN,2779
as,a,IN,2498
that,that,IN,2351
with,with,IN,2234
are,be,VBP,2020
it,it,PRP,1916
on,on,IN,1915
by,by,IN,1788
or,or,CC,1769
be,be,VB,1767
that,that,WDT,1523
this,this,DT,1518
from,from,IN,1509
an,an,DT,1441
not,not,RB,1417
at,at,IN,1284
can,can,MD,1262
was,be,VBD,1212
we,we,PRP,1201
their,their,PRP$,1143
but,but,CC,1097
they,they,PRP,1083
one,one,CD,907
children,child,NNS,905
have,have,VBP,875
which,which,WDT,813
has,have,VBZ,733
if,if,IN,721
all,all,DT,712
these,these,DT,696
its,it,PRP$,674
other,other,JJ,654
into,into,IN,650
were,be,VBD,625
such,such,JJ,619
will,will,MD,594
who,who,WP,591
about,about,IN,591
his,his,PRP$,583
would,would,MD,568
than,than,IN,563
there,there,EX,563
time,time,NN,558
when,when,WRB,545
new,new,JJ,538
more,more,RBR,533
many,many,JJ,529
he,he,PRP,529
also,also,RB,522
our,our,PRP$,509
child,child,NN,500
some,some,DT,497
that,that,DT,480
work,work,NN,446
what,what,WP,433
each,each,DT,430
system,system,NN,426
had,have,VBD,424
two,two,CD,421
then,then,RB,412
may,may,MD,409
more,more,JJR,409
so,so,RB,388
have,have,VB,388
been,be,VBN,383
those,those,DT,373
how,how,WRB,371
no,no,DT,359
them,them,PRP,356
between,between,IN,351
same,same,JJ,351
parents,parent,NNS,349
possible,possible,JJ,345
her,her,PRP$,344
must,must,MD,339
could,could,MD,334
only,only,RB,332
because,because,IN,324
out,out,RP,323
state,state,NN,323
you,you,PRP,321
way,way,NN,317
years,year,NNS,317
play,play,NN,306
well,well,RB,304
any,any,DT,299
number,number,NN,299
apparel,apparel,NN,294
she,she,PRP,291
people,people,NNS,290
now,now,RB,289
life,life,NN,288
autonomous,autonomous,JJ,287
even,even,RB,286
law,law,NN,286
over,over,IN,282
might,might,MD,280
order,order,NN,278
through,through,IN,275
space,space,NN,273
like,like,IN,272
another,another,DT,271
do,do,VBP,268
up,up,RP,266
mexico,mexico,NNP,265
very,very,RB,263
demand,demand,NN,254
inventory,inventory,NN,254
as,as,RB,249
