word,lemma,pos,freq
and,and,CC,112601
the,the,DT,98953
you,you,PRP,87325
it,it,PRP,83564
to,to,TO,71845
of,of,IN,55557
they,they,PRP,43381
in,in,IN,40684
know,know,VBP,39255
that,that,DT,37012
yeah,yeah,NN,35826
that,that,IN,34744
we,we,PRP,33717
do,do,VBP,28955
but,but,CC,28811
was,be,VBD,28304
is,be,VBZ,25286
just,just,RB,22446
uh,uh,JJ,21563
uh,uh,NN,21244
so,so,RB,21088
well,well,RB,20820
like,like,IN,20166
for,for,IN,19738
have,have,VBP,19130
or,or,CC,17051
on,on,IN,17020
what,what,WP,16452
my,my,PRP$,16321
that,that,WDT,15501
really,really,RB,14885
not,not,RB,14515
think,think,VBP,14408
with,with,IN,14335
he,he,PRP,14250
be,be,VB,13923
are,be,VBP,13605
there,there,EX,13071
if,if,IN,13014
this,this,DT,12592
have,have,VB,11818
one,one,CD,11760
about,about,IN,11739
had,have,VBD,11400
because,because,IN,11387
at,at,IN,11026
um,um,JJ,10627
them,them,PRP,10454
would,would,MD,10342
do,do,VB,10285
when,when,WRB,10030
did,do,VBD,9422
lot,lot,NN,9211
some,some,DT,9016
then,then,RB,8982
people,people,NNS,8900
she,she,PRP,8705
all,all,DT,8577
can,can,MD,8509
oh,oh,UH,8145
get,get,VB,8072
know,know,VB,7973
good,good,JJ,7927
now,now,RB,7880
kind,kind,NN,7862
no,no,DT,7783
right,right,NN,7680
going,go,VBG,7644
up,up,RP,7545
were,be,VBD,7443
time,time,NN,7395
as,a,IN,7154
me,me,PRP,7124
mean,mean,VBP,7077
out,out,RP,6797
from,from,IN,6606
things,thing,NNS,6578
so,so,IN,6501
um,um,NN,6476
go,go,VB,6380
your,your,PRP$,6368
been,be,VBN,6339
how,how,WRB,6290
too,too,RB,6247
something,something,NN,6063
got,get,VBD,5940
there,there,RB,5807
where,where,WRB,5734
uh,uh,IN,5687
here,here,RB,5631
little,little,JJ,5513
an,an,DT,5324
very,very,RB,5298
uh,uh,VB,5229
thing,thing,NN,5210
our,our,PRP$,5077
could,could,MD,5033
their,their,PRP$,4943
other,other,JJ,4843
right,right,RB,4717
two,two,CD,4478
years,year,NNS,4351
think,think,VB,4331
see,see,VB,4293
has,have,VBZ,4219
much,much,JJ,4194
oh,oh,NN,4187
even,even,RB,4149
any,any,DT,4119
does,do,VBZ,4112
way,way,NN,4086
guess,guess,NN,4080
those,those,DT,4058
right,right,JJ,4021
probably,probably,RB,3999
yeah,yeah,RB,3946
uh,uh,VBP,3910
out,out,IN,3842
who,who,WP,3829
more,more,JJR,3713
all,all,PDT,3598
into,into,IN,3589
than,than,IN,3578
real,real,JJ,3574
year,year,NN,3557
said,say,VBD,3515
get,get,VBP,3356
uh,uh,UH,3306
back,back,RB,3236
school,school,NN,3199
home,home,NN,3141
went,go,VBD,3138
never,never,RB,3102
by,by,IN,3060
kids,kid,NNS,3049
which,which,WDT,3019
ca,ca,MD,2974
okay,okay,NN,2963
as,as,RB,2925
pretty,pretty,RB,2918
always,always,RB,2905
him,him,PRP,2849
her,her,PRP$,2844
stuff,stuff,NN,2834
these,these,DT,2805
big,big,JJ,2786
more,more,RBR,2779
anything,anything,NN,2759
doing,do,VBG,2733
left,leave,VBD,2732
take,take,VB,2701
over,over,IN,2699
actually,actually,RB,2676
three,three,CD,2669
money,money,NN,2638
sure,sure,JJ,2619
oh,oh,IN,2601
still,still,RB,2591
yes,yes,NNS,2584
his,his,PRP$,2573
day,day,NN,2547
go,go,VBP,2491
maybe,maybe,RB,2471
resource,resource,NN,2424
intentionally,intentionally,RB,2416
blank,blank,JJ,2414
fork,fork,NN,2401
os,o,NNP,2400
doubao,doubao,NNP,2400
nice,nice,JJ,2394
us,u,PRP,2372
five,five,CD,2344
should,should,MD,2327
make,make,VB,2325
every,every,DT,2317
work,work,NN,2304
will,will,MD,2286
everything,everything,NN,2268
many,many,JJ,2252
different,different,JJ,2245
say,say,VB,2239
getting,get,VBG,2221
last,last,JJ,2176
course,course,NN,2171
house,house,NN,2153
true,true,JJ,2152
car,car,NN,2149
also,also,RB,2116
same,same,JJ,2114
old,old,JJ,2112
down,down,RP,2111
got,get,VBN,2109
want,want,VBP,2106
bit,bit,NN,2076
family,family,NN,2008
sort,sort,NN,1993
children,child,NNS,1986
done,do,VBN,1986
through,through,IN,1980
great,great,JJ,1979
around,around,IN,1959
being,be,VBG,1947
problem,problem,NN,1919
see,see,VBP,1882
like,like,VB,1878
ever,ever,RB,1859
before,before,IN,1857
say,say,VBP,1853
four,four,CD,1841
only,only,RB,1768
why,why,WRB,1766
up,up,RB,1746
seems,seem,VBZ,1744
though,though,IN,1725
another,another,DT,1722
work,work,VB,1684
whole,whole,JJ,1678
bad,bad,JJ,1678
talking,talk,VBG,1677
much,much,RB,1638
off,off,RP,1634
trying,try,VBG,1623
care,care,NN,1610
first,first,JJ,1609
far,far,RB,1596
part,part,NN,1578
put,put,VB,1575
after,after,IN,1561
place,place,NN,1549
area,area,NN,1529
most,most,JJS,1518
hard,hard,JJ,1508
huh,huh,NN,1499
want,want,VB,1487
having,have,VBG,1466
quite,quite,RB,1464
fact,fact,NN,1450
new,new,JJ,1450
down,down,RB,1437
else,else,RB,1409
texas,texas,NNP,1406
uh,uh,RB,1405
need,need,VBP,1398
yeah,yeah,UH,1396
somebody,somebody,NN,1385
usually,usually,RB,1384
husband,husband,NN,1380
uh,uh,NNS,1377
dollars,dollar,NNS,1368
used,use,VBN,1340
couple,couple,NN,1329
few,few,JJ,1327
high,high,JJ,1323
might,might,MD,1312
came,come,VBD,1308
again,again,RB,1295
come,come,VB,1290
long,long,JJ,1290
thought,think,VBD,1288
own,own,JJ,1288
seen,see,VBN,1279
oh,oh,RB,1276
person,person,NN,1270
whatever,whatever,WDT,1267
let,let,VB,1266
yeah,yeah,NNS,1261
exactly,exactly,RB,1260
six,six,CD,1257
life,life,NN,1249
one,one,NN,1244
times,time,NNS,1244
everybody,everybody,NN,1234
guess,guess,VBP,1233
once,once,RB,1233
tell,tell,VB,1231
job,job,NN,1225
able,able,JJ,1219
pay,pay,VB,1216
sometimes,sometimes,RB,1211
college,college,NN,1210
week,week,NN,1201
country,country,NN,1201
um,um,IN,1198
find,find,VB,1175
uh,uh,VBZ,1168
point,point,NN,1165
since,since,IN,1164
away,away,RB,1163
na,na,TO,1158
least,least,JJS,1154
dallas,dallas,NNP,1154
keep,keep,VB,1152
type,type,NN,1138
interesting,interesting,JJ,1134
yeah,yeah,VB,1128
both,both,DT,1122
working,work,VBG,1121
anyway,anyway,RB,1119
took,take,VBD,1116
system,system,NN,1079
almost,almost,RB,1077
ones,one,NNS,1074
only,only,JJ,1071
someone,someone,NN,1069
ago,ago,RB,1059
night,night,NN,1050
used,use,VBD,1049
am,be,VBP,1040
days,day,NNS,1026
remember,remember,VB,1025
better,good,JJR,1025
use,use,VB,1021
news,news,NN,1017
started,start,VBD,1012
oh,oh,JJ,1011
goes,go,VBZ,1010
parents,parent,NNS,998
looking,look,VBG,991
watch,watch,VB,987
wife,wife,NN,981
next,next,JJ,977
gets,get,VBZ,975
may,may,MD,974
wanted,want,VBD,971
feel,feel,VBP,968
state,state,NN,965
saying,say,VBG,957
live,live,VBP,952
company,company,NN,949
give,give,VB,948
yet,yet,RB,942
guy,guy,NN,936
long,long,RB,936
until,until,IN,935
makes,make,VBZ,920
buy,buy,VB,920
fun,fun,NN,918
especially,especially,RB,917
feel,feel,VB,914
whether,whether,IN,909
enough,enough,RB,894
idea,idea,NN,893
try,try,VB,887
problems,problem,NNS,883
hm,hm,NN,881
small,small,JJ,881
gone,go,VBN,878
read,read,VB,877
had,have,VBN,875
child,child,NN,875
up,up,IN,875
pretty,pretty,JJ,871
government,government,NN,871
eight,eight,CD,871
mother,mother,NN,868
look,look,VB,864
while,while,NN,864
yes,yes,RB,861
off,off,IN,857
movie,movie,NN,853
coming,come,VBG,839
tv,tv,NN,833
together,together,RB,827
most,most,RBS,820
each,each,DT,819
credit,credit,NN,813
basically,basically,RB,810
comes,come,VBZ,810
about,about,RB,803
women,woman,NNS,803
um,um,VB,801
paper,paper,NN,799
heard,hear,VBN,798
wow,wow,NN,798
new,new,NNP,796
month,month,NN,796
saw,saw,VBD,793
start,start,VB,793
myself,myself,PRP,791
um,um,VBP,779
sure,sure,NN,776
put,put,VBD,774
definitely,definitely,RB,772
best,best,JJS,770
her,her,PRP,769
take,take,VBP,767
name,name,NN,764
okay,okay,RB,760
certain,certain,JJ,759
talk,talk,VB,755
like,like,VBP,752
tax,tax,NN,750
made,make,VBD,748
seven,seven,CD,745
music,music,NN,745
nothing,nothing,NN,743
places,place,NNS,741
yes,yes,UH,738
play,play,VB,736
hundred,hundred,CD,731
friends,friend,NNS,730
cars,car,NNS,724
wonderful,wonderful,JJ,723
food,food,NN,721
such,such,JJ,720
called,call,VBN,720
number,number,NN,720
bought,buy,VBD,719
come,come,VBP,718
months,month,NNS,716
certainly,certainly,RB,712
well,well,NN,711
water,water,NN,711
dog,dog,NN,704
reason,reason,NN,701
world,world,NN,701
sounds,sound,VBZ,700
like,like,JJ,696
young,young,JJ,693
thinking,think,VBG,680
story,story,NN,675
summer,summer,NN,673
taking,take,VBG,672
important,important,JJ,671
supposed,suppose,VBN,670
during,during,IN,669
side,side,NN,667
business,business,NN,666
remember,remember,VBP,666
ti,ti,NNP,661
hum,hum,NN,661
look,look,VBP,658
agree,agree,VBP,657
today,today,NN,657
crime,crime,NN,656
taxes,tax,NNS,655
situation,situation,NN,652
program,program,NN,648
town,town,NN,647
paying,pay,VBG,646
use,use,VBP,642
end,end,NN,636
city,city,NN,634
schools,school,NNS,634
rather,rather,RB,632
funny,funny,JJ,631
gon,gon,VBG,629
older,old,JJR,626
man,man,NN,623
first,first,RB,623
um,um,RB,620
let,let,NN,615
make,make,VBP,614
made,make,VBN,613
boy,boy,NN,610
says,say,VBZ,610
percent,percent,NN,608
son,son,NN,606
absolutely,absolutely,RB,605
several,several,JJ,605
between,between,IN,604
drug,drug,NN,604
stay,stay,VB,602
spend,spend,VB,598
book,book,NN,597
computer,computer,NN,593
help,help,VB,592
wo,wo,MD,591
easy,easy,JJ,590
making,make,VBG,588
yeah,yeah,VBP,588
either,either,CC,587
insurance,insurance,NN,586
thought,think,VBN,586
room,room,NN,584
friend,friend,NN,582
favorite,favorite,JJ,581
around,around,RB,581
matter,matter,NN,580
lived,live,VBD,573
although,although,IN,568
miles,mile,NNS,568
age,age,NN,567
weeks,week,NNS,565
okay,okay,JJ,564
yep,yep,NN,563
anybody,anybody,NN,563
daughter,daughter,NN,560
books,book,NNS,558
jury,jury,NN,558
stories,story,NNS,557
health,health,NN,557
nine,nine,CD,554
half,half,NN,550
live,live,VB,548
major,major,JJ,545
under,under,IN,545
