word,lemma,pos,freq
the,the,DT,88291
of,of,IN,39304
and,and,CC,33067
in,in,IN,20917
to,to,TO,20485
is,be,VBZ,13519
for,for,IN,8336
on,on,IN,7885
with,with,IN,7334
from,from,IN,7060
are,be,VBP,6479
by,by,IN,6191
it,it,PRP,5921
you,you,PRP,5902
at,at,IN,5775
as,a,IN,5365
was,be,VBD,5170
its,it,PRP$,4082
an,an,DT,3746
but,but,CC,3340
or,or,CC,3219
this,this,DT,3205
has,have,VBZ,2936
be,be,VB,2771
can,can,MD,2678
which,which,WDT,2629
one,one,CD,2531
their,their,PRP$,2307
city,city,NN,2205
that,that,WDT,2025
here,here,RB,2002
were,be,VBD,1972
also,also,RB,1964
his,his,PRP$,1916
there,there,EX,1831
town,town,NN,1812
that,that,IN,1783
where,where,WRB,1696
many,many,JJ,1675
they,they,PRP,1613
some,some,DT,1598
have,have,VBP,1580
most,most,RBS,1556
not,not,RB,1546
into,into,IN,1518
all,all,DT,1424
other,other,JJ,1396
than,than,IN,1361
been,be,VBN,1354
century,century,NN,1348
see,see,VB,1333
who,who,WP,1329
when,when,WRB,1307
will,will,MD,1257
two,two,CD,1239
around,around,IN,1235
over,over,IN,1224
island,island,NN,1217
along,along,IN,1215
de,de,FW,1206
small,small,JJ,1184
after,after,IN,1179
still,still,RB,1177
now,now,RB,1138
only,only,RB,1121
just,just,RB,1110
most,most,JJS,1101
if,if,IN,1099
years,year,NNS,1088
through,through,IN,1086
your,your,PRP$,1080
miles,mile,NNS,1066
more,more,RBR,1065
built,build,VBN,1050
old,old,JJ,1021
place,place,NN,969
up,up,RP,966
area,area,NN,955
he,he,PRP,937
first,first,JJ,925
more,more,JJR,913
during,during,IN,911
had,have,VBD,905
out,out,RP,904
these,these,DT,899
new,new,JJ,884
time,time,NN,863
main,main,JJ,851
known,know,VBN,844
world,world,NN,843
center,center,NN,843
great,great,JJ,829
ll,ll,JJ,822
well,well,RB,808
even,even,RB,807
road,road,NN,800
church,church,NN,798
take,take,VB,785
as,as,RB,784
museum,museum,NN,782
good,good,JJ,764
across,across,IN,759
coast,coast,NN,755
