USAS 语义域标注准确度详细报告
================================================================================

一、语义域频率对比 (标准化后)
--------------------------------------------------------------------------------
A1.1.1	1032	2339	1307	126.6%
A1.1.1%	0	8	8	inf%
A1.1.1@	0	3	3	inf%
A1.1.2	15	25	10	66.7%
A1.2	2	9	7	350.0%
A1.2+	12	19	7	58.3%
A1.2-	2	2	0	0.0%
A1.3+	4	4	0	0.0%
A1.3-	3	3	0	0.0%
A1.4	108	110	2	1.9%
A1.4+	5	5	0	0.0%
A1.5.1	145	190	45	31.0%
A1.5.2	1	1	0	0.0%
A1.5.2+	19	81	62	326.3%
A1.5.2-	1	1	0	0.0%
A1.6	13	28	15	115.4%
A1.7+	54	117	63	116.7%
A1.7-	43	41	-2	-4.7%
A1.8+	181	360	179	98.9%
A1.8-	3	6	3	100.0%
A1.9	8	9	1	12.5%
A10+	154	187	33	21.4%
A10+@	0	1	1	inf%
A10-	46	76	30	65.2%
A11.1+	348	525	177	50.9%
A11.1++	2	13	11	550.0%
A11.1+++	14	34	20	142.9%
A11.1-	10	23	13	130.0%
A11.1--	0	1	1	inf%
A11.2+	7	2	-5	-71.4%
A12+	38	47	9	23.7%
A12++	5	3	-2	-40.0%
A12+++	8	12	4	50.0%
A12++++++	6	0	-6	-100.0%
A12-	156	179	23	14.7%
A12---	0	2	2	inf%
A13	14	20	6	42.9%
A13.1	18	20	2	11.1%
A13.2	89	147	58	65.2%
A13.3	265	722	457	172.5%
A13.4	70	72	2	2.9%
A13.5	3	13	10	333.3%
A13.6	4	2	-2	-50.0%
A13.7	0	2	2	inf%
A14	73	79	6	8.2%
A15	3	2	-1	-33.3%
A15+	15	110	95	633.3%
A15++	5	5	0	0.0%
A15-	25	32	7	28.0%
A2.1	0	661	661	inf%
A2.1+	663	909	246	37.1%
A2.1-	43	58	15	34.9%
A2.2	433	554	121	27.9%
A2.2-	1	1	0	0.0%
A3	3	18	15	500.0%
A3+	685	1197	512	74.7%
A4.1	84	558	474	564.3%
A4.2+	50	188	138	276.0%
A4.2++	0	2	2	inf%
A4.2-	8	32	24	300.0%
A4.2--	19	26	7	36.8%
A4.2---	0	1	1	inf%
A5	0	17	17	inf%
A5.1	111	156	45	40.5%
A5.1+	349	470	121	34.7%
A5.1+%	0	1	1	inf%
A5.1++	188	187	-1	-0.5%
A5.1+++	99	175	76	76.8%
A5.1++++++	10	0	-10	-100.0%
A5.1-	6	67	61	1016.7%
A5.1--	0	1	1	inf%
A5.1---	7	9	2	28.6%
A5.2+	60	88	28	46.7%
A5.2-	5	13	8	160.0%
A5.3	0	2	2	inf%
A5.3+	29	53	24	82.8%
A5.3-	6	5	-1	-16.7%
A5.4+	34	830	796	2341.2%
A5.4-	14	61	47	335.7%
A6	6	6	0	0.0%
A6.1	1	1	0	0.0%
A6.1+	136	151	15	11.0%
A6.1+++	8	17	9	112.5%
A6.1-	120	149	29	24.2%
A6.2+	94	138	44	46.8%
A6.2-	24	28	4	16.7%
A6.3+	67	110	43	64.2%
A7	2	2	0	0.0%
A7+	361	517	156	43.2%
A7+++	15	3	-12	-80.0%
A7-	33	78	45	136.4%
A7---	0	1	1	inf%
A8	4	49	45	1125.0%
A8+	4	0	-4	-100.0%
A9	7	5	-2	-28.6%
A9+	528	1103	575	108.9%
A9-	312	348	36	11.5%
B1	84	51	-33	-39.3%
B2	9	8	-1	-11.1%
B2+	23	2	-21	-91.3%
B2-	20	21	1	5.0%
B3	42	59	17	40.5%
B4	5	0	-5	-100.0%
B5	13	9	-4	-30.8%
C1	35	30	-5	-14.3%
D	0	174	174	inf%
Df	0	56	56	inf%
Df+++	0	15	15	inf%
E1	4	6	2	50.0%
E2	1	1	0	0.0%
E2+	55	31	-24	-43.6%
E2++	5	4	-1	-20.0%
E2+++	1	1	0	0.0%
E2-	5	1	-4	-80.0%
E3+	18	11	-7	-38.9%
E3-	24	22	-2	-8.3%
E4.1+	2	2	0	0.0%
E4.1-	2	1	-1	-50.0%
E4.2+	18	13	-5	-27.8%
E5+	14	13	-1	-7.1%
E5-	3	3	0	0.0%
E6+	63	31	-32	-50.8%
E6-	8	6	-2	-25.0%
F1	16	4	-12	-75.0%
F1-	0	1	1	inf%
F2	3	4	1	33.3%
F4	54	16	-38	-70.4%
G1.1	155	149	-6	-3.9%
G1.1-	2	2	0	0.0%
G1.2	30	25	-5	-16.7%
G2.1	128	33	-95	-74.2%
G2.1-	1	1	0	0.0%
G2.2	15	11	-4	-26.7%
G2.2+	23	17	-6	-26.1%
G2.2-	2	1	-1	-50.0%
G3	54	47	-7	-13.0%
H1	235	92	-143	-60.9%
H2	18	24	6	33.3%
H3	0	3	3	inf%
H4	57	31	-26	-45.6%
H5	4	4	0	0.0%
I1	89	81	-8	-9.0%
I1.1	179	134	-45	-25.1%
I1.1+	29	14	-15	-51.7%
I1.1+++	5	1	-4	-80.0%
I1.1-	5	0	-5	-100.0%
I1.2	11	5	-6	-54.5%
I1.2+	1	0	-1	-100.0%
I1.3	26	23	-3	-11.5%
I1.3+	12	1	-11	-91.7%
I1.3-	33	35	2	6.1%
I1.3--	1	1	0	0.0%
I2	6	0	-6	-100.0%
I2.1	704	364	-340	-48.3%
I2.2	545	554	9	1.7%
I3.1	320	121	-199	-62.2%
I3.1-	3	1	-2	-66.7%
I3.2	2	1	-1	-50.0%
I3.2+	14	1	-13	-92.9%
I4	378	311	-67	-17.7%
K1	26	14	-12	-46.2%
K2	12	22	10	83.3%
K3	2	0	-2	-100.0%
K4	58	30	-28	-48.3%
K5	1	0	-1	-100.0%
K5.1	61	52	-9	-14.8%
K5.2	1	1	0	0.0%
K6	5	4	-1	-20.0%
L1	3	1	-2	-66.7%
L1+	42	5	-37	-88.1%
L1-	11	3	-8	-72.7%
L2	30	57	27	90.0%
L3	33	25	-8	-24.2%
M1	428	104	-324	-75.7%
M2	414	161	-253	-61.1%
M3	341	222	-119	-34.9%
M4	63	61	-2	-3.2%
M5	11	9	-2	-18.2%
M6	668	643	-25	-3.7%
M7	364	202	-162	-44.5%
M8	35	30	-5	-14.3%
N1	668	967	299	44.8%
N2	9	7	-2	-22.2%
N3	2	2	0	0.0%
N3.1	15	11	-4	-26.7%
N3.2	26	13	-13	-50.0%
N3.2+	274	40	-234	-85.4%
N3.2++	10	1	-9	-90.0%
N3.2+++	23	19	-4	-17.4%
N3.2-	23	4	-19	-82.6%
N3.2--	1	0	-1	-100.0%
N3.3	41	6	-35	-85.4%
N3.3+	28	17	-11	-39.3%
N3.3-	2	1	-1	-50.0%
N3.3--	7	2	-5	-71.4%
N3.4	3	3	0	0.0%
N3.5	12	11	-1	-8.3%
N3.5+	2	0	-2	-100.0%
N3.6	8	4	-4	-50.0%
N3.7	33	13	-20	-60.6%
N3.7+	45	57	12	26.7%
N3.7++	12	1	-11	-91.7%
N3.7+++	2	0	-2	-100.0%
N3.7++++++	2	0	-2	-100.0%
N3.7-	8	3	-5	-62.5%
N3.7---	2	0	-2	-100.0%
N3.8	12	16	4	33.3%
N3.8+	130	135	5	3.8%
N3.8++	18	17	-1	-5.6%
N3.8+++	1	0	-1	-100.0%
N3.8-	5	0	-5	-100.0%
N4	170	132	-38	-22.4%
N5	167	114	-53	-31.7%
N5+	298	239	-59	-19.8%
N5++	428	208	-220	-51.4%
N5+++	25	1	-24	-96.0%
N5++++	12	0	-12	-100.0%
N5-	58	27	-31	-53.4%
N5--	7	3	-4	-57.1%
N5---	23	22	-1	-4.3%
N5.1	9	0	-9	-100.0%
N5.1+	415	403	-12	-2.9%
N5.1++	1	1	0	0.0%
N5.1+++	5	2	-3	-60.0%
N5.1-	39	34	-5	-12.8%
N5.2+	37	18	-19	-51.4%
N6	8	4	-4	-50.0%
N6+	72	77	5	6.9%
N6+++	21	21	0	0.0%
N6-	2	2	0	0.0%
O1	15	8	-7	-46.7%
O1.1	63	33	-30	-47.6%
O1.2	14	12	-2	-14.3%
O1.3	8	0	-8	-100.0%
O2	533	259	-274	-51.4%
O3	40	33	-7	-17.5%
O4.1	100	26	-74	-74.0%
O4.2	1	0	-1	-100.0%
O4.2+	84	76	-8	-9.5%
O4.2-	7	3	-4	-57.1%
O4.3	60	53	-7	-11.7%
O4.4	50	30	-20	-40.0%
O4.5	13	1	-12	-92.3%
O4.6	3	2	-1	-33.3%
O4.6+	15	6	-9	-60.0%
O4.6-	4	3	-1	-25.0%
P1	120	103	-17	-14.2%
Q1.1	52	37	-15	-28.8%
Q1.2	124	56	-68	-54.8%
Q1.3	106	83	-23	-21.7%
Q2.1	113	86	-27	-23.9%
Q2.2	181	127	-54	-29.8%
Q3	16	55	39	243.8%
Q4	23	18	-5	-21.7%
Q4.1	7	5	-2	-28.6%
Q4.2	8	3	-5	-62.5%
Q4.3	62	71	9	14.5%
S1.1.1	104	65	-39	-37.5%
S1.1.2+	104	101	-3	-2.9%
S1.1.3	1	0	-1	-100.0%
S1.1.3+	79	66	-13	-16.5%
S1.1.3+++	1	1	0	0.0%
S1.1.3-	4	0	-4	-100.0%
S1.1.4+	8	1	-7	-87.5%
S1.2	1	9	8	800.0%
S1.2.1+	14	6	-8	-57.1%
S1.2.1-	2	1	-1	-50.0%
S1.2.2+	1	1	0	0.0%
S1.2.3+	4	1	-3	-75.0%
S1.2.3+++	2	0	-2	-100.0%
S1.2.4+	35	26	-9	-25.7%
S1.2.5+	128	53	-75	-58.6%
S1.2.5++	4	0	-4	-100.0%
S1.2.5-	4	2	-2	-50.0%
S1.2.6+	5	5	0	0.0%
S2	216	849	633	293.1%
S2-	0	1	1	inf%
S2.1	1	1	0	0.0%
S2.2	17	16	-1	-5.9%
S3.1	211	168	-43	-20.4%
S3.2	22	0	-22	-100.0%
S4	19	9	-10	-52.6%
S5	0	1	1	inf%
S5+	736	658	-78	-10.6%
S5+++	1	0	-1	-100.0%
S5-	23	27	4	17.4%
S6+	354	186	-168	-47.5%
S6-	5	1	-4	-80.0%
S7.1	12	7	-5	-41.7%
S7.1+	584	395	-189	-32.4%
S7.1++	5	6	1	20.0%
S7.1-	25	11	-14	-56.0%
S7.1--	1	1	0	0.0%
S7.2+	17	9	-8	-47.1%
S7.3	2	2	0	0.0%
S7.3+	66	66	0	0.0%
S7.4	1	0	-1	-100.0%
S7.4+	77	39	-38	-49.4%
S8+	866	432	-434	-50.1%
S8-	40	24	-16	-40.0%
S9	31	10	-21	-67.7%
T1	55	57	2	3.6%
T1.1	22	4	-18	-81.8%
T1.1.1	232	125	-107	-46.1%
T1.1.2	219	119	-100	-45.7%
T1.1.3	651	656	5	0.8%
T1.2	51	26	-25	-49.0%
T1.3	179	1656	1477	825.1%
T1.3+	57	6	-51	-89.5%
T1.3++	5	4	-1	-20.0%
T1.3-	8	8	0	0.0%
T2+	182	118	-64	-35.2%
T2++	476	421	-55	-11.6%
T2+++	5	5	0	0.0%
T2-	37	10	-27	-73.0%
T3	125	14	-111	-88.8%
T3+	19	16	-3	-15.8%
T3-	384	369	-15	-3.9%
T3--	1	1	0	0.0%
T3---	4	4	0	0.0%
T4+	4	3	-1	-25.0%
T4-	2	1	-1	-50.0%
T4--	2	3	1	50.0%
TOTAL	60502	0	-60502	-100.0%
W1	272	21	-251	-92.3%
W2	7	3	-4	-57.1%
W3	233	76	-157	-67.4%
W4	148	135	-13	-8.8%
W5	171	161	-10	-5.8%
X1	6	6	0	0.0%
X2	10	9	-1	-10.0%
X2.1	107	64	-43	-40.2%
X2.1-	3	0	-3	-100.0%
X2.2	111	81	-30	-27.0%
X2.2+	240	96	-144	-60.0%
X2.2-	7	2	-5	-71.4%
X2.3+	8	8	0	0.0%
X2.4	83	53	-30	-36.1%
X2.4+	2	2	0	0.0%
X2.5+	32	23	-9	-28.1%
X2.6+	54	23	-31	-57.4%
X2.6-	3	2	-1	-33.3%
X3	5	2	-3	-60.0%
X3.1	3	3	0	0.0%
X3.2	16	7	-9	-56.2%
X3.2-	1	0	-1	-100.0%
X3.3	5	4	-1	-20.0%
X3.4	57	20	-37	-64.9%
X3.4-	6	5	-1	-16.7%
X4.1	160	72	-88	-55.0%
X4.2	333	275	-58	-17.4%
X5.1+	126	9	-117	-92.9%
X5.1-	4	3	-1	-25.0%
X5.2+	165	94	-71	-43.0%
X5.2-	0	1	1	inf%
X6	3	0	-3	-100.0%
X6+	27	23	-4	-14.8%
X6-	6	5	-1	-16.7%
X7	0	2	2	inf%
X7+	361	307	-54	-15.0%
X7-	3	2	-1	-33.3%
X8+	109	87	-22	-20.2%
X8-	2	0	-2	-100.0%
X9.1	1	1	0	0.0%
X9.1+	363	286	-77	-21.2%
X9.1-	3	3	0	0.0%
X9.2	1	1	0	0.0%
X9.2+	251	194	-57	-22.7%
X9.2-	10	0	-10	-100.0%
Y1	272	233	-39	-14.3%
Y2	635	640	5	0.8%
